"Name","BehaviorType","CanMoveAtSameTime","Targeted","CanAutoShoot","MovementBasedAutoshoot","AttackFacing","Cooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","Projectile","OverchargedProjectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollow","SpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","SecondaryProjectile","ThirdProjectile","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","CustomString","CustomString2","CustomValue"
"string","String","boolean","boolean","boolean","boolean","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","int","boolean","int","boolean","string","string","string","string","string","string","string","boolean","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","int","string","string","string","string","boolean","string","string","int","int","boolean","boolean","string","string","int"
"ShotgunGirlWeapon","Attack","true","true","true","","","250","150","","23","","","","","","1500","3","300","","100","60","","5","","true","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ShotgunGirlUlti","Attack","true","true","true","","","250","150","","23","","","","","","","","320","","100","100","","9","","true","","","","","","","","","","ShotgunGirlUltiProjectile","ShotgunGirlOverchargedUltiProjectile","","","","","","","","","","","","shelly_def_ulti","shelly_def_overcharge","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerWeapon","Attack","true","true","true","","","50","650","","27","","","","","","1400","3","360","","100","0","","1","true","true","","","","","","","","","","GunslingerProjectile","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"GunslingerUlti","Attack","true","true","true","","","50","1250","","33","","","","","","","","320","","100","0","","1","true","true","","","","","","","","","","GunslingerUltiProjectile","GunslingerOverchargedUltiProjectile","","","","","","","","","","","","colt_def_ulti","colt_def_overcharge","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeWeapon","Attack","true","true","true","","","250","150","","16","","","","","","1600","3","440","","100","90","","5","","true","","","","","","","","","","BullDudeProjectile","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BullDudeUlti","Charge","","true","true","","","50","","","33","","","","","","","","960","","","","","","","","","130","1800","1","","","","","true","","","","","","","","","","","","","","","","bull_dude_ulti","","","","bull_dude_ulti_loop","","bull_def_overcharge","bull_def_overcharge_loop","Rhinostep","","","","","","","","","","","","","","","",""
"RocketGirlWeapon","Attack","true","true","true","","","250","150","","27","","","","","","2100","3","1160","","100","","","1","","true","","","","","","","","","","RocketGirlProjectile","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"RocketGirlUlti","Attack","true","true","true","","","250","1850","","25","","","","","","","","1040","","200","160","9","1","","true","","","","","","","","","","RocketGirlUltiProjectile","","","","","","","","","","","","","brock_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeWeapon","Attack","true","true","true","","","50","800","","29","","","","","","1200","3","320","","150","15","1","1","","true","","","","","","","","","","TrickshotDudeProjectile","","","","","","","","","","","","","rico_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"TrickshotDudeUlti","Attack","true","true","true","","","50","1250","","40","","","","","","","","320","","100","20","1","1","","true","","","","","","","","","","TrickshotDudeUltiProjectile","","","","","","","","","","","","","rico_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusWeapon","Attack","true","true","true","","","250","150","","23","","","","","","2000","3","560","","100","","","1","","true","","","","","","","","","","CactusProjectile","","","","","","","","","","","","","cactus_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CactusUlti","Attack","true","true","true","","","250","150","","23","","","","","","","","400","","100","0","","1","","true","","","","","","","","","","CactusUltiProjectile","CactusOverchargedUltiProjectile","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepWeapon","Attack","true","true","true","","","250","150","","22","","","","","","2000","3","760","","100","0","","1","","true","","","","","","","","","","BarkeepProjectile","","","","","","","","","","","","","barkeep_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BarkeepUlti","Attack","true","true","true","","","250","1050","","28","","","","","","","","680","","200","75","9","1","","true","","","","","","","","","","BarkeepUltiProjectile","","","","","","","","","","","","","barkeep_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicWeapon","Attack","true","true","true","","","250","150","","27","","","","","","1800","3","1060","","100","0","","1","","true","","","","","","","","","","MechanicProjectile1","","","","","","","","","","","","","mechanic_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"MechanicUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","MechanicUltiProjectile","MechanicOverchargedUltiProjectile","MechanicTurret","","","","","","","","","","","mechanic_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanWeapon","Attack","true","true","true","","","250","150","","18","","","","","","1100","3","960","","100","0","","1","","true","","","","","","","","","","ShamanProjectile","","","","","","","","","","","","","shaman_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"ShamanUlti","Attack","true","true","true","","","50","250","","15","","","","","","","","","","200","","","1","","true","","","","","1","1","","","","ShamanUltiProjectile","","ShamanPet","","","","","","","","","","","shaman_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeWeapon","Attack","true","true","true","","","250","150","","22","","","","","","1600","3","800","","100","30","","2","","true","","","","","","","","","","TntDudeProjectile","","","","","","","","","","","","","tnt_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"TntDudeUlti","Attack","true","true","true","","","250","150","","22","","","","","","","","2200","","100","0","","1","","true","","","","","","","","","","TntDudeUltiProjectile","TntDudeOverchargedUltiProjectile","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorWeapon","Attack","true","true","true","","","50","650","","9","","","","","","800","3","360","","150","0","","1","true","true","","","","","","","","","","PrimoDefProjectile","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"LuchadorUlti","Charge","","true","true","","","50","","","27","","","","","","","","960","","","","","","","","","130","1600","3","","","","","","","","","","","","","","","","","","","","","luchador_ulti","","luchador_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerWeapon","Charge","","true","true","","","0","","","8","","","","","","2400","3","940","","","","","","","","","","2700","4","","","","","true","","","","","","","","","","","","","","","","mortis_def_atk","","","","","","","","","","","","","","","","","","","","","true","","",""
"UndertakerUlti","Attack","true","true","true","","","0","200","","30","","","","","","","","900","","150","","","1","","true","","","","","","","","","","UndertakerUltiProjectile","","","","","","","","","","","","","undertaker_attack_ulti","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowWeapon","Attack","true","true","true","","","250","150","","26","","","","","","1400","3","320","","100","45","","3","","true","","","","","","","","","","CrowProjectile","","","","","","","","","","","","","crow_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"CrowUlti","Charge","","true","true","","","50","","","26","","","","","","","","320","","","","","","","","","0","3000","2","","","","","","","","","CrowUltiKnifes","","CrowOverchargedUltiKnifes","","true","","","","","","","","crow_ulti","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiWeapon","Attack","true","true","true","","","250","150","","21","","","","","","1600","3","760","","100","130","","4","","true","","","","","","","","","","DeadMariachiProjectile","","","","","","","","","","","","","poco_def_atk_direct","","poco_def_atk_root","","","","","","","","","","","","","","","","","","","","","true","","",""
"DeadMariachiUlti","Attack","true","true","true","","","250","150","","28","","","","","","","","2100","","100","130","","3","","true","","","","","","","","","","DeadMariachiUltiProjectile","","","","","","","","","","","","","poco_def_atk_direct","","poco_def_ulti_root","","","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeWeapon","Attack","true","true","true","","","50","650","","26","","","","","","1700","3","700","","200","30","2","1","","true","","","","","","","","","","BowDudeProjectile","","","","","","","","","","","","","bow_dude_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"BowDudeUlti","Attack","true","true","true","","","50","250","","26","","","","","","","","1440","","200","","","1","","true","","","","","1","1","","","","BowDudeSpawnMineProjectile","","","","","","","","BoxOfMines","","","","","bo_def_ulti_attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SniperWeapon","Attack","true","true","true","","","500","150","","30","","","","","","2300","3","1700","","100","","","1","","true","","","","","","","","","","SniperProjectile","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","",""
"SniperUlti","Charge","","true","true","","","50","","","26","","","","","","","","900","","","","","","","","","0","1500","6","1","1","","","","","","","","","","","","BoxOfBombs","","","","","","","sniper_ulti","","piper_def_ulti_end","","","","","","","","","","","","","","","","","","","","","",""
