"Name","TicketsInRareDraw","TicketsInSuperRareDraw","TicketsInEpicDraw","TicketsInMythicDraw","TicketsInLegendaryDraw","TicketsInOverchargeDraw","TicketsInRankedDraw","TicketsInCollabRareDraw","TicketsInCollabSuperRareDraw","TicketsInCollabEpicDraw","TicketsInCollabMythicDraw","TicketsInCollabLegendaryDraw","TypeName","TypeValue","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount"
"String","int","int","int","int","int","int","int","int","int","int","int","int","String","int","int","int","int","int","String","int"
"Coins S",90,,,,,,,,,,,,"Coins",,,,50,50,,
"Coins M",,64,,,,,,,,,,,"Coins",,,,100,100,,
"Coins L",,,20,,,,,,,,,,"Coins",,,,200,200,,
"Coins XL",,,,15,,,,,,,,,"Coins",,,,500,500,,
"Gadget",,,,25,,,,,,,,,"Gadget",,,,,,"Coins",500
"Star Power",,,,,25,,,,,,,,"StarPower",,,,,,"Coins",1000
"Gears SR",,,,,,,,,,,,,"Gear",2,,,,,"Coins",500
"Gears Mythic",,,,,,,,,,,,,"Gear",4,,,,,"Coins",500
"Power Points S",70,,,,,,,,,,,,"PowerPoints",,,,25,25,,
"Power Points M",,50,,,,,,,,,,,"PowerPoints",,,,50,50,,
"Power Points L",,,20,,,,,,,,,,"PowerPoints",,,,100,100,,
"Power Points XL",,,,30,,,,,,,,,"PowerPoints",,,,200,200,,
"Credits S",5,,,,,,,,,,,,"Credits",,,,10,10,,
"Credits M",,5,,,,,,,,,,,"Credits",,,,30,30,,
"Credits L",,,,,,,,,,,,,"Credits",,,,75,75,,
"Credits XL",,,,,,,,,,,,,"Credits",,,,150,150,,
"Brawler Rare",,,5,,,,,,,,,,"Brawler",1,,,,,"Credits",100
"Brawler Super Rare",,,,15,,,,,,,,,"Brawler",2,,,,,"Credits",200
"Brawler Epic",,,,10,10,,,,,,,,"Brawler",3,,,,,"Credits",500
"Brawler Mythic",,,,3,5,,,,,,,,"Brawler",4,,,,,"Credits",1000
