"Name","Disabled","TileSetPrefix","BannerSWF","BannerExportName","Island","Music","GroundSCW","EnvironmentSCW","MaskedEnvironmentSCW","CampaignGroundSCW","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","DestructableSCW_CN","DestructableMesh_CN","DestructableAngleStep_CN","FragileSCW","FragileMesh","FragileAngleStep","FragileSCW_CN","FragileMesh_CN","FragileAngleStep_CN","WaterTileSCW","FenceSCW","RopeFenceSCW","RoadSCW","IndestructibleFenceSCW","IndestructibleSCW","IndestructibleMesh","Damageable1SCW","Damageable1Mesh","Damageable1AngleStep","Damageable2SCW","Damageable2Mesh","Damageable2AngleStep","Damageable3SCW","Damageable3Mesh","Damageable3AngleStep","Damageable4SCW","Damageable4Mesh","Damageable4AngleStep","IndestructibleDeco1SCW","IndestructibleDeco1Mesh","IndestructibleDeco1AngleStep","IndestructibleDeco2SCW","IndestructibleDeco2Mesh","IndestructibleDeco2AngleStep","IndestructibleDeco3SCW","IndestructibleDeco3Mesh","IndestructibleDeco3AngleStep","IndestructibleDeco4SCW","IndestructibleDeco4Mesh","IndestructibleDeco4AngleStep","GroundFillerSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","SafeSkinOverride","SafeCharacterOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewSkyColorRed","MapPreviewSkyColorGreen","MapPreviewSkyColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides","MapWidth","MapHeight"
"string","boolean","string","string","string","boolean","string","string","string","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","string","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","string","string","string","int","int","int","int","int","int","string","string","string","string","string","string","int","int"
"Retropolis","TRUE","retropolis_","sc/events.sc","event_retropolis_banner",,"Retropolis_battle","sc3d/bgr_retropolis_ground.scw","sc3d/bgr_retropolis.scw",,,"sc3d/rock_retropolis_1.scw","rock_retropolis_1",90,"sc3d/car_tires.scw",,90,"sc3d/crate2.scw","crate_1",0,"sc3d/barrel2.scw","barrel_2",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass5.scw","sc3d/grass5.scw","sc3d/plant_retropolis_small.scw","plant_retropolis",1,,,,"sc3d/traffic_cone.scw","traffic_cone",1,,,,"sc3d/water_tile_retropolis.scw","sc3d/retropolis_fence.scw","sc3d/generic_rope_fence.scw",,"sc3d/retropolis_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/mine_gem_spawn_retropolis.scw",,,,,90,66,111,69,136,255,"retropolis_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTown","TRUE","town_","sc/events.sc","event_town_banner",,"BattleMusic","sc3d/bgr_old_town_ground.glb","sc3d/bgr_old_town.glb",,,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/oldtown_themed.glb","potted_plant_1",1,"sc3d/oldtown_grass.glb","sc3d/oldtown_grass.glb","sc3d/oldtown_clutter.glb","bone_single",1,"sc3d/oldtown_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/oldtown_fragile_cn.glb","traffic_cone",1,"sc3d/oldtown_water.glb","sc3d/oldtown_fence.glb","sc3d/oldtown_rope.glb",,"sc3d/oldtown_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/oldtown_gem_spawn.glb",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_themed.glb","potted_plant_1b",1,,,"sc3d/oldtown_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_clutter.glb","bone_skull",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTownLNY","TRUE","town_","sc/events.sc","event_cny_banner",,"Cny_levels","sc3d/bgr_old_town_ground.glb","sc3d/bgr_old_town.glb",,,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/oldtown_themed.glb","potted_plant_1",1,"sc3d/oldtown_grass.glb","sc3d/oldtown_grass.glb","sc3d/oldtown_clutter.glb","bone_single",1,"sc3d/oldtown_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/oldtown_fragile_cn.glb","traffic_cone",1,"sc3d/oldtown_water.glb","sc3d/oldtown_fence.glb","sc3d/oldtown_rope.glb",,"sc3d/oldtown_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/oldtown_gem_spawn.glb",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,"sc3d/bgr_old_town_decos_lny.glb",,,,,,,,,,,,,,,"sc3d/oldtown_themed.glb","potted_plant_1b",1,,,"sc3d/oldtown_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_clutter.glb","bone_skull",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTownTutorial",,"town_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_tutorial_ground.glb","sc3d/bgr_tutorial.glb",,,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/oldtown_themed.glb","potted_plant_1",1,"sc3d/oldtown_grass.glb","sc3d/oldtown_grass.glb","sc3d/oldtown_clutter.glb","bone_single",1,"sc3d/oldtown_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/oldtown_fragile_cn.glb","traffic_cone",1,"sc3d/oldtown_water.glb","sc3d/oldtown_fence.glb","sc3d/oldtown_rope.glb",,"sc3d/oldtown_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/oldtown_gem_spawn.glb",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
