"Name","Conf","Disabled","Campaigns","IconOverride","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"string","string","boolean","string","string","int","int","int","boolean","string","string","string","int","int","int","int","int","int","string","string","string","string","string","string","string","string","string","string","string","string","int","int","boolean","boolean","string","int","string"
"BanditGirlDefault","BanditGirlDefault","","","","","","","","","","","","","","","","","","","","","","","shelly_redux_tex.ktx","shelly_redux_tex.ktx","shelly_redux_tex.ktx","shelly_redux_tex.ktx","","","","","","","","",""
"GunSlingerDefault","GunSlingerDefault","","","","","","","","","","","","","","","","","","","","","","","colt_redux_tex.ktx","colt_redux_tex.ktx","colt_redux_tex.ktx","colt_redux_tex.ktx","","","","","","","","",""
"GunSlingerRockstar","GunSlingerRockstar","","MUSIC","","","","","","","","","","","1000","29","","","RARE","TID_GUNSLINGER_ROCKSTAR_SKIN","TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","MODEL","","","colt_rockstar_redux_tex.ktx","colt_rockstar_redux_tex.ktx","colt_rockstar_redux_tex.ktx","colt_rockstar_redux_tex.ktx","","","","","","","","",""
"BullGuyDefault","BullGuyDefault","","","","","","","","","","","","","","","","","","","","","","","bull_tex.ktx","bull_tex.ktx","bull_tex.ktx","bull_tex.ktx","","","","","","","","",""
"RocketGirlDefault","RocketGirlDefault","","","","","","","","","","","","","","","","","","","","","","","brock_tex.ktx","brock_tex.ktx","brock_tex.ktx","brock_tex.ktx","","","","","","","","",""
"RocketGirlBeach","RocketGirlBeach","","SUMMER","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_ROCKET_BEACH_SKIN","TID_ROCKET_BEACH_SKIN_SHOP","MODEL,VFX,SFX","","","brock_beach_tex.ktx","brock_beach_tex.ktx","brock_beach_tex.ktx","brock_beach_tex.ktx","","","","","","","","",""
"TntGuyDefault","TntGuyDefault","","","","","","","","","","","","","","","","","","","","","","","dynamike_tex.ktx","dynamike_tex.ktx","dynamike_tex.ktx","dynamike_tex.ktx","","","","","","","","",""
"LuchadorDefault","LuchadorDefault","","","","","","","","","","","","","","","","","","","","","","","primo_tex.ktx","primo_tex.ktx","primo_tex.ktx","primo_tex.ktx","","","","","","","","",""
"TurretDefault","TurretDefault","","","","","","","","","","","","","","","","","","","","","","","jessie_turret_tex.ktx","jessie_turret_tex.ktx","jessie_turret_tex.ktx","jessie_turret_tex.ktx","","","","","","","","",""
