"Name","TID","Type","TypeCN","Disabled","ExistsApple","ExistsAndroid","ExistsCN","DisabledCN","ExistsAppleCN","ExistsAndroidCN","Diamonds","BonusPercentage","USD","Order","RMB","TencentID","IconExportName","FrameNumber","StarterPackNumber","XpLevelReq","ValueFactor","LabelTID","LabelValue","Bg","Decor","IsPromotion","Coins","RefundGemValue","PricePointGemValue","SCIDStore","PremiumPass","PremiumPlusPass","BundledTierCount","DiscountOf"
"String","String","int","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","int","int","int","string","string","int","int","int","int","String","int","int","int","boolean","int","int","int","boolean","boolean","boolean","int","String"
"com.supercell.laser.gempack0","TID_SHOP_GEM_PACK_1_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,30,,199,1,,,"shop_gem_0",0,,,,,,,,,,30,,,,"FALSE",,
"com.supercell.laser.gempack1","TID_SHOP_GEM_PACK_2_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,80,0,499,2,,,"shop_gem_1",1,,,,,,,,,,80,,,,"FALSE",,
"com.supercell.laser.gempack2","TID_SHOP_GEM_PACK_3_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,170,5,999,3,,,"shop_gem_2",2,,,,"TID_SHOP_LABEL_POPULAR",,,,,,170,,,,"FALSE",,
"com.supercell.laser.gempack3","TID_SHOP_GEM_PACK_4_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,360,15,1999,4,,,"shop_gem_3",3,,,,,,,,,,360,,,,"FALSE",,
"com.supercell.laser.gempack4","TID_SHOP_GEM_PACK_5_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,950,20,4999,5,,,"shop_gem_4",4,,,,,,,,,,950,,,,"FALSE",,
"com.supercell.laser.gempack5","TID_SHOP_GEM_PACK_6_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,2000,25,9999,6,,,"shop_gem_5",5,,,,"TID_SHOP_LABEL_BEST_VALUE",,,,,,2000,,,,"FALSE",,
"com.supercell.laser.starterpack1","TID_STARTER_PACK_1",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,110,,299,0,,,,,1,5,4,,,1,0,,600,181,,,,"FALSE",,
"com.supercell.laser.starterpack2","TID_STARTER_PACK_2",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,190,,399,0,,,,,2,15,4,,,1,0,,450,243,,,,"FALSE",,
"com.supercell.laser.starterpack3","TID_STARTER_PACK_3",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,240,,499,0,,,,,3,25,4,,,1,0,,700,322,,,,"FALSE",,
