"Name","ParentAreaEffectForSkin","Disabled","FileName","OwnExportName","BlueExportName","RedExportName","NeutralExportName","Layer","ExportNameTop","ExportNameTopRed","ExportNameObject","Effect","LoopingEffect","AllowEffectInterrupt","PlaybackType","RotationType","Scale","TimeMs","Radius","Damage","DamageScaleType","CustomValue","CustomValue2","Type","StatusEffectSelf","StatusEffectAlly","StatusEffectEnemy","StatusEffectTickInterval","DelayFirstTick","IsPersonal","TargetEnemiesOnly","BulletExplosionBullet","BulletExplosionBulletDistance","BulletExplosionItem","ExpandOnDistance","BulletAngleOffset","DestroysEnvironment","DestroysOnlyBushes","PushbackStrength","PushbackStrengthSelf","PushbackDeadzone","CanStopGrapple","StunTicks","SlowStrength","FreezeTicks","IgnoreFadeout","ShouldShowEvenIfOutsideScreen","SameAreaEffectCanNotDamageMs","DontShowToEnemy","RequireLineOfSight","ChainAreaEffect","ChainAreaEffect2","ChainAreaEffect3","OverchargedChainAreaEffect","OverchargedChainAreaEffect2","OverchargedChainAreaEffect3","SkinnedCustomValue","SpawnItem","SnapToTile","DamageScaleDistanceNear","DamageScaleDistanceFar","SourceType"
"string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","boolean","int","int","int","int","int","int","int","int","int","string","string","string","string","int","boolean","boolean","boolean","string","int","string","int","int","boolean","boolean","int","int","int","boolean","int","int","int","boolean","boolean","int","boolean","boolean","string","string","string","string","string","string","int","string","boolean","int","int","int"
"Brock_def_atk_area","","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_explosion_blue","","","","","70","700","450","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_def_ulti_area","","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_ultiExp_blue","","","","","100","700","450","","","","","Damage","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_def_Overcharged_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_oc_ultiExp_purple","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_002_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_002_explosion_blue","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_002_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_ultiExp_blue","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_004_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_004_explosion_blue","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_004_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_004_ultiExp_blue","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_007_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_007_explosion_blue","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_007_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_007_explosion_blue","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_008_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_008_atk_ground","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_008_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_008_ulti","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_009_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_009_atk_explosion_blue","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_009_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_009_explosion_blue","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_explosion","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_red","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_red","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_blue","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_blue","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_yellow","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_yellow","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_pink","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_pink","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_010_ulti_area_black","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_010_ulti_explosion_black","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlExplosion","","","sc/effects.sc","range400_blue","range400_blue","range400_red","","GroundHigh","","","","explosion_rocket_rose","","","","","70","700","600","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlUltiExplosion","","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","explosion_rocket_rose_ulti","","","","","100","700","450","","","","","Damage","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusExplosion","","","sc/effects.sc","","","","","GroundHigh","","","","spike_def_atk1_explosion","","","","","70","700","300","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
