"Name","TypeName","Amount","ValueInCash","TicketsForBunddle1","TicketsForBunddle2","TicketsForBunddle3"
"string","string","int","int","int","int","int"
"CoinsS","Coins",100,200,0,50,100
"CoinsM","Coins",500,1000,50,50,50
"CoinsL","Coins",1000,2000,100,50,0
"PowerPointsS","PowerPoints",100,150,0,50,100
"PowerPointsM","PowerPoints",500,750,50,50,50
"PowerPointsL","PowerPoints",1000,1500,100,50,0
"BlingS","Bling",100,30,0,50,100
"BlingM","Bling",500,150,50,50,"50"
"BlingL","Bling",1000,300,100,50,"0"
"StardropsS","Stardrop",1,240,0,50,"100"
"StardropsM","Stardrop",5,1200,50,50,"50"
"StardropsL","Stardrop",10,2400,100,50,"0"
"HCStardrop","HCStardrop",1,3500,"1","1","1"
"Icon","ProfilePic",1,500,1,1,1
"Spray","Spray",1,300,1,1,1
"Skin","Skin",1,2500,1,1,1
"Toy","Toy",1,750,1,1,1
"Emote","Emote",1,300,1,1,1
"BrawlpassXPS","BrawlpassXP",500,100,20,10,5
"BrawlpassXPM","BrawlpassXP",2000,400,10,10,10
"BrawlpassXPL","BrawlpassXP",5000,1100,5,10,20
