"Name","PowerLeagueSeasonId","SkinsInRankedStar","TicketsInSkinDraw","SpraysInRankedStar","TicketsInSprayDraw","ProfilePicsInRankedStar","TicketsInProfilePicDraw"
"string","int","String","int","String","int","String","int"
"YearOfDragon",18,"TntDudeDynastic",50,"spray_ranked_sandsoftime",100,"player_icon_ranked_sandsoftime",100
,,"TrickshotDudeDevil",8,"spray_cartoon_starr",20,"rank31",15
,,"DuplicatorDarkcircus",8,"spray_lola_circus",20,"rank30",15
,,"MaisieWasteland",8,"spray_maisie_wasteland",20,"rank29",14
,,"IceDudeStonetroll",8,"spray_lou_enchanted",20,"rank28",14
,,"MechaDudeJaguar",9,"spray_meg_jungle",20,"rank27",14
,,"SniperMariposa",9,,,"rank25",14
,,,,,,"rank26",14
"SandsOfTime",19,"TntDudeDynastic",50,"spray_ranked_sandsoftime",100,"player_icon_ranked_sandsoftime",100
,,"TrickshotDudeDevil",8,"spray_cartoon_starr",20,"rank31",15
,,"DuplicatorDarkcircus",8,"spray_lola_circus",20,"rank30",15
,,"MaisieWasteland",8,"spray_maisie_wasteland",20,"rank29",14
,,"IceDudeStonetroll",8,"spray_lou_enchanted",20,"rank28",14
,,"MechaDudeJaguar",9,"spray_meg_jungle",20,"rank27",14
,,"SniperMariposa",9,,,"rank25",14
,,,,,,"rank26",14
"Ragnarok",20,"JesterLoki",50,"spray_ranked_ragnarok",100,"player_icon_ranked_ragnarok",100
,,"TntDudeDynastic",7,"spray_ranked_sandsoftime",17,"player_icon_ranked_sandsoftime",13
,,"TrickshotDudeDevil",7,"spray_cartoon_starr",17,"rank31",13
,,"DuplicatorDarkcircus",7,"spray_lola_circus",17,"rank30",13
,,"MaisieWasteland",7,"spray_maisie_wasteland",17,"rank29",13
,,"IceDudeStonetroll",7,"spray_lou_enchanted",16,"rank28",12
,,"MechaDudeJaguar",7,"spray_meg_jungle",16,"rank27",12
,,"SniperMariposa",8,,,"rank25",12
,,,,,,"rank26",12
"Godzilla",21,"FleaGodzilla",50,"spray_ranked_godzilla",100,"player_icon_ranked_godzilla",100
,,"JesterLoki",3,"spray_ranked_ragnarok",15,"player_icon_ranked_sandsoftime",25
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",15,"player_icon_pl_logo",25
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",14,"player_icon_ranked_ragnarok",25
,,"DuplicatorDarkcircus",3,"spray_lola_circus",14,"player_icon_ranked_logo",25
,,"MaisieWasteland",3,"spray_maisie_wasteland",14,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",14,,
,,"MechaDudeJaguar",4,"spray_meg_jungle",14,,
,,"SniperMariposa",4,,,,
,,"SnakeOilWizard_white",4,,,,
,,"DrillerJetski_purple",4,,,,
,,"RopeDudeDirector_blue",4,,,,
,,"ArtilleryDudeSmuggler_orange",4,,,,
,,"ArcadePiano_black",4,,,,
,,"ShamanDragon_black",4,,,,
"Hackers",22,"TwinsVirus",50,"spray_ranked_hackers",100,"player_icon_ranked_hackers",100
,,"FleaGodzilla",4,"spray_ranked_godzilla",13,"player_icon_ranked_godzilla",20
,,"JesterLoki",4,"spray_ranked_ragnarok",13,"player_icon_ranked_logo",20
,,"TntDudeDynastic",4,"spray_ranked_sandsoftime",13,"player_icon_pl_logo",20
,,"TrickshotDudeDevil",4,"spray_cartoon_starr",13,"player_icon_ranked_ragnarok",20
,,"DuplicatorDarkcircus",4,"spray_lola_circus",12,"player_icon_ranked_sandsoftime",20
,,"MaisieWasteland",3,"spray_maisie_wasteland",12,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",12,,
,,"MechaDudeJaguar",3,"spray_meg_jungle",12,,
,,"SniperMariposa",3,,,,
,,"SnakeOilWizard_white",3,,,,
,,"DrillerJetski_purple",3,,,,
,,"RopeDudeDirector_blue",3,,,,
,,"ArtilleryDudeSmuggler_orange",3,,,,
,,"ArcadePiano_black",3,,,,
,,"ShamanDragon_black",3,,,,
"Olympus",23,"AxeJugglerGreek",50,"spray_ranked_olympic",100,"player_icon_ranked_olympic",100
,,"TwinsVirus",4,"spray_ranked_hackers",12,"player_icon_ranked_hackers",20
,,"FleaGodzilla",4,"spray_ranked_godzilla",11,"player_icon_ranked_godzilla",20
,,"JesterLoki",3,"spray_ranked_ragnarok",11,"player_icon_ranked_logo",20
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",11,"player_icon_pl_logo",20
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",11,"player_icon_ranked_ragnarok",20
,,"DuplicatorDarkcircus",3,"spray_lola_circus",11,"player_icon_ranked_sandsoftime",20
,,"MaisieWasteland",3,"spray_maisie_wasteland",11,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",11,,
