"Name","Disabled","SortOrder","CollectionType","Rarities","CatalogIconExportName","NameTID","CatalogDescriptionTID","ScaleFactor"
"String","boolean","int","int","int","String","String","String","int"
"PLAYER_ICONS",,30,0,,"icon_catalogue_profile_icons","TID_CATALOG_COLLECTION_PLAYER_ICONS","TID_CATALOG_COLLECTION_DESC_PLAYER_ICONS",
"EMOTES","TRUE",20,1,,"icon_ticket","TID_CATALOG_COLLECTION_EMOTES","TID_CATALOG_COLLECTION_DESC_EMOTES",
"EMOTES_COMMON",,21,2,0,"icon_catalogue_pins_common","TID_CATALOG_COLLECTION_EMOTES_COMMON","TID_CATALOG_COLLECTION_DESC_EMOTES_COMMON",
,,,,-1,,,,
"EMOTES_RARE",,22,2,1,"icon_catalogue_pins_rare","TID_CATALOG_COLLECTION_EMOTES_RARE","TID_CATALOG_COLLECTION_DESC_EMOTES_RARE",
"EMOTES_EPIC",,23,2,2,"icon_catalogue_pins_epic","TID_CATALOG_COLLECTION_EMOTES_EPIC","TID_CATALOG_COLLECTION_DESC_EMOTES_EPIC",
"EMOTES_LEGENDARY",,24,2,3,"icon_catalogue_pins_legendary","TID_CATALOG_COLLECTION_EMOTES_LEGENDARY","TID_CATALOG_COLLECTION_DESC_EMOTES_LEGENDARY",
"EMOTES_PREMIUM",,25,2,4,"icon_catalogue_pins_premium","TID_CATALOG_COLLECTION_EMOTES_PREMIUM","TID_CATALOG_COLLECTION_DESC_EMOTES_PREMIUM",
"SPRAYS",,40,3,,"icon_catalogue_sprays","TID_CATALOG_COLLECTION_SPRAYS","TID_CATALOG_COLLECTION_DESC_SPRAYS",
"NEW",,0,4,,"icon_catalogue_new","TID_CATALOG_COLLECTION_NEW","TID_CATALOG_COLLECTION_DESC_NEW",
"WISHLIST",,1,5,,"icon_catalogue_wishlist","TID_CATALOG_COLLECTION_WISHLIST","TID_CATALOG_COLLECTION_DESC_WISHLIST",
"SKINS_RARE",,10,6,1,"icon_catalogue_skins_rare","TID_CATALOG_COLLECTION_SKINS_RARE","TID_CATALOG_COLLECTION_DESC_SKINS_RARE",
"SKINS_SUPER_RARE",,11,6,2,"icon_catalogue_skins_super_rare","TID_CATALOG_COLLECTION_SKINS_SUPER_RARE","TID_CATALOG_COLLECTION_DESC_SKINS_SUPER_RARE",
"SKINS_EPIC",,12,6,3,"icon_catalogue_skins_epic","TID_CATALOG_COLLECTION_SKINS_EPIC","TID_CATALOG_COLLECTION_DESC_SKINS_EPIC",
"SKINS_MYTHIC",,13,6,4,"icon_catalogue_skins_mythic","TID_CATALOG_COLLECTION_SKINS_MYTHIC","TID_CATALOG_COLLECTION_DESC_SKINS_MYTHIC",
"SKINS_LEGENDARY",,14,6,5,"icon_catalogue_skins_legendary","TID_CATALOG_COLLECTION_SKINS_LEGENDARY","TID_CATALOG_COLLECTION_DESC_SKINS_LEGENDARY",
"SKINS_PREMIUM","TRUE",15,6,6,"icon_catalogue_skins_legendary","TID_CATALOG_COLLECTION_SKINS_PREMIUM","TID_CATALOG_COLLECTION_DESC_SKINS_PREMIUM",
"COSMETICS_BANK",,17,7,6,"icon_skins_cosmetic_bank","TID_CATALOG_COLLECTION_COSMETICS_BANK","TID_CATALOG_COLLECTION_DESC_COSMETICS_BANK",
"SKINS_HYPERCHARGE",,16,6,7,"icon_catalogue_skins_oc","TID_CATALOG_COLLECTION_SKINS_HYPERCHARGE","TID_CATALOG_COLLECTION_DESC_SKINS_HYPERCHARGE",140
