"Name","TID","CollabId","EventPanelExportName","SpecialEventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsInReward","TicketsInSkinDraw","SpecialSkinsInReward","TicketsInSpecialSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw","ClubCollabSkin","HideSkinRewardsInClubTrack","MutantMenuVFX","MutantVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID"
"String","String","int","String","String","String","String","int","int","int","int","int","String","String","int","String","int","String","int","String","int","String","int","String","boolean","String","String","String","String","String","String"
"Gozilla","TID_COLLAB_1",1,"collab_event_panel_screen_hud_left",,,"collab_event_teaser",6,50,,49,1,"Godzilla","EnragerVigilante",13,,,"spray_godzilla_team",25,"player_icon_godzilla_event1",25,"emoji_godzilla_robot",33,"RopeDudeGodzilla",,"MutantionMenuEffect","MutantBrawler","sc3d/mutationrandom_anim.glb","TID_COLLAB_1_LEADERBOARD_TAB","TID_COLLAB_1_LEADERBOARD_TITLE","TID_COLLAB_1_LEADERBOARD_SCORE"
,,,,,,,,,,,,,"SplitterPolice",13,,,"spray_godzilla_team_mecha",25,"player_icon_godzilla_event2",25,"emoji_godzilla_brawlball",33,,,,,,,,
,,,,,,,,,,,,,"CocoonerRare",13,,,"spray_mutation_sign",25,"player_icon_mutation",25,"emoji_mutation_heart",34,,,,,,,,
,,,,,,,,,,,,,"BaseballVigilante",13,,,"spray_godzilla_egg",25,"player_icon_mutated_logo",25,,,,,,,,,,
,,,,,,,,,,,,,"JetpackGirlTopgun",13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeKaiju",13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"StickyBombVeteran",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SpeedyTracksuit",7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ClusterBombMonster",7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"BeeSniperMonster",4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"DrillerMonster",4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Cactusmecha",4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_red",9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_blue",9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_yellow",9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_pink",9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_black",9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PowerLevelerKnight_red",23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TntDudeMecha",8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeGodzilla",5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeGodzillaRed",5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeGodzillaBlack",2,,,,,,,,,,,,,,,,
"Classic","TID_COLLAB_2",2,"collab_event_panel_1_screen_hud_left",,"collab_event_panel_2_screen_hud_left","collab_event_teaser",,,,,,,"TrickshotDudeKing_remake",1,,,,,"player_icon_classic_colt",1,"emoji_classic_icon",1,,,,,,,,
,,,,,,,,,,,,,"TrickshotDudeKing_remakeBling",1,,,,,"player_icon_classic_dynamike",1,"emoji_classic_counter",1,,,,,,,,
,,,,,,,,,,,,,"TrickshotDudeKing_remakePurple",1,,,,,"player_icon_classic_jessie",1,"emoji_classic_box_small",1,,,,,,,,
,,,,,,,,,,,,,"BullGuyHair",1,,,,,"player_icon_classic_max",1,"emoji_classic_box_mega",1,,,,,,,,
