"Name","TID","TicketsInWinGamesDraw","TicketsInCollabDraw","Rarity","IsRarityOfferContainer","IsOverchargeDraw","IsRankedDraw","CollabId","MultiDropCount","CombineCurrencies","SCW","SlashTarget","SlashesNeeded","SoundSlash","BackgroundFrameLabel","TapEffectClip","TapEffectClipBg","FinalContainerEffectClip","FinalContainerEffectClipBg","OpeningEffectClip","OpeningEffectClipBg","Intro3DAnimStart","Intro3DAnimEnd","Idle3DAnimStart","Idle3DAnimEnd","Miss3DAnimStart","Miss3DAnimEnd","Upgrade3DAnimStart","Upgrade3DAnimEnd","Open3DAnimStart","Open3DAnimEnd","SoundMiss","SoundUpgrade","SoundReadyToOpen","SoundReadyToOpen2","SoundOpen","FaceFileName","FaceIdleExportName","FaceUpgradeExportName","FaceOpenExportName","SoloOfferDefaultBgFrameName","SoloOfferDefaultTitleTID","RarityFrameLabel","AnimationSCW","PiggyTap1","PiggyTap2","PiggyTap3","PiggyTap4","PiggyTapBackground1","PiggyTapBackground2","PiggyTapBackground3","PiggyTapBackground4","PiggyTapBackgroundFinal","PiggyTapBackgroundFinalBg","CustomAnimationNames","CustomAnimationStartFrames","CustomAnimationEndFrames"
"String","String","int","int","int","boolean","boolean","boolean","int","int","boolean","String","String","int","String","String","String","String","String","String","String","String","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int"
"RareStar","TID_SHOP_STARR_DROP_RARE",50,,1,"TRUE",,,,,,"sc3d/rng_reward.glb",,,,"rare","gacha_vfx_tap",,"gacha_vfx_rare","gacha_vfx_rare_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Rare_VO","Reveal_rare","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_rare","TID_SHOP_STARR_DROP_RARE","rare",,,,,,,,,,,,,,
"SuperRareStar","TID_SHOP_STARR_DROP_SUPER_RARE",28,,2,"TRUE",,,,,,"sc3d/rng_reward.glb",,,,"super_rare","gacha_vfx_tap",,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_rare","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,
"EpicStar","TID_SHOP_STARR_DROP_EPIC",15,,3,"TRUE",,,,,,"sc3d/rng_reward.glb",,,,"epic","gacha_vfx_tap",,"gacha_vfx_epic","gacha_vfx_epic_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_epic","TID_SHOP_STARR_DROP_EPIC","epic",,,,,,,,,,,,,,
"MythicStar","TID_SHOP_STARR_DROP_MYTHIC",5,,4,"TRUE",,,,,,"sc3d/rng_reward.glb",,,,"mythic","gacha_vfx_tap",,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,
"LegendaryStar","TID_SHOP_STARR_DROP_LEGENDARY",2,,5,"TRUE",,,,,,"sc3d/rng_reward.glb",,,,"legendary","gacha_vfx_tap",,"gacha_vfx_legendary","gacha_vfx_legendary_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,85,120,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_legendary","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_legendary","TID_SHOP_STARR_DROP_LEGENDARY","legendary",,,,,,,,,,,,,,
"OverchargeStar","TID_SHOP_STARR_DROP_OVERCHARGE",,,,,"TRUE",,,,,"sc3d/overcharged_reward_anim.glb",,,,"overcharge","gacha_vfx_tap",,"gacha_vfx_legendary","gacha_vfx_legendary_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,85,120,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_legendary","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final",,,"wild",,,,,,,,,,,,,,
"ClubPiggyBank",,,,,,,,,,,"sc3d/ui_golden_pig.glb",,,,,"gacha_vfx_tap",,,,,,,,200,399,73,91,,,99,160,"Piggybank_Tap",,,,"Piggybank_Explosion_Jingle","ui.sc",,,,,,,"sc3d/ui_golden_pig_anim.glb","piggybank_vfx_crack_01","piggybank_vfx_crack_02","piggybank_vfx_crack_03","piggybank_vfx_crack_04","piggybank_vfx_crack_01_tab","piggybank_vfx_crack_02_tab","piggybank_vfx_crack_03_tab","piggybank_vfx_crack_04_tab","gacha_vfx_piggy_open","gacha_vfx_piggy_bg","SMALL_DROP",0,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BIG_DROP",29,69
"RankedStar","TID_SHOP_STARR_DROP_RANKED",,,,,,"TRUE",,,,"sc3d/ranked_rng_reward.glb",,,,"ranked","gacha_vfx_tap",,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg",0,29,39,73,75,94,75,94,119,152,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","ranked_reward_idle",,"ranked_reward_final","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,
"RareCollabDrop","TID_SHOP_GODZILLA_EGG",,50,1,,,,,,,,"collab_random_reward_opening",4,"Eggslash_Sfx_01","rare","gacha_vfx_tap",,"gacha_vfx_rare","gacha_vfx_rare_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_rare","TID_SHOP_STARR_DROP_RARE","rare",,,,,,,,,,,,,,
"SuperRareCollabDrop","TID_SHOP_GODZILLA_EGG",,25,2,,,,,,,,"collab_random_reward_opening",4,"Eggslash_Sfx_05","super_rare","gacha_vfx_tap",,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,
"EpicCollabDrop","TID_SHOP_GODZILLA_EGG",,16,3,,,,,,,,"collab_random_reward_opening",5,"Eggslash_Sfx_09","epic","gacha_vfx_tap",,"gacha_vfx_epic","gacha_vfx_epic_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_epic","TID_SHOP_STARR_DROP_EPIC","epic",,,,,,,,,,,,,,
"MythicCollabDrop","TID_SHOP_GODZILLA_EGG",,6,4,,,,,,,,"collab_random_reward_opening",6,"Eggslash_Sfx_14","mythic","gacha_vfx_tap",,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,
"LegendaryCollabDrop","TID_SHOP_GODZILLA_EGG",,3,5,,,,,,,,"collab_random_reward_opening",18,"Eggslash_Sfx_20","legendary","gacha_vfx_tap",,"gacha_vfx_legendary","gacha_vfx_legendary_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,65,75,125,157,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_legendary","TID_SHOP_STARR_DROP_LEGENDARY","legendary",,,,,,,,,,,,,,
"MegaBox",,,,,,,,2,10,"TRUE","sc3d/rng_reward.glb",,,,"no_rarity",,,,,,,,,,,,,,,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade",,"Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic",,"no_rarity",,,,,,,,,,,,,,
