"Name","ParentStatusEffectForSkin","DurationTicks","CancelOnDamage","CancelOnCharge","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","Damage","Healing","ShieldPercent","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","LosePlayerControl","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","ServerOnly","HapticsToSource","UseColorMod","RedAdd","GreenAdd","BlueAdd","StartEffect","LoopedEffect","LoopedEffectRemoveType","TriggerEffect","EndEffect"
"String","string","int","boolean","Boolean","int","boolean","boolean","boolean","int","int","int","boolean","boolean","boolean","boolean","string","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","int","string","string","string","string","string"
"WhirlwindTrailFire",,80,"FALSE","FALSE",20,"FALSE","FALSE","TRUE",370,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",150,150,0,,"poisoned_002","end",,
"PetrolFire",,80,"FALSE","FALSE",20,"FALSE","FALSE","TRUE",480,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",150,150,0,,"poisoned_002","end",,
"PetrolFireIce","PetrolFire",,,,,,,,,,,,,,,,,,,,,"FALSE","TRUE",150,150,150,,"poisoned_008","end",,
"PetrolFireBubbles","PetrolFire",,,,,,,,,,,,,,,,,,,,,"FALSE","TRUE",150,150,150,,"poisoned_011","end",,
"RollerFire",,80,"FALSE","FALSE",20,"FALSE","FALSE","TRUE",200,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",150,150,0,,"poisoned_002","end",,
"RollerFireIce","RollerFire",,,,,,,,,,,,,,,,,,,,,"FALSE","TRUE",150,150,150,,"poisoned_008","end",,
"PuppeteerPoison",,40,"FALSE","TRUE",20,"TRUE","TRUE","FALSE",400,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE",0,100,0,,"willow_def_atk_poison","end",,
"Puppeteer002Poison","PuppeteerPoison",,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,"status_blood","end",,
"SharpenedAmmoBleed",,60,"FALSE","FALSE",20,"FALSE","FALSE","FALSE",,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","FALSE","FALSE","TRUE",,"FALSE","TRUE",150,0,0,,"status_blood","end",,
"CollabAssassinBleed",,120,"FALSE","FALSE",20,"FALSE","FALSE","FALSE",65,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","FALSE","TRUE",,"FALSE","TRUE",150,0,0,,"status_blood","end",,
"JesterUltiPoison",,120,"FALSE","FALSE",20,"FALSE","FALSE","TRUE",290,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,100,0,,"poisoned_001","end",,
"FleaPetDot",,80,"FALSE","FALSE",20,"FALSE","TRUE","FALSE",200,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,100,0,,"poisoned_006","end",,
"FleaPetHot",,80,"FALSE","FALSE",20,"FALSE","TRUE","FALSE",,250,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",0,0,0,,"heal_over_time_3","end",,
"FleaExtraPetDot",,40,"FALSE","FALSE",20,"FALSE","TRUE","FALSE",200,,,"FALSE","FALSE","FALSE","FALSE",,"FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,100,0,,"poisoned_006","end",,
"SamuraiShield",,9999999,"TRUE","FALSE",,"FALSE","FALSE","TRUE",,,90,"FALSE","FALSE","FALSE","FALSE",,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,,"buff_shield","remove",,
"SamuraiHide",,40,"FALSE","TRUE",,"FALSE","FALSE","TRUE",,,100,"TRUE","TRUE","TRUE","TRUE","full","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,,,,,
