"Name","TID","CollabId","EventPanelExportName","SpecialEventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsInReward","TicketsInSkinDraw","TicketsInSkinAltDraw","SpecialSkinsInReward","TicketsInSpecialSkinDraw","SpraysInReward","TicketsInSprayDraw","TicketsInSprayAltDraw","ProfilePicsInReward","TicketsInProfilePicDraw","TicketsInProfilePicAltDraw","PinsInReward","TicketsInPinDraw","TicketsInPinAltDraw","ClubCollabSkin","HideSkinRewardsInClubTrack","Modifier","CollabMenuVFX","CollabVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID","ThemeAngelic","ThemeDemonic"
"String","String","int","String","String","String","String","int","int","int","int","int","String","String","int","int","String","int","String","int","int","String","int","int","String","int","int","String","boolean","int","String","String","String","String","String","String","String","String"
"Gozilla","TID_COLLAB_1",1,"collab_event_panel_screen_hud_left",,,"collab_event_teaser",6,50,,49,1,"Godzilla","EnragerVigilante",13,0,,,"spray_godzilla_team",25,0,"player_icon_godzilla_event1",25,0,"emoji_godzilla_robot",33,0,"RopeDudeGodzilla",,36,"MutantionMenuEffect","MutantBrawler","sc3d/mutationrandom_anim.glb","TID_COLLAB_1_LEADERBOARD_TAB","TID_COLLAB_1_LEADERBOARD_TITLE","TID_COLLAB_1_LEADERBOARD_SCORE",,
,,,,,,,,,,,,,"SplitterPolice",13,0,,,"spray_godzilla_team_mecha",25,0,"player_icon_godzilla_event2",25,0,"emoji_godzilla_brawlball",33,0,,,,,,,,,,,
,,,,,,,,,,,,,"CocoonerRare",13,0,,,"spray_mutation_sign",25,0,"player_icon_mutation",25,0,"emoji_mutation_heart",34,0,,,,,,,,,,,
,,,,,,,,,,,,,"BaseballVigilante",13,0,,,"spray_godzilla_egg",25,0,"player_icon_mutated_logo",25,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,"JetpackGirlTopgun",13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeKaiju",13,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"StickyBombVeteran",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SpeedyTracksuit",7,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ClusterBombMonster",7,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"BeeSniperMonster",0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"DrillerMonster",4,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Cactusmecha",4,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_red",9,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_blue",9,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_yellow",9,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_pink",9,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlRanger_black",9,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PowerLevelerKnight_red",23,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"TntDudeMecha",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeGodzilla",5,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeGodzillaRed",5,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RopeDudeGodzillaBlack",2,0,,,,,,,,,,,,,,,,,,,,,,
"Classic","TID_COLLAB_2",2,"collab_event_panel_1_screen_hud_left",,"collab_event_panel_2_screen_hud_left","collab_event_teaser",,,,,,,"BaseballZombibi",1,0,,,"spray_ghost_wagon1",1,0,"player_icon_ghosttrain",1,0,"emoji_pumpkin_brawloween",1,0,,,,,,,,,,,
