"Name","Collab","EventSlot","GameModeVariation","ModeOverrideSWF","ModeOverrideIconName","ModeOverrideRoomIconName","BannerOverrideSWF","BannerOverrideExportName","ModeBigCoverSWF","ModeBigCoverExportName","HideDefaultTextsFromBanner","HideDefaultTimeFromBanner","IdleFrameLabel"
"string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","string"
"DemonsScoreboardSiege","Demons","Contest","Siege","sc/ui.sc","event_icon_petwars","event_gameroom_petwars_square",,,,,"TRUE","TRUE","collab"
"DemonsScoreboardTrioShowdown","Demons","Contest","TrioShowdown","sc/ui.sc","event_icon_triosurvival","event_gameroom_triosurvival_square",,,,,"TRUE","TRUE","collab"
"DemonsScoreboardPossession","Demons","Contest","KillConfirmed","sc/ui.sc","event_icon_killconfirm","event_gameroom_killconfirm_square",,,,,"TRUE","TRUE","collab"
"DemonsSiege",,,"Siege","sc/ui.sc","event_icon_petwars","event_gameroom_petwars_square",,,,,"TRUE",,
"DemonsTrioShowdown",,,"TrioShowdown","sc/ui.sc","event_icon_triosurvival","event_gameroom_triosurvival_square",,,,,"TRUE",,
"DemonsPossession",,,"KillConfirmed","sc/ui.sc","event_icon_killconfirm","event_gameroom_killconfirm_square",,,,,"TRUE",,
"ToyStoryScoreboardAirHockey","Toys","Contest","AirHockey",,"event_icon_air_hockey","event_air_hockey_contest_banner",,,,"event_air_hockey_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardGemGrab2v2","Toys","Contest","GemGrab2v2",,"event_icon_gemgrab_2v2","event_2v2_gemgrab_contest_banner",,,,"event_2v2_gemgrab_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardPayloadSingle","Toys","Contest","PayloadSingle",,"event_icon_payload_single","event_payload_single_contest_banner",,,,"event_payload_single_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardBrawlBall2v2","Toys","Contest","BrawlBall2v2",,"event_icon_brawlball_2v2","event_2v2_brawlball_contest_banner",,,,"event_2v2_brawlball_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardKnockout2v2","Toys","Contest","Knockout2v2",,"event_icon_knockout_2v2","event_2v2_knockout_contest_banner",,,,"event_2v2_knockout_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardKingOfHill2v2","Toys","Contest","KingOfHill2v2",,"event_icon_king_of_hill_2v2","event_2v2_king_of_hill_contest_banner",,,,"event_2v2_king_of_hill_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardBasketBrawl2v2","Toys","Contest","BasketBrawl2v2",,"event_icon_basketbrawl_2v2","event_2v2_basketbrawl_contest_banner",,,,"event_2v2_basketbrawl_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardPayloadSingle2v2","Toys","Contest","PayloadSingle2v2",,"event_icon_payload_single","event_2v2_payload_single_contest_banner",,,,"event_2v2_payload_single_contest_cover","TRUE","TRUE","contest"
"ToyStoryScoreboardAirHockey2v2","Toys","Contest","AirHockey2v2",,"event_icon_air_hockey","event_2v2_air_hockey_contest_banner",,,,"event_2v2_air_hockey_contest_cover","TRUE","TRUE","contest"
"ToyStoryAirHockey",,,"AirHockey",,,,,,,,"TRUE",,
"ToyStoryGemGrab2v2",,,"GemGrab2v2",,,,,,,,"TRUE",,
"ToyStoryPayloadSingle",,,"PayloadSingle",,,,,,,,"TRUE",,
"ToyStoryBrawlBall2v2",,,"BrawlBall2v2",,,,,,,,"TRUE",,
"ToyStoryKnockout2v2",,,"Knockout2v2",,,,,,,,"TRUE",,
"ToyStoryKingOfHill2v2",,,"KingOfHill2v2",,,,,,,,"TRUE",,
"ToyStoryBasketBrawl2v2",,,"BasketBrawl2v2",,,,,,,,"TRUE",,
"ToyStoryPayloadSingle2v2",,,"PayloadSingle2v2",,,,,,,,"TRUE",,
"ToyStoryAirHockey2v2",,,"AirHockey2v2",,,,,,,,"TRUE",,
