"Name","Disabled","DisabledCN","IconSWF","IconExportName","Character","Skin","GiveOnSkinUnlock","IsPicto","BattleCategory","Rarity","EmoteType","SoundEffect","SfxIndex","LockedForChronos","EmoteBundles","IsDefaultBattleEmote","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogRarityCategory","UnlockedByFame"
"string","boolean","boolean","string","string","string","string","boolean","boolean","String","String","String","String","int","boolean","String","boolean","int","int","boolean","int","string","string","boolean","String"
"emoji_8bit","","","sc/emoji.sc","emoji_8bit","Arcade","","","TRUE","DEFAULT","DEFAULT","DEFAULT","8bit_start_vo","0","","","","","","","","","","",""
"emoji_8bit_angry","","","sc/emoji.sc","emoji_8bit_angry","Arcade","","","","ANGRY","COMMON","ANGRY","8bit_hurt_vo","0","","","","375","9","","","","","",""
"emoji_8bit_gg","","","sc/emoji.sc","emoji_8bit_gg","Arcade","","","","SPECIAL","RARE","GG","8bit_kill_vo","1","","","","750","19","","","","","",""
"emoji_8bit_sad","","","sc/emoji.sc","emoji_8bit_sad","Arcade","","","","SAD","COMMON","SAD","8bit_die_vo","3","","","","375","9","","","","","",""
"emoji_8bit_thanks","","","sc/emoji.sc","emoji_8bit_thanks","Arcade","","","","SPECIAL","EPIC","THANKS","8bit_kill_vo","2","","","","1500","39","","","","","",""
"emoji_angry","","","sc/emoji.sc","emoji_angry","","","","","ANGRY","DEFAULT","ANGRY","","","","","","","","","","","","",""
"emoji_annoyed","","","sc/emoji.sc","emoji_annoyed","","","","","ANGRY","DEFAULT","ANGRY","","","","","","","","","","","","",""
"emoji_barley","","","sc/emoji.sc","emoji_barley","Barkeep","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Barley_Die","1","","","","","","","","","","",""
"emoji_barley_angry","","","sc/emoji.sc","emoji_barley_angry","Barkeep","","","","ANGRY","COMMON","ANGRY","Barley_Hurt","0","","","","375","9","","","","","",""
"emoji_barley_gg","","","sc/emoji.sc","emoji_barley_gg","Barkeep","","","","SPECIAL","RARE","GG","Barley_Start","0","","","","750","19","","","","","",""
"emoji_barley_sad","","","sc/emoji.sc","emoji_barley_sad","Barkeep","","","","SAD","COMMON","SAD","Barley_Hurt","2","","","","375","9","","","","","",""
"emoji_barley_thanks","","","sc/emoji.sc","emoji_barley_thanks","Barkeep","","","","SPECIAL","EPIC","THANKS","Barley_Start","3","","","","1500","39","","","","","",""
"emoji_bea","","","sc/emoji.sc","emoji_bea","BeeSniper","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bea_Start_VO","3","","","","","","","","","","",""
"emoji_bea_angry","","","sc/emoji.sc","emoji_bea_angry","BeeSniper","","","","ANGRY","COMMON","ANGRY","Bea_Hurt_VO","0","","","","375","9","","","","","",""
"emoji_bea_gg","","","sc/emoji.sc","emoji_bea_gg","BeeSniper","","","","SPECIAL","RARE","GG","Bea_Lead_VO","1","","","","750","19","","","","","",""
"emoji_bea_sad","","","sc/emoji.sc","emoji_bea_sad","BeeSniper","","","","SAD","COMMON","SAD","Bea_Die_VO","1","","","","375","9","","","","","",""
"emoji_bea_thanks","","","sc/emoji.sc","emoji_bea_thanks","BeeSniper","","","","SPECIAL","EPIC","THANKS","Bea_Lead_VO","2","","","","1500","39","","","","","",""
"emoji_bibi","","","sc/emoji.sc","emoji_bibi","Baseball","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bibi_kill_vo","1","","","","","","","","","","",""
