"Name","Conf","Disabled","Campaigns","IconOverrideSWF","IconOverrideExportName","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","CanDropWithoutBlingPrice","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","DiffuseTexture","SpecularTexture","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"string","string","boolean","string","string","string","int","int","int","boolean","string","string","string","int","int","int","boolean","int","int","int","string","string","string","string","string","string","string","string","string","string","int","int","boolean","boolean","string","int","string"
"BanditGirlDefault","BanditGirlDefault","","","","","","","","","","","","","","","","","","","","","","","","","shelly_redux_tex.sctx","shelly_redux_tex.sctx","","","","","","","","",""
"GunSlingerDefault","GunSlingerDefault","","","","","","","","","","","","","","","","","","","","","","","","","colt_redux_tex.sctx","colt_redux_tex.sctx","","","","","","","","",""
"GunSlingerRockstar","GunSlingerRockstar","","MUSIC","","","","","","","","","","","","1000","","29","","","RARE","TID_GUNSLINGER_ROCKSTAR_SKIN","TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","MODEL","","","colt_rockstar_redux_tex.sctx","colt_rockstar_redux_tex.sctx","","","","","","","","",""
"BullGuyDefault","BullGuyDefault","","","","","","","","","","","","","","","","","","","","","","","","","bull_tex.sctx","bull_tex.sctx","","","","","","","","",""
"RocketGirlDefault","RocketGirlDefault","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlBeach","RocketGirlBeach","","SUMMER","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_ROCKET_BEACH_SKIN","TID_ROCKET_BEACH_SKIN_SHOP","MODEL,VFX,SFX","","","brock_beach_tex.sctx","brock_beach_tex.sctx","","","","","","","","",""
"TntGuyDefault","TntGuyDefault","","","","","","","","","","","","","","","","","","","","","","","","","dynamike_tex.sctx","dynamike_tex.sctx","","","","","","","","",""
"LuchadorDefault","LuchadorDefault","","","","","","","","","","","","","","","","","","","","","","","","","primo_tex.sctx","primo_tex.sctx","","","","","","","","",""
"TurretDefault","TurretDefault","","","","","","","","","","","","","","","","","","","","","","","","","jessie_turret_tex.sctx","jessie_turret_tex.sctx","","","","","","","","",""
"TrickshotDefault","TrickshotDefault","","","","","","","","","","","","","","","","","","","","","","","","","rico_tex.sctx","rico_tex.sctx","","","","","","","","",""
"CactusDefault","CactusDefault","","","","","","","","","","","","","","","","","","","","","","","","","spike_tex.sctx","spike_tex.sctx","","","","","","","","",""
"CactusPink","CactusPink","","GOLDENWEEK","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_CACTUS_PINK_SKIN","TID_CACTUS_PINK_SKIN_SHOP","MODEL,VFX","","","spike_blossom_tex.sctx","spike_blossom_tex.sctx","","","","","","","","",""
"BarkeepDefault","BarkeepDefault","","","","","","","","","","","","","","","","","","","","","","","","","barley_tex.sctx","barley_tex.sctx","","","","","","","","",""
"MechanicDefault","MechanicDefault","","","","","","","","","","TurretDefault","","","","","","","","","","","","","","","jessie_tex.sctx","jessie_tex.sctx","","","","","","","","",""
"ShamanDefault","ShamanDefault","","","","","","","","","","ShamanBearDefault","","","","","","","","","","","","","","","nita_tex.sctx","nita_tex.sctx","","","","","","","","",""
"ShamanPanda","ShamanPanda","","ANIMALS","","","","","","","","ShamanBearPanda","","","","1000","","29","","","RARE","TID_SHAMAN_PANDA_SKIN","TID_SHAMAN_PANDA_SKIN_SHOP","MODEL,PET","","","nita_panda_tex.sctx","nita_panda_tex.sctx","","","","","","","","",""
"ShamanBearDefault","ShamanBearDefault","","","","","","","","","","","","","","","","","","","","","","","","","nita_bear_tex.sctx","nita_bear_tex.sctx","","","","","","","","",""
"ShamanBearPanda","ShamanBearPanda","","","","","","","","","","","","","","","","","","","","","","","","","nita_bear_panda_tex.sctx","nita_bear_panda_tex.sctx","","","","","","","","",""
"UndertakerDefault","UndertakerDefault","","","","","1","","","","","","","","","","","","","","","","","","","","mortis_v2_tex.sctx","mortis_v2_tex.sctx","","","","","","","","",""
"CrowDefault","CrowDefault","","","","","","","","","","","","","","","","","","","","","","","","","crow_tex.sctx","crow_tex.sctx","","","","","","","","",""
"CrowWhite","CrowWhite","","MISC","","","","","","","","","","","","2750","","79","69","","SUPER_RARE","TID_CROW_WHITE_SKIN","TID_CROW_WHITE_SKIN_SHOP","MODEL,TEXTURE","","","crow_white_tex.sctx","crow_white_tex.sctx","","","","","","","","",""
"DeadMariachiDefault","DeadMariachiDefault","","","","","","","","","","","","","","","","","","","","","","","","","poco_tex.sctx","poco_tex.sctx","","","","","","","","",""
"BowDudeDefault","BowDudeDefault","","","","","","","","","","BowDudeTotemDefault","","","","","","","","","","","","","","","bo_tex.sctx","bo_tex.sctx","","","","","","","","",""
"SniperDefault","SniperDefault","","","","","","","","","","","","","","","","","","","","","","","","","piper_tex.sctx","piper_tex.sctx","","","","","","","","",""
