"Name","Disabled","TID","TileSetPrefix","BgPrefix","TileSetRedAdd","TileSetGreenAdd","TileSetBlueAdd","TileSetRedMul","TileSetGreenMul","TileSetBlueMul","IconSWF","IconExportName","GameMode","AllowedMaps","ShadowR","ShadowG","ShadowB","ShadowA","Music","LargeMap"
"string","boolean","string","string","string","int","int","int","int","int","int","string","string","string","string","int","int","int","int","string","boolean"
"Wanted1",,"TID_WANTED_1","oasis_",,0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_1",0,66,66,60,,
"Wanted2",,"TID_WANTED_3","oasis_",,0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_3",0,66,66,60,,
"Wanted3",,"TID_WANTED_4",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Gemgrab_3",100,0,0,60,,
"Wanted4",,"TID_WANTED_5",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Gemgrab_2",100,0,0,60,,
"Wanted5",,"TID_WANTED_6",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Wanted_4",100,0,0,60,,
"Wanted6",,"TID_WANTED_7",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Wanted_5",100,0,0,60,,
"Wanted7",,"TID_WANTED_2","oasis_",,0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_2",0,66,66,60,,
"Gemgrab1",,"TID_GOLDRUSH_1","mine_",,0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_1",0,0,100,60,,
"Gemgrab2",,"TID_GOLDRUSH_2","mine_",,0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_2",0,0,100,60,,
"Gemgrab3",,"TID_GOLDRUSH_3","mine_",,0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_3",0,0,100,60,,
"Gemgrab4",,"TID_GOLDRUSH_4","mine_",,0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Wanted_3",0,0,100,60,,
"Gemgrab5",,"TID_GOLDRUSH_5","mine_",,0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_5",0,0,100,60,,
"Gemgrab6",,"TID_GOLDRUSH_7","mine_",,0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_4",0,0,100,60,,
"Survival1",,"TID_BATTLE_ROYALE_1",,"survival_",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_1",100,0,0,60,,
"Survival2",,"TID_BATTLE_ROYALE_2",,"survival_",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_2",100,0,0,60,,
"Survival3",,"TID_BATTLE_ROYALE_3",,"survival_",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_3",100,0,0,60,,
"Survival4",,"TID_BATTLE_ROYALE_4",,"survival_",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_4",100,0,0,60,,
"Heist1",,"TID_BANKHEIST_1",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_1",100,0,0,60,,
"Heist2",,"TID_BANKHEIST_2",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_2",100,0,0,60,,
"Heist3",,"TID_BANKHEIST_3",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_3",100,0,0,60,,
"Tutorial",,,,,0,0,0,255,255,255,"sc/ui.sc",,"CoinRush",,100,0,0,60,,
"BossFight1",,"TID_BOSS_1",,,30,0,0,255,230,230,"sc/ui.sc","event_canyon","BossFight","BossFight_1",0,66,66,60,,
"Wanted8",,"TID_WANTED_8","oasis_",,0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_8",0,66,66,60,,
"Heist4",,"TID_BANKHEIST_4",,,0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_4",100,0,0,60,,
"Ball1",,"TID_BALL_1","grassfield_",,0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_1",0,66,66,60,,
"Ball2",,"TID_BALL_2","grassfield_",,0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_2",0,66,66,60,,
"Ball3",,"TID_BALL_3","grassfield_",,0,0,0,255,255,255,"sc/ui.sc","event_brawlball","LaserBall","Laserball_3",0,66,66,60,,
"Coop1",,"TID_COOP_1",,,0,0,40,210,210,255,"sc/ui.sc","event_canyon","Survival","Coop_1",100,0,0,60,,
"SurvivalTeam1","true","TID_BATTLE_ROYALE_TEAM_1",,"survival_",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyaleTeam","SurvivalTeam_1",100,0,0,60,,
"Coop2",,"TID_COOP_2",,,0,0,40,210,210,255,"sc/ui.sc","event_canyon","Survival","Coop_2",100,0,0,60,,
"BossFight2",,"TID_BOSS_2","mine_",,30,0,0,255,230,230,"sc/ui.sc","event_gemmine","BossFight","BossFight_2",0,0,100,60,,
