"Name","FileNames","BackgroundFile","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs","MovieClipFrameLabel"
"string","string","boolean","int","int","int","int","int","int","int","boolean","boolean","boolean","int","int","boolean","int","int","int","String"
"ButtonClick2","sfx/menu_click_08.ogg",,60,60,100,100,1,3,,,,,,,,,,,
"Menu_goback","sfx/menu_go_back_01.ogg",,55,55,100,100,1,3,,,,,,,,,,,
"Menu_dismiss","sfx/menu_dismiss_01.ogg",,40,40,100,100,1,3,,,,,,,,,,,
"LaserShot01","sfx/laser_04.ogg",,25,35,94,106,1,10,30,,,,,,,,,,
"Orb_spawn","sfx/pickup_spawn_03.ogg",,40,40,100,100,1,4,,,,,,,,,,,"sfx_pickup_spawn_03"
"Orb_get","sfx/get_pickup_06.ogg",,45,45,100,100,1,4,,,,,,,,,,,
"Orb_glow_loop","sfx/orb_glow_03.ogg",,15,15,100,100,1,1,,"TRUE",,,,,,,,,
"Sound_Gen_explosion","sfx/laser_explo_01.ogg",,40,40,97,103,1,7,,,,,,,,,,,
"Sound_TNT_explosion","sfx/tnt_ulti_01.ogg",,60,60,97,103,1,7,,,,,,,,,,,
"Sound_Gen_small_explosion","sfx/gen_small_explo_02.ogg",,40,40,95,105,1,3,,,,,,,,,,,
"TNT_reload","sfx/tnt_reload_03.ogg",,50,50,98,102,1,3,,,,,,,,,,,
"gale_reload","sfx/gale_reload_01.ogg",,60,60,98,102,1,3,,,,,,,,,,,
"Sound_Blink","sfx/blink_01.ogg",,60,60,98,102,1,3,,,,,,,,,,,
"Sound_Heal","sfx/heal01.ogg",,50,50,100,100,1,3,,,,,,,,,,,
"Sound_Grenade","sfx/gr_launch02.ogg",,50,50,95,105,1,3,,,,,,,,,,,
"Skill_activated","sfx/skill_used_03.ogg",,20,25,95,105,1,4,,,,,,,,,,,
"Ulti_gain","sfx/ulti_gain_03.ogg",,25,25,100,100,1,1,100,,,,,,,,,,
"Ulti_ready","sfx/ulti_ready_01.ogg",,60,60,100,100,1,1,,,,,,,,,,,
"Laser_Count_15","sfx/countdown_01.ogg",,60,60,75,75,1,5,,,,,,,,,,,
"Laser_Count_14","sfx/countdown_01.ogg",,60,60,79,79,1,5,,,,,,,,,,,
"Laser_Count_13","sfx/countdown_01.ogg",,60,60,84,84,1,5,,,,,,,,,,,
"Laser_Count_12","sfx/countdown_01.ogg",,60,60,89,89,1,5,,,,,,,,,,,
"Laser_Count_11","sfx/countdown_01.ogg",,60,60,94,94,1,5,,,,,,,,,,,
"Laser_Count_10","sfx/countdown_01.ogg",,60,60,100,100,1,5,,,,,,,,,,,
"Laser_Count_9","sfx/countdown_01.ogg",,60,60,106,106,1,5,,,,,,,,,,,
"Laser_Count_8","sfx/countdown_01.ogg",,60,60,112,112,1,5,,,,,,,,,,,
"Laser_Count_7","sfx/countdown_01.ogg",,60,60,119,119,1,5,,,,,,,,,,,
"Laser_Count_6","sfx/countdown_01.ogg",,60,60,126,128,1,5,,,,,,,,,,,
"Laser_Count_5","sfx/countdown_01.ogg",,60,60,133,133,1,5,,,,,,,,,,,
"Laser_Count_4","sfx/countdown_01.ogg",,60,60,141,141,1,5,,,,,,,,,,,
"Laser_Count_3","sfx/countdown_01.ogg",,60,60,150,150,1,5,,,,,,,,,,,
"Laser_Count_2","sfx/countdown_01.ogg",,60,60,159,159,1,5,,,,,,,,,,,
"Laser_Count_1","sfx/countdown_01.ogg",,60,60,168,168,1,5,,,,,,,,,,,
"Laser_Count_0","sfx/countdown_01.ogg",,60,60,178,178,1,5,,,,,,,,,,,
"Low_health_1_loop","sfx/low_health_beep_03.ogg",,20,20,100,100,1,1,,"TRUE",,,,,,,,,
"Low_health_2_loop","sfx/low_health_beep_03.ogg",,30,30,200,200,1,1,,"TRUE",,,,,,,,,
"bandit_reload","sfx/bandit_reload_01.ogg",,25,25,95,105,1,3,,,,,,,,,,,
"Surge_Atk","sfx/surge_atk_01.ogg",,40,50,95,105,1,3,,,,,,,,,,,
"Surge_Dryfire","sfx/surge_dryfire_01.ogg",,50,50,95,105,1,3,,,,,,,,,,,
"Surge_Reload","sfx/surge_reload_01.ogg",,20,20,98,102,1,3,,,,,,,,,,,
"Surge_Ulti","sfx/surge_ulti_01.ogg",,70,70,100,100,1,3,,,,,,,,,,,
"Surge_Ulti_Land","sfx/surge_ulti_land_01.ogg",,80,80,98,102,1,3,,,,,,,,,,,
