"Name","RewardEmotes","RewardPlayerIcons","RewardTitles","RewardSprays","MasteryIconFile","MasteryIconExportName","CustomTrack","VisualComponentTypes","VisualComponentNames"
"string","string","string","string","string","string","string","string","string","string"
"MasteryShotgunGirl","emoji_shelly_facepalm","player_icon_shelly1","TitleMasteryShelly",,"sc/ui.sc","mastery_brawler_icon_shelly",,,
"MasteryGunslinger","emoji_colt_facepalm","player_icon_colt1","TitleMasteryColt",,"sc/ui.sc","mastery_brawler_icon_colt",,,
"MasteryBullDude","emoji_bull_facepalm","player_icon_bull1","TitleMasteryBull",,"sc/ui.sc","mastery_brawler_icon_bull",,,
"MasteryRocketGirl","emoji_brock_facepalm","player_icon_brock1","TitleMasteryBrock",,"sc/ui.sc","mastery_brawler_icon_brock",,,
"MasteryTrickshotDude","emoji_rico_facepalm","player_icon_rico1","TitleMasteryRico",,"sc/ui.sc","mastery_brawler_icon_rico",,,
"MasteryCactus","emoji_spike_facepalm","player_icon_spike1","TitleMasterySpike",,"sc/ui.sc","mastery_brawler_icon_spike",,,
"MasteryBarkeep","emoji_barley_facepalm","player_icon_barley1","TitleMasteryBarley",,"sc/ui.sc","mastery_brawler_icon_barley",,,
"MasteryMechanic","emoji_jessie_facepalm","player_icon_jessie1","TitleMasteryJessie",,"sc/ui.sc","mastery_brawler_icon_jessie",,,
"MasteryShaman","emoji_nita_facepalm","player_icon_nita1","TitleMasteryNita",,"sc/ui.sc","mastery_brawler_icon_nita",,,
"MasteryTntDude","emoji_dynamike_facepalm","player_icon_dynamike1","TitleMasteryDynamike",,"sc/ui.sc","mastery_brawler_icon_dynamike",,,
"MasteryLuchador","emoji_primo_facepalm","player_icon_primo1","TitleMasteryPrimo",,"sc/ui.sc","mastery_brawler_icon_primo",,,
"MasteryUndertaker","emoji_mortis_facepalm","player_icon_mortis1","TitleMasteryMortis",,"sc/ui.sc","mastery_brawler_icon_mortis",,,
"MasteryCrow","emoji_crow_facepalm","player_icon_crow1","TitleMasteryCrow",,"sc/ui.sc","mastery_brawler_icon_crow",,,
"MasteryDeadMariachi","emoji_poco_facepalm","player_icon_poco1","TitleMasteryPoco",,"sc/ui.sc","mastery_brawler_icon_poco",,,
"MasteryBowDude","emoji_bo_facepalm","player_icon_bo1","TitleMasteryBo",,"sc/ui.sc","mastery_brawler_icon_bo",,,
"MasterySniper","emoji_piper_facepalm","player_icon_piper1","TitleMasteryPiper",,"sc/ui.sc","mastery_brawler_icon_piper",,,
"MasteryMinigunDude","emoji_pam_facepalm","player_icon_pam1","TitleMasteryPam",,"sc/ui.sc","mastery_brawler_icon_pam",,,
"MasteryBlackHole","emoji_tara_facepalm","player_icon_tara1","TitleMasteryTara",,"sc/ui.sc","mastery_brawler_icon_tara",,,
"MasteryBarrelBot","emoji_darryl_facepalm","player_icon_darryl1","TitleMasteryDarryl",,"sc/ui.sc","mastery_brawler_icon_darryl",,,
"MasteryArtilleryDude","emoji_penny_facepalm","player_icon_penny1","TitleMasteryPenny",,"sc/ui.sc","mastery_brawler_icon_penny",,,
"MasteryHammerDude","emoji_frank_facepalm","player_icon_frank1","TitleMasteryFrank",,"sc/ui.sc","mastery_brawler_icon_frank",,,
"MasteryHookDude","emoji_gene_facepalm","player_icon_gene1","TitleMasteryGene",,"sc/ui.sc","mastery_brawler_icon_gene",,,
"MasteryClusterBombDude","emoji_tick_facepalm","player_icon_tick1","TitleMasteryTick",,"sc/ui.sc","mastery_brawler_icon_tick",,,
"MasteryNinja","emoji_leon_facepalm","player_icon_leon1","TitleMasteryLeon",,"sc/ui.sc","mastery_brawler_icon_leon",,,
"MasteryRosa","emoji_rosa_facepalm","player_icon_rosa1","TitleMasteryRosa",,"sc/ui.sc","mastery_brawler_icon_rosa",,,
"MasteryWhirlwind","emoji_carl_facepalm","player_icon_carl1","TitleMasteryCarl",,"sc/ui.sc","mastery_brawler_icon_carl",,,
"MasteryBaseball","emoji_bibi_facepalm","player_icon_bibi1","TitleMasteryBibi",,"sc/ui.sc","mastery_brawler_icon_bibi",,,
"MasteryArcade","emoji_8bit_facepalm","player_icon_8bit1","TitleMastery8bit",,"sc/ui.sc","mastery_brawler_icon_8bit",,,
"MasterySandstorm","emoji_sandy_facepalm","player_icon_sandy1","TitleMasterySandy",,"sc/ui.sc","mastery_brawler_icon_sandy",,,
"MasteryBeeSniper","emoji_bea_facepalm","player_icon_bea1","TitleMasteryBea",,"sc/ui.sc","mastery_brawler_icon_bea",,,
"MasteryMummy","emoji_emz_facepalm","player_icon_emz1","TitleMasteryEmz",,"sc/ui.sc","mastery_brawler_icon_emz",,,
"MasterySpawnerDude","emoji_mrp_facepalm","player_icon_mrp1","TitleMasteryMrp",,"sc/ui.sc","mastery_brawler_icon_mrp",,,
"MasterySpeedy","emoji_max_facepalm","player_icon_max1","TitleMasteryMax",,"sc/ui.sc","mastery_brawler_icon_max",,,
"MasteryDriller","emoji_jacky_facepalm","player_icon_jacky1","TitleMasteryJacky",,"sc/ui.sc","mastery_brawler_icon_jacky",,,
"MasteryBlower","emoji_gale_facepalm","player_icon_gale1","TitleMasteryGale",,"sc/ui.sc","mastery_brawler_icon_gale",,,
"MasteryController","emoji_nani_facepalm","player_icon_nani1","TitleMasteryNani",,"sc/ui.sc","mastery_brawler_icon_nani",,,
"MasteryWally","emoji_sprout_facepalm","player_icon_sprout1","TitleMasterySprout",,"sc/ui.sc","mastery_brawler_icon_sprout",,,
"MasteryPowerLeveler","emoji_surge_facepalm","player_icon_surge1","TitleMasterySurge",,"sc/ui.sc","mastery_brawler_icon_surge",,,
"MasteryPercenter","emoji_colette_facepalm","player_icon_colette1","TitleMasteryColette",,"sc/ui.sc","mastery_brawler_icon_colette",,,
"MasteryFireDude","emoji_amber_facepalm","player_icon_amber1","TitleMasteryAmber",,"sc/ui.sc","mastery_brawler_icon_amber",,,
"MasteryIceDude","emoji_lou_facepalm","player_icon_lou1","TitleMasteryLou",,"sc/ui.sc","mastery_brawler_icon_lou",,,
"MasterySnakeOil","emoji_byron_facepalm","player_icon_byron1","TitleMasteryByron",,"sc/ui.sc","mastery_brawler_icon_byron",,,
"MasteryEnrager","emoji_edgar_facepalm","player_icon_edgar1","TitleMasteryEdgar",,"sc/ui.sc","mastery_brawler_icon_edgar",,,
"MasteryRuffs","emoji_ruffs_facepalm","player_icon_ruffs1","TitleMasteryRuffs",,"sc/ui.sc","mastery_brawler_icon_ruffs",,,
"MasteryRoller","emoji_stu_facepalm","player_icon_stu1","TitleMasteryStu",,"sc/ui.sc","mastery_brawler_icon_stu",,,
"MasteryElectroSniper","emoji_belle_facepalm","player_icon_belle1","TitleMasteryBelle",,"sc/ui.sc","mastery_brawler_icon_belle",,,
"MasteryStickyBomb","emoji_squeak_facepalm","player_icon_squeak1","TitleMasterySqueak",,"sc/ui.sc","mastery_brawler_icon_squeak",,,
"MasteryCrossBomber","emoji_grom_facepalm","player_icon_grom1","TitleMasteryGrom",,"sc/ui.sc","mastery_brawler_icon_grom",,,
"MasteryRopeDude","emoji_buzz_facepalm","player_icon_buzz1","TitleMasteryBuzz",,"sc/ui.sc","mastery_brawler_icon_buzz",,,
"MasteryAssaultShotgun","emoji_griff_facepalm","player_icon_griff1","TitleMasteryGriff",,"sc/ui.sc","mastery_brawler_icon_griff",,,
"MasteryKnight","emoji_ash_facepalm","player_icon_ash1","TitleMasteryAsh",,"sc/ui.sc","mastery_brawler_icon_ash",,,
"MasteryMechaDude","emoji_meg_facepalm","player_icon_meg1","TitleMasteryMeg",,"sc/ui.sc","mastery_brawler_icon_meg",,,
"MasteryDuplicator","emoji_lola_facepalm","player_icon_lola1","TitleMasteryLola",,"sc/ui.sc","mastery_brawler_icon_lola",,,
"MasteryKickerDude","emoji_fang_facepalm","player_icon_fang1","TitleMasteryFang",,"sc/ui.sc","mastery_brawler_icon_fang",,,
"MasteryFlea","emoji_eve_facepalm","player_icon_eve1","TitleMasteryEve",,"sc/ui.sc","mastery_brawler_icon_eve",,,
"MasteryJetpackGirl","emoji_janet_facepalm","player_icon_janet1","TitleMasteryJanet",,"sc/ui.sc","mastery_brawler_icon_janet",,,
"MasteryCannonGirl","emoji_bonnie_facepalm","player_icon_bonnie1","TitleMasteryBonnie",,"sc/ui.sc","mastery_brawler_icon_bonnie",,,
"MasterySilencer","emoji_otto_facepalm","player_icon_otis1","TitleMasteryOtis",,"sc/ui.sc","mastery_brawler_icon_otis",,,
"MasteryWeaponThrower","emoji_bronson_facepalm","player_icon_sam1","TitleMasterySam",,"sc/ui.sc","mastery_brawler_icon_sam",,,
"MasterySoulCollector","emoji_gus_facepalm","player_icon_gus1","TitleMasteryGus",,"sc/ui.sc","mastery_brawler_icon_gus",,,
"MasteryShieldTank","emoji_cameron_facepalm","player_icon_buster1","TitleMasteryBuster",,"sc/ui.sc","mastery_brawler_icon_buster",,,
"MasteryJester","emoji_chester_facepalm","player_icon_chester1","TitleMasteryChester",,"sc/ui.sc","mastery_brawler_icon_chester",,,
"MasteryDoorMan","emoji_gray_facepalm","player_icon_gray1","TitleMasteryGray",,"sc/ui.sc","mastery_brawler_icon_gray",,,
"MasteryBeamer","emoji_mandy_facepalm","player_icon_mandy1","TitleMasteryMandy",,"sc/ui.sc","mastery_brawler_icon_mandy",,,
"MasterySplitter","emoji_rt_facepalm","player_icon_rt1","TitleMasteryRT",,"sc/ui.sc","mastery_brawler_icon_rt",,,
"MasteryPuppeteer","emoji_willow_facepalm","player_icon_willow1","TitleMasteryWillow",,"sc/ui.sc","mastery_brawler_icon_willow",,,
"MasteryMaisie","emoji_maisie_facepalm","player_icon_maisie1","TitleMasteryMaisie",,"sc/ui.sc","mastery_brawler_icon_maisie",,,
"MasteryFishTank","emoji_lilt_facepalm","player_icon_lilt1","TitleMasteryFishTank",,"sc/ui.sc","mastery_brawler_icon_lilt",,,
"MasteryDuelist","emoji_tox_facepalm","player_icon_cordelius1","TitleMasteryCordelius",,"sc/ui.sc","mastery_brawler_icon_cornelius",,,
"MasteryReviver","emoji_dino_facepalm","player_icon_doug1","TitleMasteryDoug",,"sc/ui.sc","mastery_brawler_icon_doug",,,
