"Name","BillingPackages","Tiers"
"string","string","int"
"0.29USD","com.supercell.laser.bundle029",100
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
"0.39USD","com.supercell.laser.bundle039",100
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
"0.49USD","com.supercell.laser.bundle049",100
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
"0.59USD","com.supercell.laser.bundle059",100
,"com.supercell.laser.bundle029",60
,"com.supercell.laser.bundle029",50
"0.69USD","com.supercell.laser.bundle069",100
,"com.supercell.laser.bundle039",60
,"com.supercell.laser.bundle029",50
"0.79USD","com.supercell.laser.bundle079",100
,"com.supercell.laser.bundle039",60
,"com.supercell.laser.bundle039",50
"0.89USD","com.supercell.laser.bundle089",100
,"com.supercell.laser.bundle049",60
,"com.supercell.laser.bundle039",50
"0.99USD","com.supercell.laser.bundle099",100
,"com.supercell.laser.bundle059",60
,"com.supercell.laser.bundle049",50
"1.09USD","com.supercell.laser.bundle109",100
,"com.supercell.laser.bundle059",60
,"com.supercell.laser.bundle049",50
"1.19USD","com.supercell.laser.bundle119",100
,"com.supercell.laser.bundle069",60
,"com.supercell.laser.bundle059",50
"1.29USD","com.supercell.laser.bundle129",100
,"com.supercell.laser.bundle069",60
,"com.supercell.laser.bundle059",50
"1.39USD","com.supercell.laser.bundle139",100
,"com.supercell.laser.bundle079",60
,"com.supercell.laser.bundle069",50
"1.49USD","com.supercell.laser.bundle149",100
,"com.supercell.laser.bundle089",60
,"com.supercell.laser.bundle069",50
"1.59USD","com.supercell.laser.bundle159",100
,"com.supercell.laser.bundle089",60
,"com.supercell.laser.bundle079",50
"1.69USD","com.supercell.laser.bundle169",100
,"com.supercell.laser.bundle099",60
,"com.supercell.laser.bundle079",50
"1.79USD","com.supercell.laser.bundle179",100
,"com.supercell.laser.bundle099",60
,"com.supercell.laser.bundle089",50
"1.89USD","com.supercell.laser.bundle189",100
,"com.supercell.laser.bundle109",60
,"com.supercell.laser.bundle089",50
"1.99USD","com.supercell.laser.bundle199",100
,"com.supercell.laser.bundle119",60
,"com.supercell.laser.bundle099",50
"2.09USD","com.supercell.laser.bundle209",100
,"com.supercell.laser.bundle119",60
,"com.supercell.laser.bundle099",50
"2.19USD","com.supercell.laser.bundle219",100
,"com.supercell.laser.bundle129",60
,"com.supercell.laser.bundle109",50
"2.29USD","com.supercell.laser.bundle229",100
,"com.supercell.laser.bundle129",60
,"com.supercell.laser.bundle109",50
"2.39USD","com.supercell.laser.bundle239",100
,"com.supercell.laser.bundle139",60
,"com.supercell.laser.bundle119",50
"2.49USD","com.supercell.laser.bundle249",100
,"com.supercell.laser.bundle149",60
,"com.supercell.laser.bundle119",50
"2.59USD","com.supercell.laser.bundle259",100
,"com.supercell.laser.bundle149",60
,"com.supercell.laser.bundle129",50
"2.69USD","com.supercell.laser.bundle269",100
,"com.supercell.laser.bundle159",60
,"com.supercell.laser.bundle129",50
"2.79USD","com.supercell.laser.bundle279",100
,"com.supercell.laser.bundle159",60
,"com.supercell.laser.bundle139",50
"2.89USD","com.supercell.laser.bundle289",100
,"com.supercell.laser.bundle169",60
,"com.supercell.laser.bundle139",50
"2.99USD","com.supercell.laser.bundle299",100
,"com.supercell.laser.bundle179",60
,"com.supercell.laser.bundle149",50
"3.29USD","com.supercell.laser.bundle329",100
,"com.supercell.laser.bundle189",60
,"com.supercell.laser.bundle159",50
"3.49USD","com.supercell.laser.bundle349",100
,"com.supercell.laser.bundle209",60
,"com.supercell.laser.bundle169",50
"3.79USD","com.supercell.laser.bundle379",100
,"com.supercell.laser.bundle219",60
,"com.supercell.laser.bundle189",50
"3.99USD","com.supercell.laser.bundle399",100
,"com.supercell.laser.bundle239",60
,"com.supercell.laser.bundle199",50
"4.29USD","com.supercell.laser.bundle429",100
,"com.supercell.laser.bundle249",60
,"com.supercell.laser.bundle209",50
"4.49USD","com.supercell.laser.bundle449",100
,"com.supercell.laser.bundle269",60
,"com.supercell.laser.bundle219",50
"4.79USD","com.supercell.laser.bundle479",100
,"com.supercell.laser.bundle279",60
,"com.supercell.laser.bundle239",50
"4.99USD","com.supercell.laser.bundle499",100
,"com.supercell.laser.bundle299",60
,"com.supercell.laser.bundle249",50
"5.49USD","com.supercell.laser.bundle549",100
,"com.supercell.laser.bundle329",60
,"com.supercell.laser.bundle269",50
"5.99USD","com.supercell.laser.bundle599",100
,"com.supercell.laser.bundle349",60
,"com.supercell.laser.bundle299",50
"6.49USD","com.supercell.laser.bundle649",100
,"com.supercell.laser.bundle379",60
,"com.supercell.laser.bundle299",50
"6.99USD","com.supercell.laser.bundle699",100
,"com.supercell.laser.bundle399",60
,"com.supercell.laser.bundle349",50
"7.49USD","com.supercell.laser.bundle749",100
,"com.supercell.laser.bundle449",60
,"com.supercell.laser.bundle349",50
"7.99USD","com.supercell.laser.bundle799",100
,"com.supercell.laser.bundle479",60
,"com.supercell.laser.bundle399",50
"8.49USD","com.supercell.laser.bundle849",100
,"com.supercell.laser.bundle499",60
,"com.supercell.laser.bundle399",50
"8.99USD","com.supercell.laser.bundle899",100
,"com.supercell.laser.bundle499",60
,"com.supercell.laser.bundle449",50
"9.49USD","com.supercell.laser.bundle949",100
,"com.supercell.laser.bundle549",60
,"com.supercell.laser.bundle449",50
"9.99USD","com.supercell.laser.bundle999",100
,"com.supercell.laser.bundle599",60
,"com.supercell.laser.bundle499",50
"10.99USD","com.supercell.laser.bundle1099",100
,"com.supercell.laser.bundle649",60
,"com.supercell.laser.bundle549",50
"11.99USD","com.supercell.laser.bundle1199",100
,"com.supercell.laser.bundle699",60
,"com.supercell.laser.bundle599",50
"12.99USD","com.supercell.laser.bundle1299",100
,"com.supercell.laser.bundle749",60
,"com.supercell.laser.bundle649",50
"13.99USD","com.supercell.laser.bundle1399",100
,"com.supercell.laser.bundle799",60
,"com.supercell.laser.bundle699",50
"14.99USD","com.supercell.laser.bundle1499",100
,"com.supercell.laser.bundle899",60
,"com.supercell.laser.bundle749",50
"15.99USD","com.supercell.laser.bundle1599",100
,"com.supercell.laser.bundle949",60
,"com.supercell.laser.bundle799",50
