"Name","BehaviorType","EquipType","CanMoveAtSameTime","Targeted","AutoAttackType","AttackFacing","Cooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","OverchargedChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","MeleeAttackPiercesEnvironment","Projectile","OverchargedProjectile","OverchargedChainProjectile","SummonedCharacter","OverchargedSummonedCharacter","AreaEffectObject","AreaEffectObject2","AreaEffect2AtEndOfCharge","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollowType","SpawnedItem","OverchargedSpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","SecondaryProjectile","ThirdProjectile","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","HealSelfOnActivationType","HealSelfOnActivationPower","LowHealthSpeedupPercent","ActivationSelfStatusEffect","ActivationSelfStatusEffectOvercharged","InterruptType","TID","Desc","CustomString","CustomString2","CustomValue","CustomValue2"
"string","String","String","boolean","boolean","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","int","int","boolean","int","boolean","boolean","string","string","string","string","string","string","string","boolean","string","string","string","string","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","int","string","string","string","string","boolean","string","string","int","int","boolean","boolean","int","int","int","string","string","int","String","String","string","string","int","int"
"ShotgunGirlWeapon","Attack","weapon","true","true","","","250","150","","23","","","","","","1500","3","300","","100","60","","5","","true","","","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"ShotgunGirlUlti","Attack","ulti","true","true","","","250","150","","23","","","","","","","","320","","100","100","","9","","true","","","","","","","","","","","","ShotgunGirlUltiProjectile","ShotgunGirlOverchargedUltiProjectile","","","","","","","","","","","","","","","","shelly_def_ulti","shelly_def_overcharge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerWeapon","Attack","weapon","true","true","","","50","650","","27","","","","","","1400","3","360","","100","0","","1","true","true","","","","","","","","","","","","GunslingerProjectile","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"GunslingerUlti","Attack","ulti","true","true","","","50","1250","","33","","","","","","","","320","","100","0","","1","true","true","","","","","","","","","","","","GunslingerUltiProjectile","GunslingerOverchargedUltiProjectile","","","","","","","","","","","","","","","","colt_def_ulti","colt_def_overcharge","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeWeapon","Attack","weapon","true","true","","","250","150","","16","","","","","","1600","3","440","","100","90","","5","","true","","","","","","","","","","","","BullDudeProjectile","","","","","","","","","","","","","","","","","bull_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BullDudeUlti","Charge","ulti","","true","","","50","","","33","","","","","","","","960","","","","","","","","","130","","1800","1","","","","","true","","","","","","","","","","","","","","","","","","","","","bull_dude_ulti","","","","bull_dude_ulti_loop","","bull_def_overcharge","bull_def_overcharge_loop","Rhinostep","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlWeapon","Attack","weapon","true","true","","","250","150","","27","","","","","","2100","3","1160","","100","","","1","","true","","","","","","","","","","","","RocketGirlProjectile","","","","","","","","","","","","","","","","","brock_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"RocketGirlUlti","Attack","ulti","true","true","","","250","1850","","25","","","","","","","","1040","","200","160","9","1","","true","","","","","","","","","","","","RocketGirlUltiProjectile","RocketGirlUltiOverchargedProjectile","","","","","","","","","","","","","","","","brock_def_ulti","brock_def_oc_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeWeapon","Attack","weapon","true","true","","","50","800","","29","","","","","","1200","3","320","","150","15","1","1","","true","","","","","","","","","","","","TrickshotDudeProjectile","","","","","","","","","","","","","","","","","rico_def_atk","rico_008_hc_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
