"Name","NameTID","InfoTID","BgItemName","BgOfferPopup","SkinBuyRequiresExclusiveOption","EmoteBundleName","CampaignIconExportName","DisabledFromCatalog","ShowInCatalogCollectionsSection","CatalogSortingOrder","BundledUnderCatalogCategory","CatalogNameOverrideTID","CatalogDescriptionTID","UseSecondCampaing"
"String","String","String","String","String","boolean","String","String","boolean","boolean","int","String","String","String","boolean"
"BRAWLIDAYS","TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE",,"bg_campaign_1","offer_bgr_xmas23",,,"icon_skins_brawlmas",,,,,"TID_CATALOG_NAME_BRAWLIDAYS","TID_CATALOG_DESC_BRAWLIDAYS",
"LNY_2019","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2019",,"bg_campaign_5","offer_bgr_lny24",,,"icon_skins_lny20",,,,,"TID_CATALOG_NAME_LNY",,
"BRAWLOWEEN2020","TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE",,"bg_campaign_3","offer_bgr_zombie",,,"icon_skins_brawloween",,,,"BRAWLOWEEN",,,
"LINE","TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE",,"bg_campaign_4","offer_bgr_blue",,,"icon_skins_line",,,,,,,
"LNY_2020","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2020",,"bg_campaign_5","offer_bgr_lny24",,,"icon_skins_lny20",,,,"LNY_2019",,,
"PSG","TID_SKIN_INFO_CAMPAIGN_6_NOT_AVAILABLE",,"bg_campaign_6","offer_bgr_football2024",,,"icon_skins_psg",,,,,,,
"SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_NOT_AVAILABLE","bg_campaign_7","offer_bgr_make",,,"icon_skins_make",,,,,,,"TRUE"
"ARCHIVING","TID_SKIN_INFO_CAMPAIGN_8_NOT_AVAILABLE",,"bg_campaign_8","offer_bgr_blue",,,"icon_skins_archive",,,,,,,
"ARCHIVED","TID_SKIN_INFO_CAMPAIGN_9_NOT_AVAILABLE",,"bg_campaign_9","offer_bgr_blue",,,"icon_skins_archive",,,,,,,
"SC10","TID_SKIN_INFO_CAMPAIGN_10_NOT_AVAILABLE",,"bg_campaign_10","offer_bgr_blue",,,"icon_skins_sc10y",,,,,,,
"BRAWLPASS","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11","offer_bgr_blue",,,"icon_skins_brawl_pass",,,,,,"TID_CATALOG_DESC_BRAWLPASS","TRUE"
"CHINA","TID_SKIN_INFO_CAMPAIGN_12_NOT_AVAILABLE",,"bg_campaign_12","offer_bgr_rarity_mythic",,,"icon_skins_prereg_cn",,,,,,,
"SILVER","TID_SKIN_INFO_CAMPAIGN_13_NOT_AVAILABLE",,"bg_campaign_13","offer_bgr_rarity_common",,,"icon_skins_silver",,"TRUE",,,,,
"GOLD","TID_SKIN_INFO_CAMPAIGN_14_NOT_AVAILABLE",,"bg_campaign_14","offer_bgr_gold",,,"icon_skins_gold",,"TRUE",,,,,
"WF_2020","TID_SKIN_INFO_CAMPAIGN_15_NOT_AVAILABLE",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,-25,,"TID_CATALOG_NAME_BSC",,
"BRAWLIDAYS_2018","TID_SKIN_INFO_CAMPAIGN_BRAWLIDAYS_2018",,"bg_campaign_1","offer_bgr_xmas23",,,"icon_skins_brawlmas",,,,"BRAWLIDAYS",,,
"ANNIVERSARY2019","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2019",,"bg_campaign_16","offer_bgr_blue",,,"icon_skins_anniversary",,,,,"TID_CATALOG_NAME_ANNIVERSARY",,
"ANNIVERSARY2020","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2020",,"bg_campaign_16","offer_bgr_outlaw",,,"icon_skins_anniversary",,,,"ANNIVERSARY2019",,,
"LNY_2021","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2021",,"bg_campaign_5","offer_bgr_lny24",,,"icon_skins_lny20",,,,"LNY_2019",,,
"RANKED","TID_SKIN_INFO_CAMPAIGN_RANKED",,"bg_campaign_ranked","offer_bgr_rarity_mythic","TRUE",,"icon_skins_ranked",,,,,,,"TRUE"
"LAML","TID_SKIN_INFO_CAMPAIGN_LAML",,"bg_campaign_laml","offer_bgr_football2024",,,"icon_skins_laml",,,,,,,
"PUNK","TID_SKIN_INFO_CAMPAIGN_PUNK_TITLE",,"bg_campaign_punk","offer_bgr_punk",,,"icon_skins_punk",,,,,,,
"BRAWLPASS_PUNK","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11","offer_bgr_punk",,,"icon_skins_brawl_pass",,,,,,,
"C1A","TID_SKIN_INFO_CAMPAIGN_C1A",,"bg_campaign_c1a","offer_bgr_blue",,,"icon_skins_mega",,,,,,,
