"Name","ParentStatusEffectForSkin","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","Damage","UltiChargePercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","ChainStatusEffect","ChainStatusEffect2","PersistTransformation","HapticsToSource","UseColorMod","RedAdd","GreenAdd","BlueAdd","StartEffect","LoopedEffect","LoopedEffectRemoveType","TimerBar","TriggerEffect","EndEffect"
"string","string","int","int","boolean","Boolean","Boolean","Boolean","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","boolean","boolean","boolean","boolean","string","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","string","string","string","boolean","boolean","boolean","int","int","int","string","string","string","boolean","string","string"
"WhirlwindTrailFire",,80,,,,,,20,,,"TRUE",370,30,,,,,,,,,,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"WhirlwindUltiTrailFire",,80,,,,,,20,,,"TRUE",370,30,,,,,,,,,,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"PetrolFire",,80,,,,,,20,,,"TRUE",480,100,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"PetrolFireIce","PetrolFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,"poisoned_008","end",,,
"PetrolFireBubbles","PetrolFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,"poisoned_011","end",,,
"RollerFire",,80,,,,,,20,,,"TRUE",200,100,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"RollerFireIce","RollerFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,"poisoned_008","end",,,
"PuppeteerPoison",,40,,,,,,20,"TRUE","TRUE",,400,100,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,"TRUE","TRUE",0,100,0,,"willow_def_atk_poison","end",,,
"Puppeteer002Poison","PuppeteerPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,"willow_def_atk_poison","end",,,
"Puppeteer003Poison","PuppeteerPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,"willow_003_fire","end",,,
"SharpenedAmmoBleed",,60,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,"TRUE",150,0,0,,"status_blood","end",,,
"CollabAssassinBleed",,120,,,,,,20,,,,65,30,,,,,,,,,,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,"TRUE",150,0,0,,"status_blood","end",,,
"JesterUltiPoison",,120,,,,,,20,"TRUE",,"TRUE",290,100,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_001","end",,,
"FleaPetDot",,80,,,,,,20,,"TRUE",,200,100,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_006","end",,,
"FleaPetHot",,80,,,,,,20,,"TRUE",,,,,250,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,0,0,0,,"heal_over_time_3","end",,,
"FleaExtraPetDot",,40,,,,,,20,,"TRUE",,200,100,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_006","end",,,
"SamuraiShield",,9999999,,"TRUE",,,,,,,"TRUE",,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"buff_shield","remove",,,
"SamuraiHide",,120,,,"TRUE",,,,,,"TRUE",,,,,100,,,100,,,"TRUE","TRUE","TRUE","TRUE","full","TRUE",,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,
"SnakeOilDot",,40,,,,,,20,"TRUE","TRUE",,380,68,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,"TRUE","TRUE",0,100,0,,"snake_oil_poison_1","end",,,
"SnakeOilHot",,40,,,,,,20,"TRUE","TRUE",,,,,380,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,0,0,0,,"heal_over_time_3","end",,,
"SnakeOilGadgetDot",,40,,,,,,20,"TRUE","TRUE",,304,82,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,"TRUE","TRUE",0,100,0,,"snake_oil_poison_1","end",,,
"SnakeOilGadgetHot",,40,,,,,,20,"TRUE","TRUE",,,,,228,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,0,0,0,,"heal_over_time_3","end",,,
