"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID","EN","AR","CN","CNT","DE","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_SHIELD_TANK_OVERCHARGE","PLOT ARMOR","درع الحبكة","主角光环","主角光環","HAUPTFIGUR-IMMUNITÄT","ARMADURA ARGUMENTAL","JUONIHAARNISKA","ARMURE INTOUCHABLE","שריון עלילה","LAPIS BAJA","PLOT TWIST","シネマティックバリア","플롯 아머","NASIB WATAK UTAMA","PLOTPANTSERING","TARCZA FABULARNA","BLINDAGEM ABSOLUTA","СЮЖЕТНАЯ БРОНЯ","เกราะไร้สิ้นชีพ","KURGU KALKAN","HÀO QUANG NHÂN VẬT CHÍNH"
"TID_COMPETITIVEPASS_ALREADY_UNLOCKED_COMPENSATION_INFO","Pro Pass had already been unlocked at the time of processing your purchase. As compensation, <NUM> Gems have been added to your account.","تم فتح PRO Pass بالفعل في وقت معالجة عملية الشراء. وتعويضًا لذلك، أضفنا <NUM> من الجواهر إلى حسابك.","处理购买操作时，巅峰通行证已经被启用。作为补偿，我们已将<NUM>宝石发送到您的账号。","處理購買操作時，PRO通行券已經被啟用。作為補償，我們已將<NUM>寶石發送到你的帳號。","Der Pro-Pass war zum Zeitpunkt der Bearbeitung deines Kaufs bereits freigeschaltet. Deshalb wurden deinem Konto als Entschädigung <NUM> Juwelen gutgeschrieben.","El Pro Pass ya estaba desbloqueado cuando se procesó la compra. Se han añadido <NUM> gemas a tu cuenta como compensación.","Ostosi käsittelyn aikaan Pro Pass on jo avattu. Korvaukseksi tilillesi on lisätty <NUM> jalokiveä.","Le Pass Pro avait déjà été débloqué au moment du traitement de votre achat. En guise de compensation, nous avons crédité votre compte de <NUM> gemmes.","ה-Pro Pass נפתח כבר בעת עיבוד הרכישה שלך. בתור פיצוי, הוספנו <NUM> יהלומים לחשבונכם.","Pro Pass sudah didapatkan saat pembelianmu sedang diproses. Sebagai kompensasi, <NUM> Permata telah ditambahkan ke akunmu.","Il Pass Pro era già sbloccato al momento dell'elaborazione dell'acquisto. Abbiamo aggiunto <NUM> gemme all'account come risarcimento.","購入処理が行われた時点で、プロパスがすでにアンロックされていたことが判明しました。補償として、エメラルド<NUM>個があなたのアカウントに追加されました。","구매가 처리되는 시점에 이미 프로 패스가 잠금 해제되어 있었습니다. 이에 대한 보상으로 보석 <NUM>개가 계정으로 지급되었습니다.","Pro Pass sudah dibuka pada masa pembelian anda diproses. Sebagai pampasan, <NUM> permata telah ditambah ke akaun anda.","De Pro Pass was al ontgrendeld wanneer je aankoop werd verwerkt. Ter compensatie zijn er <NUM> edelstenen aan je account toegevoegd.","Karnet PRO był już odblokowany w czasie przetwarzania Twojego zakupu. W ramach rekompensaty dodaliśmy do Twojego konta klejnoty w liczbie: <NUM>.","O Pro Pass já estava desbloqueado quando a sua compra foi processada. Para compensar, foram adicionadas <NUM> gemas à sua conta.","На момент обработки покупки Pro Pass уже был разблокирован. В качестве компенсации вам начислены кристаллы (<NUM>).","Pro Pass ได้ถูกปลดล็อคในขณะที่กำลังดำเนินการซื้อ เราขอชดเชยด้วยการมอบอัญมณี <NUM> เม็ดไปยังบัญชีของคุณ","Satın alım sırasında Pro Pass zaten etkin olduğundan, durumu telafi etmek için hesabınıza <NUM> elmas ekledik.","Vé Pro đã được mở khóa tại thời điểm bạn thực hiện giao dịch mua. Để bồi thường, chúng tôi đã bổ sung <NUM> viên Ngọc vào tài khoản của bạn."
"TID_MECHA_DUDE_OVERCHARGE_DESC","Meg's Mecha has an increased swipe range when activating its Super. While out of the Mecha, Meg pops a defensive shield for protection.","يتمتع آلي ميج بنطاق هجوم أوسع عند تفعيل زخمه. عندما تكون ميج خارج الآلي، تخرج درعًا دفاعيًا للحماية.","强袭机甲的铁臂挥舞范围大幅度提升。梅格离开强袭机甲时会获得承伤护盾。","機甲的鐵臂揮舞範圍大幅度提升。梅格離開機甲時會獲得防禦護盾。","Megs Roboter verfügt über eine erhöhte Angriffsreichweite, wenn sein Superskill aktiviert wird. Wenn Meg sich nicht in ihrem Roboteranzug befindet, aktiviert sie einen defensiven Schutzschild.","El alcance de los golpes del meca de Meg aumenta al usar su súper. Fuera de su meca, Meg recibe un escudo defensivo.","Megin mechan superhyökkäys ulottuu kauemmas. Mechan ulkopuolella Meg aktivoi suojakilven suojakseen.","La portée du mécha de Meg est améliorée quand le super est activé. En-dehors du mécha, Meg fait apparaître un bouclier défensif qui la protège.","למכונה של מג יש טווח החלקה מוגדל בעת הפעלת תכונת הסופר שלה. כשהיא מחוץ למכונה, מג שולפת מגן לצורכי התגוננות.","Jangkauan serangan Mecha akan bertambah saat kekuatan Super aktif. Saat berada di luar Mecha, Meg mengerahkan perisai untuk melindungi diri.","Migliora la portata del colpo sferrato dal mecha con la super e protegge Meg con uno scudo difensivo quando la brawler non è a bordo del robot.","メカに搭乗中は必殺技の攻撃範囲が拡大し、生身の状態では防衛シールドが付与される。","메카에 탑승 중일 때는 특수 공격의 공격 범위가 확대되고, 내린 상태에서는 메그 자신을 보호하는 보호막을 얻습니다.","Jarak serangan Robot Meg meningkat apabila mengaktifkan Super. Apabila berada di luar robot, Meg akan mempunyai pelindung pertahanan.","Megs mecha heeft een groter veegbereik als de super ervan actief is. Terwijl Meg uit de mecha is, krijgt ze een defensief schild ter bescherming.","Mecha Meg ma zwiększony zasięg uderzenia podczas aktywowania superataku. Przebywając poza Mecha, Meg używa do obrony tarczy.","O alcance do golpe do robô da Meg aumenta quando o Super está ativado. A Meg usa um escudo de proteção quando está fora do robô.","Активация Супера увеличивает диапазон удара мехи. Находясь вне мехи, Мэг получает щит.","ชุดหุ่นยนต์ของเม็กมีระยะเหวี่ยงแขนเพิ่มขึ้นเมื่อเปิดใช้ท่าไม้ตาย เมื่อออกมาจากชุดหุ่นยนต์ เม็กเปิดใช้โล่ป้องกันเพื่อปกป้องตัวเธอเอง","Süperini etkinleştirdiğinde Meg'in mekasının vuruş menzili artar. Meg, mekanın dışındayken koruma için bir savunma kalkanı açar.","Robot của Meg được tăng phạm vi ra đòn khi kích hoạt Tuyệt chiêu. Khi ở ngoài Robot, Meg sẽ có một khiên chắn bảo vệ."
"TID_TREASURE_TWO_FROM_VICTORY","Two Treasures from victory!","كنزان يفصلانك عن النصر!","我方再获取2份宝藏即可获胜！","我方再獲取2份寶藏即可獲勝！","Noch zwei Schätze bis zum Sieg!","¡Dos tesoros más para ganar!","Kahden aarteen päässä voitosta!","À 2 trésors de la victoire !","חסרים שני אוצרות לניצחון!","Dua Harta Karun lagi untuk menang!","Due tesori dalla vittoria!","あと2つ財宝を集めると勝利！","승리까지 남은 보물: 2개!","Dua harta lagi untuk menang!","Nog twee schatten voor overwinning!","Od wygranej dzielą Cię dwa skarby!","Só mais dois tesouros para a vitória!","2 сокровища до победы!","เหลือดาวขุมทรัพย์อีกสองดวงก็จะชนะแล้ว!","Zafere iki hazine kaldı!","Thêm hai Kho báu là chiến thắng!"
"TID_TREASURE_TWO_FROM_DEFEAT","Two Treasures from defeat!","كنزان يفصلانك عن الهزيمة!","敌方再获取2份宝藏即可获胜！","敵方再獲取2份寶藏即可獲勝！","Zwei Schätze von Niederlage entfernt!","¡Dos tesoros más para perder!","Kahden aarteen päässä tappiosta!","À 2 trésors de la défaite !","חסרים שני אוצרות מתבוסה!","Dua Harta Karun lagi dan kamu kalah!","Due tesori dalla sconfitta!","あと2つ財宝を奪われると敗北！","패배까지 남은 보물: 2개!","Dua harta lagi sebelum kalah!","Nog twee schatten tot nederlaag!","Od porażki dzielą Cię dwa skarby!","Só mais dois tesouros para a derrota!","2 сокровища до поражения!","เหลือดาวขุมทรัพย์อีกสองดวงก็จะแพ้แล้ว!","Yenilgiye iki hazine kaldı!","Thêm hai Kho báu là thua trận!"
"TID_GAME_MODE_56_DESC","Walk on top of a Treasure Plate to uncover some Treasure. Collect 10 Treasures to win!\n\nYou cannot steal Treasure that the opponent has already collected.\n\nTreasure Plates in the middle of the map provide Treasure faster!","امشِ فوق لوحة الكنز لكشف بعض الكنوز. اجمع 10 كنوز للفوز!\n\nلا يمكنك الاستحواذ على الكنوز التي جمعها الخصم بالفعل.\n\nلوحات الكنز في وسط الخريطة توفر الكنوز بشكل أسرع!","走到石板上，发现隐藏的宝藏。收集10份宝藏即可获胜！\n\n无法夺走对手已收集的宝藏。\n\n地图中央的石板出现宝藏的速度会更快！","走到石板上，發現隱藏的寶藏。收集10份寶藏即可獲勝！\n\n無法奪走對手已收集的寶藏。\n\n地圖中央的石板出現寶藏的速度會更快！","Laufe über Schatzplatten, um Schätze aufzudecken. Sammle 10 Schätze, um zu gewinnen!\n\nDu kannst keine Schätze stehlen, die der Gegner bereits eingesammelt hat.\n\nSchatzplatten in der Mitte der Map gewähren schneller Schätze!","Camina sobre las plataformas de tesoros para desenterrarlos. ¡Reúne 10 tesoros para ganar!\n\nNo podrás robar los tesoros que consiga tu rival.\n\nLas plataformas del centro del mapa generan tesoros con mayor rapidez.","Paljasta aarteita kävelemällä aarrelevyjen yli. Voita keräämällä 10 aarretta!\n\nEt voi varastaa vastustajan keräämiä aarteita.\n\nKartan keskellä olevat aarrelevyt antavat aarteita nopeammin!","Déplacez-vous sur l'emplacement d'un trésor pour le déterrer. Récupérez 10 trésors pour gagner !\n\nLes trésors déjà récupérés par l'ennemi ne peuvent pas être volés.\n\nLes emplacements au milieu de la carte donnent le trésor plus vite !","צריך לדרוך על לוח אוצר כדי לחשוף אותו. יש לאסוף 10 אוצרות כדי לזכות!\n\nלא ניתן לגנוב אוצר שהיריב כבר אסף.\n\nלוחות אוצר באמצע המפה מספקים אוצר מהר יותר!","Mari berburu harta karun di atas lempengan Harta Karun. Kumpulkan 10 Harta Karun untuk menang!\n\nKamu tidak bisa mencuri Harta Karun yang sudah diambil lawan.\n\nLempengan Harta Karun di tengah peta akan memberikan Harta Karun lebih cepat!","Sali su una piattaforma per ottenere il tesoro che contiene e accumulane dieci per vincere!\n\nNon puoi sottrarre a un nemico i tesori che ha già raccolto.\n\nLe piattaforme nel centro dell'arena rilasciano i tesori più in fretta!","トレジャープレートの上に立つと財宝が出現！10個集めて勝利を目指そう！\n\n敵が回収した財宝は奪えないので注意！\n\nマップ中央のプレートは財宝の出現速度がアップ！","보물판 위를 걸어 보물을 발견하세요. 보물 10개를 모으면 승리합니다!\n\n상대가 이미 모은 보물은 훔칠 수 없습니다.\n\n맵 중앙에 있는 보물판에서는 보물이 더 빨리 등장합니다!","Pijak Papak Harta Karun untuk mendedahkan harta. Kumpul 10 harta untuk menang!\n\nAnda tidak boleh mencuri harta yang musuh telah kumpul.\n\nPapak Harta Karun di tengah peta mewujudkan harta lebih cepat!","Loop over schatplaten om schatten te onthullen. Verzamel 10 schatten om te winnen!\n\nJe kunt geen schatten stelen die de tegenstander al heeft verzameld.\n\nSchatplaten in het midden van de kaart leveren sneller schatten op!","Wejdź na płytę, aby odkrywać skarby. Zbierz 10 skarbów, aby wygrać!\n\nSkarby zebrane przez przeciwników nie mogą zostać skradzione.\n\nPłyty pośrodku mapy szybciej zapewniają skarby.","Descubra tesouros andando sobre a plataforma e colete 10 deles para vencer!\n\nOs tesouros coletados pelos oponentes não podem ser roubados.\n\nAs plataformas no centro do mapa oferecem tesouros com mais rapidez!","Наступи на платформу с сокровищами, чтобы найти сокровище. Для победы нужно собрать 10 сокровищ.\n\nУкрасть сокровище, которое уже забрал противник, нельзя.\n\nПлатформы с сокровищами в центре карты дают сокровища быстрее.","ยืนบนแท่นขุมทรัพย์เพื่อเผยดาวขุมทรัพย์ เก็บดาวขุมทรัพย์ 10 ดวงเพื่อชนะ!\n\nคุณไม่สามารถขโมยดาวขุมทรัพย์ที่คู่ต่อสู้เก็บไปก่อนแล้วได้\n\nแท่นขุมทรัพย์ตรงกลางแผนที่จะเผยดาวขุมทรัพย์เร็วกว่า!","Platformda yürüdüğünde hazineler açığa çıkar. 10 hazine toplayan kazanır!\n\nDüşmanın topladığı hazineleri çalamazsın.\n\nHaritanın ortasındaki hazine platformlarından daha hızlı hazine toplayabilirsin!","Bước lên một Phiến đá để hé lộ Kho báu. Thu thập 10 Kho báu để chiến thắng!\n\nBạn không thể cướp đoạt Kho báu mà đối thủ đã thu thập.\n\nCác Phiến đã ở giữa bản đồ sẽ hé lộ Kho báu nhanh hơn!"
