"Name","FameToNext","Group","TID","IconSWF","IconExportName","IconBigExportName","IconStarsExportName","Reward","RewardType"
"string","int","int","String","String","String","String","String","String","int"
"Global1",2000,1,"TID_FAME_TIER_GLOBAL1","sc/ui.sc","icon_fame_tier_1_1","fame_big_tier_1","fame_stars_tier_1_1","globalFrame",63
"Global2",2000,1,"TID_FAME_TIER_GLOBAL2","sc/ui.sc","icon_fame_tier_1_2","fame_big_tier_1","fame_stars_tier_1_2","player_icon_fame_earth",25
"Global3",2000,1,"TID_FAME_TIER_GLOBAL3","sc/ui.sc","icon_fame_tier_1_3","fame_big_tier_1","fame_stars_tier_1_3","emoji_fame_earth",19
"Lunar1",3200,2,"TID_FAME_TIER_LUNAR1","sc/ui.sc","icon_fame_tier_2_1","fame_big_tier_2","fame_stars_tier_2_1","lunarFrame",63
"Lunar2",3200,2,"TID_FAME_TIER_LUNAR2","sc/ui.sc","icon_fame_tier_2_2","fame_big_tier_2","fame_stars_tier_2_2","player_icon_fame_moon",25
"Lunar3",3200,2,"TID_FAME_TIER_LUNAR3","sc/ui.sc","icon_fame_tier_2_3","fame_big_tier_2","fame_stars_tier_2_3","emoji_fame_moon",19
"Martial1",4500,3,"TID_FAME_TIER_MARTIAL1","sc/ui.sc","icon_fame_tier_3_1","fame_big_tier_3","fame_stars_tier_3_1","martialFrame",63
"Martial2",4500,3,"TID_FAME_TIER_MARTIAL2","sc/ui.sc","icon_fame_tier_3_2","fame_big_tier_3","fame_stars_tier_3_2","player_icon_fame_mars",25
"Martial3",4500,3,"TID_FAME_TIER_MARTIAL3","sc/ui.sc","icon_fame_tier_3_3","fame_big_tier_3","fame_stars_tier_3_3","emoji_fame_mars",19
"Saturnal1",8000,4,"TID_FAME_TIER_SATURNAL1","sc/ui.sc","icon_fame_tier_4_1","fame_big_tier_4","fame_stars_tier_4_1","saturnalFrame",63
"Saturnal2",8000,4,"TID_FAME_TIER_SATURNAL2","sc/ui.sc","icon_fame_tier_4_2","fame_big_tier_4","fame_stars_tier_4_2","player_icon_fame_saturn",25
"Saturnal3",8000,4,"TID_FAME_TIER_SATURNAL3","sc/ui.sc","icon_fame_tier_4_3","fame_big_tier_4","fame_stars_tier_4_3","emoji_fame_saturn",19
"Solar1",12000,5,"TID_FAME_TIER_SOLAR1","sc/ui.sc","icon_fame_tier_5_1","fame_big_tier_5","fame_stars_tier_5_1","solarFrame",63
"Solar2",12000,5,"TID_FAME_TIER_SOLAR2","sc/ui.sc","icon_fame_tier_5_2","fame_big_tier_5","fame_stars_tier_5_2","player_icon_fame_sun",25
"Solar3",12000,5,"TID_FAME_TIER_SOLAR3","sc/ui.sc","icon_fame_tier_5_3","fame_big_tier_5","fame_stars_tier_5_3","emoji_fame_sun",19
"Meteor1",20000,6,"TID_FAME_TIER_METEOR1","sc/ui.sc","icon_fame_tier_6_1","fame_big_tier_6","fame_stars_tier_6_1","meteorFrame",63
"Meteor2",20000,6,"TID_FAME_TIER_METEOR2","sc/ui.sc","icon_fame_tier_6_2","fame_big_tier_6","fame_stars_tier_6_2","player_icon_fame_meteor",25
"Meteor3",20000,6,"TID_FAME_TIER_METEOR3","sc/ui.sc","icon_fame_tier_6_3","fame_big_tier_6","fame_stars_tier_6_3","emoji_fame_meteor",19
"Alien1",50000,7,"TID_FAME_TIER_ALIEN1","sc/ui.sc","icon_fame_tier_7_1","fame_big_tier_7","fame_stars_tier_7_1","alienFrame",63
"Alien2",50000,7,"TID_FAME_TIER_ALIEN2","sc/ui.sc","icon_fame_tier_7_2","fame_big_tier_7","fame_stars_tier_7_2","player_icon_fame_alien",25
"Alien3",50000,7,"TID_FAME_TIER_ALIEN3","sc/ui.sc","icon_fame_tier_7_3","fame_big_tier_7","fame_stars_tier_7_3","emoji_fame_alien",19
