"Name","Type","SubType","Cooldown","UseEffect","PetUseEffect","LoopingEffect","LoopingEffectPet","ActivationDelay","ActiveTicks","ShowCountdown","StopMovement","StopPetForDelay","AnimationIndex","SetAttackAngle","AimGuideType","ConsumesAmmo","StatusEffectAlly","StatusEffectEnemy","AreaEffect","PetAreaEffect","InterruptsAction","AllowStunActivation","Interruptable","RequirePetDistance","DestroyPet","Range","RequireEnemyInRange","TargetFriends","TargetIndirect","ShieldPercent","ShieldTicks","SpeedBoost","SpeedBoostTicks","SkipTypeCondition","UsableDuringCharge","UsableInShadowRealm","CustomObject","CustomObject2","CustomValue1","CustomValue2","CustomValue3","CustomValue4","CustomValue5","CustomValue6","MissingTargetText","TargetTooFarText","TargetAlreadyActiveText","RequiresSpecificActionText","CustomBlockText"
"string","string","int","int","string","string","string","string","int","int","boolean","boolean","boolean","int","boolean","int","boolean","string","string","string","string","boolean","boolean","boolean","int","boolean","int","boolean","boolean","boolean","int","int","int","int","boolean","int","boolean","string","string","int","int","int","int","int","int","string","string","string","string","string"
"Rosa_GrowBush","","","260","gadget_activate","","","","","","","","","","","1","","","","BushGrowArea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crow_Shield","","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","40","60","","","","","","","","","","","","","","","","","",""
"Wally_Heal","consume_bush","","180","gadget_activate","","","","","","","","","","","2","","","","","","true","","","","","","","","","","","","","","","","","","30","","","","","","","TID_ACCESSORY_BLOCKED_BUSH_TOO_FAR","","",""
"RocketGirl_Jump","jump","","300","gadget_activate","","","","","","","","","","","1","","","","RocketJumpExplosion","","true","","","","","","","","","","","","","","","","","","200","","","","","","","","","",""
"TrickshotDude_ShootAround","repeat_area","","400","gadget_activate","","","","","20","","","","","","","","","","TrickshotDudeAccessoryExplosion","","","","true","","","","","","","","","","","","","","","","10","","","","","","","","","",""
"Cactus_ShootAround","repeat_area","","300","gadget_activate","","","","","30","","","","","","","","","","CactusAccessoryExplosion","","","","true","","","","","","","","","","","","","","","","10","","","","","","","","","",""
"ArtilleryDude_Cover","spawn","1","360","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArtilleryDudeCover","","35","","","","","","","","","",""
"Shaman_PetSlam","","","260","gadget_activate","","","gadget_on_loop","20","","","","","","","3","","","","","ShamanBearSlam","","","","12","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_BEAR","TID_ACCESSORY_BLOCKED_BEAR_TOO_FAR","","",""
"Barkeep_Slow","","","360","gadget_activate","","","","","","","","","","","1","","","","BarkeepSlowPuddle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mechanic_Slow","","","300","gadget_activate","","","","","","","","","","","3","","","","","MechanicSlowArea","","","","12","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR","","",""
"HookDude_Push","heal","5","400","gadget_activate","","","","","","","","","","","1","","","","HookDudePushback","","","","","","","","","","","","","","","true","","","","","10","","","","","","","","","",""
"ClusterBombDude_ExtraMines","next_attack_change","8","300","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","",""
"Speedy_Dash","dash","","300","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","true","","","","","","","","","100","10","","","","","","","","1000","2400","","","","","","","","",""
"ShotgunGirl_Dash","dash","","260","gadget_activate","","gadget_max_dash","","","8","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","1000","2000","","","","","","","","",""
"Driller_SpeedBoost","","","300","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","80","","","","","","","","","","","","","","","",""
"MinigunDude_BurstHeal","","","240","gadget_activate","","","","","","","","","","","3","","","","","MinigunDudeTowerBurstHeal","","","","12","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR","","",""
"TntDude_Spin","spin_shoot","","240","gadget_activate","","","","","40","","","","","","","","","","","","true","","true","","","","","","","","","150","40","","","","TntDudeProjectile","","2","100","150","700","100","","","","","",""
"Arcade_Teleport","teleport_to_pet","","360","gadget_activate","","","","","10","","true","","","","","","","","","","true","","","12","","","","","","","","","","","","","ArcadeTeleport","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR","","",""
"BarrelBot_Spin","spin_shoot","","240","gadget_activate","","darryl_def_atk","","","15","","","","","","","","","","","","true","","true","","","","","","","","","","","","","","BarrelBotSpinProjectile","","1","25","125","2500","0","1000","","","","",""
"HammerDude_Immunity","cc_immunity","","360","gadget_activate","","gadget_frank_headphones","","","30","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","30","","","","","","","","","",""
"Whirlwind_Trail","next_attack_change","13","340","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","WhirlwindTrail","","450","","","","","","","","","",""
"BowDude_Totem","spawn","1","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BowDudeTotem","","","","","","","","","","","",""
"Luchador_Grab","throw_opponent","","280","gadget_activate","","","","","10","","true","","","","4","","","","","","true","","true","","","3","true","","","","","","","","","","","","300","","","","","","","","","",""
"Undertaker_Swing","spin_shoot","","200","gadget_activate","","","","","8","","","","","","1","","","","UndertakerSwingDamage","","true","","","","","","","","","","","","","","","","","","100","","","","","","","","","",""
"BlackHole_Vision","vision","","400","gadget_activate","","gadget_tara_vision","","","80","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachi_Regen","","","400","gadget_activate","","","","","","","","","","","1","","","","PocoRegenArea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sniper_HandGun","repeat_shot","1","360","gadget_activate","","","","","5","","","","1","true","4","","","","","","true","","","","","7","true","","","","","","","","","","PiperHandgunProjectile","","5","5","","","","","","","","",""
"SpawnerDude_Promote","promote_minion","","340","gadget_activate","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","15","20","","","","","TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE","TID_ACCESSORY_BLOCKED_NO_PORTERS_IN_RANGE","TID_ACCESSORY_BLOCKED_PORTER_ALREADY_PROMOTED","",""
"Sandstorm_Sleep","heal","1","220","gadget_activate","","gadget_sandy_sleep","","30","","true","true","","","","","","","","","","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeeSniper_Slow","spawn","1","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BeeSniperSlowPot","","","","","","","","","","","",""
"BullDude_Heal","heal","1","240","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","",""
"Gunslinger_Reload","reload","","220","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","",""
"Mummy_Push","","","360","gadget_activate","","","","","","","","","","","1","","","","MummyAccessoryPushback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Baseball_Heal","heal","2","300","gadget_activate","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","",""
"Ninja_Fake","spawn","2","260","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NinjaFake","","100","200","","","","","","","","",""
"Blower_Trampoline","spawn","3","400","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GaleSpringboard","","","","","","","","","","","",""
"Controller_Explode","kill_projectile","","260","gadget_activate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArcadeTeleport","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_GUIDED_PROJECTILE","","","",""
"PowerLeveler_Blink","teleport_forward","","400","gadget_activate","","","","","5","","true","","","","","","","","","","true","","","","","","","","","","","","","","","","ArcadeTeleport","","1000","","","","","","","","","",""
"Crow_PoisonTrigger","poison_trigger","","360","gadget_activate","","","","","","","","","","","","","","CrowPoison","","","","","","","","","","","","","","","","","","","","","350","40","","","","","","","","",""
"ArtilleryDude_Barrage","turret_barrage","","300","gadget_activate","","","","","100","","","","","","","","","","","","","","","14","","40","","","true","","","","","","","","","","5","500","","","","","TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR","","","TID_ACCESSORY_BLOCKED_RANGE_TO_TURRET"
"ShotgunGirl_Focus","next_attack_change","1","320","gadget_activate","","gadget_on_loop","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","10","1200","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"BowDude_MineTrigger","mine_trigger","","160","gadget_activate","","","bo_002_ulti_trail","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TID_ACCESSORY_BLOCKED_MISSING_MINES","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
"Undertaker_Reload","reload_speed","","320","gadget_activate","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","80","100","","","","","","","","",""
"Sniper_Seeker","next_attack_change","2","360","gadget_activate","","gadget_on_loop","","","100000","","","","","","","","","","","","","","","","","","","","","","","","","","","","SniperHomingProjectile","","0","0","","","","","","","TID_ACCESSORY_BLOCKED_ALREADY_ACTIVE","",""
