"Name","Target","AffectType","Type","Value","Projectile","AreaEffect","Character","Skill","StatusEffect"
"string","string","string","string","int","string","string","string","string","string"
"elPrimo1","Luchador",,"IncreaseMaxHp",10,,,,,
"elPrimo2","Luchador",,"OverrideChargeSpeed",2600,,,,,
"elPrimo3","Luchador",,"OverrideUltiCharge",150,,,,,
"Bea1","BeeSniper",,"TriggerProjectileOnHittingEnemy",500,"BeeSniperCirclingProjectile",,,,
"Lola1","Duplicator",,"OverrideMaxSpawns",2,,,,,
"Lola2","Duplicator",,"OverrideNumSpawns",2,,,,,
"Lola3","Duplicator",,"OverrideUltiCharge",115,,,,,
"Lola4","Duplicator",,"OverrideSpawnCharacterRandomDist",350,,,,,
"Angelo1","InsectMan",,"OverrideSpreadBasicAttack",80,,,,,
"Angelo2","InsectMan",,"OverrideNumBulletsInBasicAttack",3,,,,,
"Nita1","Shaman",,"OverrideMaxSpawns",2,,,,,
"Nita2","Shaman",,"OverrideNumSpawns",2,,,,,
"Nita3","Shaman",,"OverrideSpawnCharacterRandomDist",300,,,,,
"Penny1","ArtilleryDude",,"OverrideMaxSpawns",2,,,,,
"Penny2","ArtilleryDude",,"OverrideNumSpawns",2,,,,,
"Griff1","AssaultShotgun",,"OverrideSpreadUlti",300,,,,,
"Griff2","AssaultShotgun",,"OverrideNumBulletsInUlti",10,,,,,
"Max1","Speedy",,"OverrideBasicAttackRechargeTime",100,,,,,
"Tick1","ClusterBombDude",,"OverrideMaxSpawns",3,,,,,
"Tick2","ClusterBombDude",,"OverrideNumSpawns",3,,,,,
"Frank1","HammerDude",,"IncreaseMaxHp",10,,,,,
"Frank2","HammerDude",,"IncreaseSpeedPercent",20,,,,,
"Frank3","HammerDude",,"OverridePierceEnvironment",1,,,,,
"Spike1","Cactus",,"OverrideNumBulletsInBasicAttackBulletExplosion",8,,,,,
"Spike2","Cactus",,"OverrideBulletExplosionCurvature",180,,,,,
"Spike3","Cactus",,"OverrideBulletExplosionCurvatureAddedDistance",1000,,,,,
"Gale1","Blower",,"OverrideNumBulletsInUlti",12,,,,,
"Shelly1","ShotgunGirl",,"OverrideRapidFireAttackPatternUlti",19,,,,,
"Shelly2","ShotgunGirl",,"OverrideNumBulletsInUlti",30,,,,,
"Shelly3","ShotgunGirl",,"OverrideSpreadUlti",200,,,,,
"Crow1","Crow",,"OverridePiercesCharacters",1,,,,,
"Crow2","Crow",,"OverrideBasicAttackIsBoomerang",1,,,,,
"Bo1","BowDude",,"OverrideUltiCharge",125,,,,,
"Bo2","BowDude",,"OverrideNumMaxItems",99,,,,,
"Carl1","Whirlwind",,"OverrideSpeedProjectile",3500,,,,,
"Melodie1","AxeJuggler",,"OverrideBasicAttackSteerLifeTime",300,,,,,
"Melodie2","AxeJuggler",,"OverrideChainBulletsMaxProjectile",5,,,,,
"Poco1","DeadMariachi",,"TriggerAreaEffectWhenReceivingDmg",,,"PocoMutantRegenArea",,,
"Brock1","RocketGirl",,"OverrideSpawnAreaEffect2BasicAttack",,,"MorningstarUltiArea3SP",,,
"Brock2","RocketGirl",,"OverrideAreaEffect2DamagePercent",150,,,,,
"Meg1","MechaDude",,"OverrideBasicAttackCastingRange",32,,,,,
"Meg2","MechaDude","OnlySecondaryBrawler","OverrideSpreadBasicAttack",50,,,,,
"Colt1","Gunslinger",,"OverridePierceEnvironment",1,,,,,
"Colt2","Gunslinger",,"OverrideBasicAttackCastingRange",35,,,,,
"Sprout1","Wally",,"OverrideMaxDistanceAddBounces",4,,,,,
"Sprout2","Wally",,"OverrideDistanceAddFromBounce",1500,,,,,
"Sprout3","Wally",,"ChainProjectileTriggersSpawnAreaEffect",,,,,,
"Sprout4","Wally",,"ProjectileBounceTriggersSpawnAreaEffect",,,,,,
"Ruffs1","Ruffs",,"OverrideMaxDistanceAddBounces",6,,,,,
"Ruffs2","Ruffs",,"OverrideDistanceAddFromBounce",2300,,,,,
"Ruffs3","Ruffs",,"OverrideNumBulletsInBasicAttack",3,,,,,
"Gray1","DoorMan",,"SpawnAreaEffectWhenGoingThrowPortal",,,"GrayMutationArea",,,
"Gray2","DoorMan",,"OverrideUltiCharge",130,,,,,
"Squeak1","StickyBomb",,"OverrideUltiCharge",110,,,,,
"Mandy1","Beamer",,"OverrideNumBulletsInUlti",3,,,,,
"Mandy2","Beamer",,"OverrideSpreadUlti",200,,,,,
"Hank1","FishTank",,"TriggerAreaEffectWhenReceivingDmg",,,"FishTankUltiArea",,,
