"Name","Disabled","IconSWF","IconExportName","IconExportNameFront","IconExportNameLevels","Banner","IconOnTop","Tier","Season","IsFame","UnlockedByFame","DelayMilliseconds","DescriptionTID"
"string","boolean","string","string","string","string","string","string","int","int","boolean","string","int","string"
"battle_card_frame_ranked_bronze_bg",,"sc/ui.sc","battle_card_frame_ranked_bronze_bg","battle_card_frame_ranked_bronze_front","battle_card_frame_ranked_bronze_levels","battle_card_frame_ranked_bronze_2024_ui",,1,1,,,200,"TID_BATTLE_CARD_NAME_BRONZE_2024"
"battle_card_frame_ranked_silver_bg",,"sc/ui.sc","battle_card_frame_ranked_silver_bg","battle_card_frame_ranked_silver_front","battle_card_frame_ranked_silver_levels","battle_card_frame_ranked_silver_2024_ui",,2,1,,,200,"TID_BATTLE_CARD_NAME_SILVER_2024"
"battle_card_frame_ranked_gold_bg",,"sc/ui.sc","battle_card_frame_ranked_gold_bg","battle_card_frame_ranked_gold_front","battle_card_frame_ranked_gold_levels","battle_card_frame_ranked_gold_2024_ui",,3,1,,,200,"TID_BATTLE_CARD_NAME_GOLD_2024"
"battle_card_frame_ranked_diamond_bg",,"sc/ui.sc","battle_card_frame_ranked_diamond_bg","battle_card_frame_ranked_diamond_front","battle_card_frame_ranked_diamond_levels","battle_card_frame_ranked_diamond_2024_ui",,4,1,,,200,"TID_BATTLE_CARD_NAME_DIAMOND_2024"
"battle_card_frame_ranked_mythic_bg",,"sc/ui.sc","battle_card_frame_ranked_mythic_bg","battle_card_frame_ranked_mythic_front","battle_card_frame_ranked_mythic_levels","battle_card_frame_ranked_mythic_2024_ui",,5,1,,,200,"TID_BATTLE_CARD_NAME_MYTHIC_2024"
"battle_card_frame_ranked_legendary_bg",,"sc/ui.sc","battle_card_frame_ranked_legendary_bg","battle_card_frame_ranked_legendary_front","battle_card_frame_ranked_legendary_levels","battle_card_frame_ranked_legendary_2024_ui",,6,1,,,200,"TID_BATTLE_CARD_NAME_LEGENDARY_2024"
"battle_card_frame_ranked_masters_bg",,"sc/ui.sc","battle_card_frame_ranked_masters_bg","battle_card_frame_ranked_masters_front","battle_card_frame_ranked_masters_levels","battle_card_frame_ranked_masters_2024_ui",,7,1,,,200,"TID_BATTLE_CARD_NAME_MASTERS_2024"
"globalFrame",,"sc/ui.sc","battle_card_frame_fame_earth_bg",,,"battle_card_frame_fame_earth_ui","fame_big_tier_1",1,,"TRUE","Global1",900,"TID_BATTLE_CARD_NAME_GLOBAL_FAME"
"lunarFrame",,"sc/ui.sc","battle_card_frame_fame_moon_bg",,,"battle_card_frame_fame_moon_ui","fame_big_tier_2",2,,"TRUE","Lunar1",900,"TID_BATTLE_CARD_NAME_LUNAR_FAME"
