"Name","TicketsInRareStar","TicketsInSuperRareStar","TicketsInEpicStar","TicketsInMythicStar","TicketsInLegendaryStar","TicketsInOverchargeStar","TicketsInRankedStar","TicketsInRareCollabDrop","TicketsInSuperRareCollabDrop","TicketsInEpicCollabDrop","TicketsInMythicCollabDrop","TicketsInLegendaryCollabDrop","TicketsInMegaBox","TicketsInAngelicStar","TicketsInDemonicStar","TicketsInSeasonBoxLevel1","TicketsInSeasonBoxLevel2","TicketsInSeasonBoxLevel3","TicketsInSeasonBoxLevel4","TicketsInSeasonBoxLevel5","TicketsInRarePresentDrop","TicketsInSuperRarePresentDrop","TicketsInEpicPresentDrop","TicketsInMythicPresentDrop","TicketsInLegendaryPresentDrop","TicketsInSplitterRare","TicketsInSplitterSuperRare","TicketsInSplitterEpic","TicketsInSplitterMythic","TypeName","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","int","boolean","int","int","int","int","String","int","String","int","int"
"Coins S",90,,,,,,,,,,,,,,,,,,,,,,,,,60,80,100,120,"Coins",,,,,50,50,,,,,1
"Coins M",,64,,,,,,,,,,,,250,250,,,,,,100,,,,,6,4,3,2,"Coins",,,,,100,100,,,,,1
"Coins L",,,20,,,,,,,,,,,30,30,,,,,,,50,,,,1,1,1,1,"Coins",,,,,200,200,,,,,1
"Coins XL",,,,15,,,,,,,,,,10,10,,,,,,,,,,,,,,,"Coins",,,,,500,500,,,,,1
"Gadget",,,,25,,,,,,,,,5,7,7,,,,,,,,,25,,5,5,5,5,"Gadget",,,,,,,"Coins",500,,,2
"Star Power",,,,,25,,,,,,,,3,5,5,,,,,,,,,,25,,,1,1,"StarPower",,,,,,,"Coins",1000,,,3
"Gears SR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gear",2,,,,,,"Coins",500,,,
"Gears Mythic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gear",4,,,,,,"Coins",500,,,
"Power Points S",70,,,,,,,,,,,,,,,,,,,,,,,,,60,80,100,120,"PowerPoints",,,,,25,25,,,,,
"Power Points M",,50,,,,,,,,,,,,50,50,,,,,,50,,,,,6,4,3,2,"PowerPoints",,,,,50,50,,,,,1
"Power Points L",,,20,,,,,,,,,,,20,20,,,,,,,25,,,,1,1,1,1,"PowerPoints",,,,,100,100,,,,,1
"Power Points XL",,,,30,,,,,,,,,,10,10,,,,,,,,,10,,,,,,"PowerPoints",,,,,200,200,,,,,2
"Credits S",5,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,"Credits",,,,,10,10,,,,,
"Credits M",,5,,,,,,,,,,,,,,,,,,,25,,,,,2,2,2,2,"Credits",,,,,30,30,,,,,
"Credits L",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,"Credits",,,,,75,75,,,,,
"Credits XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Credits",,,,,150,150,,,,,
