"Name","Rank","MinELO","MaxELO","RequiredBrawlerLevel","RequiredBrawlerCount","PointsRewardAmount","RandomRewardContainer","TID","HexColor","FrameLabel","RankIconTextField","RankIconTID","CompetitiveGroup","CompetitiveIcon","CompetitiveBackground","HasFrameReward","Sound","ShowGlobalRank","ShowFormatTooltip","FrameLabelTooltip","TIDTooltip"
"string","int","int","int","int","int","int","String","string","string","string","string","string","int","string","string","boolean","string","boolean","boolean","string","string"
"Bronze I",1,0,249,9,3,,,"TID_RANKED_BRONZE_I","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_0",1,"rank_icon_animated_01","bgr_competitive_bronze",,"Bronze_Rank_1_JIngle",,,,
"Bronze II",2,250,499,9,3,200,,"TID_RANKED_BRONZE_II","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_1",1,"rank_icon_animated_01","bgr_competitive_bronze","TRUE","Bronze_Rank_2_JIngle",,,,
"Bronze III",3,500,749,9,3,200,,"TID_RANKED_BRONZE_III","0xFF9900","bronze","rank_bronze_text","TID_PLAYER_RANK_TIER_2",1,"rank_icon_animated_01","bgr_competitive_bronze",,"Bronze_Rank_3_JIngle",,,,
"Silver I",4,750,999,9,3,200,,"TID_RANKED_SILVER_I","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_0",2,"rank_icon_animated_02","bgr_competitive_silver","TRUE","Silver_Rank_1_JIngle",,,,
"Silver II",5,1000,1249,9,3,200,,"TID_RANKED_SILVER_II","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_1",2,"rank_icon_animated_02","bgr_competitive_silver",,"Silver_Rank_2_JIngle",,,,
"Silver III",6,1250,1499,9,3,200,,"TID_RANKED_SILVER_III","0xC9C6F1","silver","rank_silver_text","TID_PLAYER_RANK_TIER_2",2,"rank_icon_animated_02","bgr_competitive_silver",,"Silver_Rank_3_JIngle",,,,
"Gold I",7,1500,1999,9,3,200,,"TID_RANKED_GOLD_I","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_0",3,"rank_icon_animated_03","bgr_competitive_gold","TRUE","Gold_Rank_1_Jingle",,,,
"Gold II",8,2000,2499,9,3,200,,"TID_RANKED_GOLD_II","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_1",3,"rank_icon_animated_03","bgr_competitive_gold",,"Gold_Rank_2_Jingle",,,,
"Gold III",9,2500,2999,9,3,200,,"TID_RANKED_GOLD_III","0xFFEF49","gold","rank_gold_text","TID_PLAYER_RANK_TIER_2",3,"rank_icon_animated_03","bgr_competitive_gold",,"Gold_Rank_3_Jingle",,,,
"Diamond I",10,3000,3499,9,9,200,,"TID_RANKED_DIAMOND_I","0x33FFFF","diamond","rank_diamond_text","TID_PLAYER_RANK_TIER_0",4,"rank_icon_animated_04","bgr_competitive_diamond","TRUE","Diamond_Rank_1_Jingle",,"TRUE","diamond","TID_RANKED_DIAMOND_FORMAT_TOOLTIP"
