"Name","Disabled","DisabledCN","FileName","ExportName","Character","Skin","GiveOnSkinUnlock","Rarity","EffectColorR","EffectColorG","EffectColorB","FlipSprayForEnemies","LockedForChronos","SprayBundles","IsDefaultBattleSpray","Texture","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","UseShineVFX","ExtraCatalogCampaign","HideFromCatalogMainCategory","DisableFromCatalogIfNotOwned"
"string","boolean","boolean","string","string","string","string","boolean","String","int","int","int","boolean","boolean","String","boolean","string","int","int","boolean","int","string","boolean","string","boolean","boolean"
"spray_allfine",,,"sc/sprays.sc","spray_allfine",,,,"COMMON",255,255,255,"TRUE",,,,"spray_allfine.png",1000,29,,,,"TRUE","MISC",,
"spray_angrycloud",,,"sc/sprays.sc","spray_angrycloud",,,,"COMMON",197,230,255,"TRUE",,,,"spray_angrycloud.png",1000,29,,,,,"OLYMPUS",,
"spray_badgem",,,"sc/sprays.sc","spray_badgem",,,,"COMMON",95,219,26,"TRUE",,,,"spray_badgem.png",1000,29,,,,"TRUE","ROYALS",,
"spray_banana",,,"sc/sprays.sc","spray_banana",,,,"COMMON",255,234,0,"TRUE",,,,"spray_banana.png",1000,29,,,,,"JUNGLE",,
"spray_check",,,"sc/sprays.sc","spray_check",,,,"DEFAULT",14,255,14,"TRUE",,,,"spray_check.png",,,,,,,,,
"spray_cross",,,"sc/sprays.sc","spray_cross",,,,"DEFAULT",255,53,44,"TRUE",,,,"spray_cross.png",,,,,,,,,
"spray_crymask",,,"sc/sprays.sc","spray_crymask",,,,"COMMON",252,188,33,"TRUE",,,,"spray_crymask.png",1000,29,,,,"TRUE","MISC",,
"spray_drop",,,"sc/sprays.sc","spray_drop",,,,"COMMON",0,237,255,"TRUE",,,,"spray_drop.png",1000,29,,,,,"MISC",,
"spray_footstep",,,"sc/sprays.sc","spray_footstep",,,,"COMMON",0,0,0,"TRUE",,,,"spray_footstep.png",1000,29,,,,,"MISC",,
"spray_heartarrow",,,"sc/sprays.sc","spray_heartarrow",,,,"COMMON",255,49,133,"TRUE",,,,"spray_heartarrow.png",1000,29,,,,,"BRAWLENTINES",,
"spray_hole",,,"sc/sprays.sc","spray_hole",,,,"COMMON",0,0,0,"TRUE",,,,"spray_hole.png",1000,29,,,,,"WASTELAND",,
"spray_salt",,,"sc/sprays.sc","spray_salt",,,,"COMMON",93,234,255,"TRUE",,,,"spray_salt.png",1000,29,,,,,"MEAL",,
"spray_skullchamp",,,"sc/sprays.sc","spray_skullchamp",,,,"COMMON",0,103,57,"TRUE",,,,"spray_skullchamp.png",1000,29,,,,,"MISC",,
"spray_skullsign",,,"sc/sprays.sc","spray_skullsign",,,,"COMMON",251,205,16,"TRUE",,,,"spray_skullsign.png",1000,29,,,,,"WASTELAND",,
"spray_skullwings",,,"sc/sprays.sc","spray_skullwings",,,,"COMMON",255,255,255,"TRUE",,,,"spray_skullwings.png",1000,29,,,,,"MISC",,
"spray_starrpark",,,"sc/sprays.sc","spray_starrpark",,,,"DEFAULT",252,224,91,"TRUE",,,,"spray_starrpark.png",,,,,,,,,
"spray_thumbsup",,,"sc/sprays.sc","spray_thumbsup",,,,"COMMON",255,255,255,"TRUE",,,,"spray_thumbsup.png",1000,29,,,,,"MISC",,
"spray_8bit_1",,,"sc/sprays.sc","spray_8bit_1","Arcade",,,"COMMON",0,104,224,"TRUE",,,,"spray_8bit.png",750,19,,,,,,,
"spray_bo_1",,,"sc/sprays.sc","spray_bo_1","BowDude",,,"COMMON",183,56,21,"TRUE",,,,"spray_bo.png",750,19,,,,,,,
"spray_brock_1",,,"sc/sprays.sc","spray_brock_1","RocketGirl",,,"COMMON",135,31,145,"TRUE",,,,"spray_brock.png",750,19,,,,,,,
