"Name","Mode","LocationTheme","MeshNames","Character","FrameDelay"
"string","string","string","string","string","int"
"RoboCheer1","AnimateSwitchBetween","FightingGame","bot1_frame_1;bot1_frame_2",,180
"RoboCheer2","AnimateSwitchBetween","FightingGame","melee_bot_frame_1;melee_bot_frame_2",,200
"RoboCheer3","AnimateSwitchBetween","FightingGame","fast_bot_frame_1;fast_bot_frame_2",,230
"RoboCheer4","AnimateSwitchBetween","FightingGame","bot2_frame_1;bot2_frame_2",,220
"RoboCheer5","AnimateSwitchBetween","FightingGame","fast_bot2_frame_2;fast_bot2_frame_1",,245
"BlueFlag1","AnimateSwitchBetween","FightingGame","flag_blue_1_frame_1;flag_blue_1_frame_2;flag_blue_1_frame_3",,350
"BlueFlag2","AnimateSwitchBetween","FightingGame","flag_blue_2_frame_1;flag_blue_2_frame_2;flag_blue_2_frame_3",,340
"RedFlag1","AnimateSwitchBetween","FightingGame","flag_red_1_frame_1;flag_red_1_frame_2;flag_red_1_frame_3",,340
"RedFlag2","AnimateSwitchBetween","FightingGame","flag_red_2_frame_1;flag_red_2_frame_2;flag_red_2_frame_3",,350
"Torch1","AnimateSwitchBetween","FightingGame","torch1_frame_1;torch1_frame_2",,300
"Torch2","AnimateSwitchBetween","FightingGame","torch2_frame_2;torch2_frame_1",,300
"Torch3","AnimateSwitchBetween","FightingGame","torch3_frame_2;torch3_frame_1",,300
"Torch4","AnimateSwitchBetween","FightingGame","torch4_frame_1;torch4_frame_2",,300
"Torch5","AnimateSwitchBetween","FightingGame","torch5_frame_1;torch5_frame_2",,300
"Torch6","AnimateSwitchBetween","FightingGame","torch6_frame_2;torch6_frame_1",,300
"TorchTop1","AnimateSwitchBetween","FightingGame","torch_top_left_frame_1;torch_top_left_frame_2",,300
"TorchTop2","AnimateSwitchBetween","FightingGame","torch_top_right_frame_2;torch_top_right_frame_1",,290
"BlueBanner1","AnimateSwitchBetween","FightingGame","banner_blue_1_frame_1;banner_blue_1_frame_2;banner_blue_1_frame_3",,500
"BlueBanner2","AnimateSwitchBetween","FightingGame","banner_blue_2_frame_1;banner_blue_2_frame_2;banner_blue_2_frame_3",,450
"BlueBanner3","AnimateSwitchBetween","FightingGame","banner_blue_3_frame_1;banner_blue_3_frame_2;banner_blue_3_frame_3",,500
"RedBanner1","AnimateSwitchBetween","FightingGame","banner_red_1_frame_1;banner_red_1_frame_2;banner_red_1_frame_3",,450
"RedBanner2","AnimateSwitchBetween","FightingGame","banner_red_2_frame_1;banner_red_2_frame_2;banner_red_2_frame_3",,500
"RedBanner3","AnimateSwitchBetween","FightingGame","banner_red_3_frame_1;banner_red_3_frame_2;banner_red_3_frame_3",,450
"BazaarSandyOn","HideIfCharacter","Bazaar","sandy_mattress_on;sandy_bubble_on;sandy_on","Sandstorm",
"BazaarSandyOff","HideIfNoCharacter","Bazaar","sandy_mattress_off","Sandstorm",
"BazaarTaraOn","HideIfCharacter","Bazaar","tara_door_on","BlackHole",
"BazaarTaraOff","HideIfNoCharacter","Bazaar","tara_door_off","BlackHole",
"BazaarGeneOn","HideIfCharacter","Bazaar","gene_on","HookDude",
"GiftShopColette","HideIfCharacter","GiftShop","colette_not_in_play","Percenter",
"SnowtelGale","HideIfCharacter","Snowtel","gale_left;gale_right","Blower",
"SnowtelLou","HideIfCharacter","Snowtel","lou_left;lou_right","IceDude",
"SnowtelGaleXmas","HideIfCharacter","SnowtelXmas","gale_left;gale_right","Blower",
"SnowtelLouXmas","HideIfCharacter","SnowtelXmas","lou_left;lou_right","IceDude",
"MinicitySurge","HideIfCharacter","Minicity","surge_notinplay","PowerLeveler",
"ScrapyardJessie","HideIfCharacter","Scrapyard","jessie_lights","Mechanic",
"ScrapyardPam","HideIfCharacter","Scrapyard","pam","MinigunDude",
"ScrapyardPam2","HideIfCharacterPre","Scrapyard","pam_Z","MinigunDude",
"ScrapyardNani","HideIfCharacter","Scrapyard","nani","Controller",
"StarrForceRuffs","HideIfCharacterPre","StarrForce","ruffs_","Ruffs",
"ActionShowBelle","HideIfCharacter","ActionShow","belle_stuff","ElectroSniper",
"WaterParkBuzz","HideIfCharacter","WaterPark","buzz","RopeDude",
"BrawlywoodCrow","HideIfCharacter","Brawlywood","crow_stuff","Crow",
"BrawlywoodBuzz","HideIfCharacter","Brawlywood","buzz_stuff","RopeDude",
"BrawlywoodLola","HideIfCharacter","Brawlywood","lolla_stuff","Duplicator",
"BrawlywoodGale","HideIfCharacter","Brawlywood","gale_stuff","Blower",
"StuntShowBonnie","HideIfCharacter","StuntShow","bonnie_body;bonnie_head_lookat","CannonGirl",
"StuntShowJanet","HideIfCharacter","StuntShow","janet;janet_jet","JetpackGirl",
"StuntShowStu","HideIfCharacter","StuntShow","stu_body;stu_wheel;stu_cape","Roller",
"StuntShowBonnieBB","HideIfCharacter","StuntShowBB","bonnie_body;bonnie_head_lookat","CannonGirl",
"StuntShowJanetBB","HideIfCharacter","StuntShowBB","janet;janet_jet","JetpackGirl",
"StuntShowStuBB","HideIfCharacter","StuntShowBB","stu_body;stu_wheel;stu_cape","Roller",
"CandyHideMandy","HideIfCharacter","CandyStand","mandy_body;mandy_head_lookat","Beamer",
"CandyHideJester","HideIfCharacter","CandyStand","chester_head","Jester",
"HubJessie","HideIfCharacter","Hub","jessie_stuff","Mechanic",
"HubPiper","HideIfCharacter","Hub","piper_stuff","Sniper",
"HubChester","HideIfCharacter","Hub","chester_stuff","Jester",
"HubBrock","HideIfCharacter","Hub","brock_stuff","RocketGirl",
"HubByron","HideIfCharacter","Hub","byron_stuff","SnakeOil",
"HubFang","HideIfCharacter","Hub","fang_stuff","KickerDude",
"HubEmz","HideIfCharacter","Hub","emz_stuff","Mummy",
"HubRT","HideIfCharacter","Hub","rt_head","Splitter",
"Eyebrows","AnimateSwitchBetween","FightingGame","eyebrows_frame_1;eyebrows_frame_2",,600
"Tail","AnimateSwitchBetween","FightingGame","tail_frame_1;tail_frame_2",,400
"TailFront1","AnimateSwitchBetween","FightingGame","tail_front_frame_1;tail_front_frame_2",,400
"TailFront2","AnimateSwitchBetween","FightingGame","tail_front2_frame_1;tail_front2_frame_2",,400
"Head","AnimateSwitchBetween","FightingGame","head_frame_1;head_frame_2",,500
"Nose","AnimateSwitchBetween","FightingGame","nose_frame_1;nose_frame_2",,500
"Hair","AnimateSwitchBetween","FightingGame","hair_frame_1;hair_frame_2",,300
"LoveSwampWillow","HideIfCharacter","LoveSwamp","willow_stuff","Puppeteer",
"MadevilDraco","HideIfCharacter","MadEvilManor","draco_stuff","DragonRider",
"OdditiesSelena","HideIfCharacter","OdditiesShop","selena_stuff","Voodoo",
