"Name","Level","TotalPointsThreshold","RewardCount_Common","RewardType_Common","RewardCount_Rare","RewardType_Rare","RewardCount_SuperRare","RewardType_SuperRare","RewardCount_Epic","RewardType_Epic","RewardCount_Mythic","RewardType_Mythic","RewardCount_Legendary","RewardType_Legendary","RewardCount_Chromatic","RewardType_Chromatic","RewardCount_UltraLegendary","RewardType_UltraLegendary","FrameIndex","TierTID","LevelWithTierTID","TierHexColor","TotalPointsThreshold_Custom1","RewardCount_Custom1","RewardType_Custom1"
"string","int","int","int","string","int","string","int","string","int","string","int","string","int","string","int","string","int","string","int","string","string","string","int","int","string"
"Mastery1",1,0,,,,,,,,,,,,,,,,,1,,"TID_MASTERY_LEVEL_START","0xFFFFFF",0,,
"Mastery2",2,300,750,"Coins",750,"Coins",750,"Coins",750,"Coins",1000,"Coins",1000,"Coins",1000,"Coins",1500,"Coins",2,"TID_MASTERY_TIER_1","TID_MASTERY_LEVEL_BRONZE","0xfd9a3d",25,1000,"Coins"
"Mastery3",3,800,100,"PowerPoints",100,"PowerPoints",100,"PowerPoints",100,"PowerPoints",150,"PowerPoints",150,"PowerPoints",150,"PowerPoints",200,"PowerPoints",2,"TID_MASTERY_TIER_2","TID_MASTERY_LEVEL_BRONZE","0xfd9a3d",100,500,"PowerPoints"
"Mastery4",4,1500,75,"Credits",75,"Credits",75,"Credits",75,"Credits",100,"Credits",100,"Credits",100,"Credits",150,"Credits",2,"TID_MASTERY_TIER_3","TID_MASTERY_LEVEL_BRONZE","0xfd9a3d",250,100,"Credits"
"Mastery5",5,2600,200,"PowerPoints",200,"PowerPoints",200,"PowerPoints",200,"PowerPoints",300,"PowerPoints",300,"PowerPoints",300,"PowerPoints",400,"PowerPoints",3,"TID_MASTERY_TIER_1","TID_MASTERY_LEVEL_SILVER","0xc7c9ff",500,1000,"Coins"
"Mastery6",6,4000,1250,"Coins",1250,"Coins",1250,"Coins",1250,"Coins",2000,"Coins",2000,"Coins",2000,"Coins",3000,"Coins",3,"TID_MASTERY_TIER_2","TID_MASTERY_LEVEL_SILVER","0xc7c9ff",1000,1,"UniqueEmote"
"Mastery7",7,5800,150,"Credits",150,"Credits",150,"Credits",150,"Credits",200,"Credits",200,"Credits",100,"ChromaCredits",300,"Credits",3,"TID_MASTERY_TIER_3","TID_MASTERY_LEVEL_SILVER","0xc7c9ff",2000,1,"UniqueEmote"
"Mastery8",8,10300,1,"UniqueEmote",1,"UniqueEmote",1,"UniqueEmote",1,"UniqueEmote",1,"UniqueEmote",1,"UniqueEmote",1,"UniqueEmote",1,"UniqueEmote",4,"TID_MASTERY_TIER_1","TID_MASTERY_LEVEL_GOLD","0xfff368",4000,1,"UniqueSpray"
"Mastery9",9,16800,1,"UniquePlayerIcon",1,"UniquePlayerIcon",1,"UniquePlayerIcon",1,"UniquePlayerIcon",1,"UniquePlayerIcon",1,"UniquePlayerIcon",1,"UniquePlayerIcon",1,"UniquePlayerIcon",4,"TID_MASTERY_TIER_2","TID_MASTERY_LEVEL_GOLD","0xfff368",8000,1,"UniquePlayerIcon"
"Mastery10",10,24800,1,"UniqueTitle",1,"UniqueTitle",1,"UniqueTitle",1,"UniqueTitle",1,"UniqueTitle",1,"UniqueTitle",1,"UniqueTitle",1,"UniqueTitle",4,"TID_MASTERY_TIER_3","TID_MASTERY_LEVEL_GOLD","0xfff368",16000,1,"UniqueTitle"
