"Name","Rarity","TypeName","Amount","ValueInCash","BundleQuota","TicketsForBundle1","TicketsForBundle2","TicketsForBundle3","TicketsForBundle4","TicketsForBundle5","TicketsForBundle6","TicketsForBundle7","TicketsForBundle8","TicketsForBundle9","TicketsForBundle10","TicketsForBundle11","TicketsForBundle12","TicketsForBundle13","TicketsForBundle14","TicketsForBundle15"
"string","string","string","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
"CoinsS",,"Coins",50,10,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CoinsM",,"Coins",100,20,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CoinsL",,"Coins",200,40,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CoinsXL",,"Coins",500,100,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CoinsXXS",,"Coins",50,100,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PowerPointsS",,"PowerPoints",5,10,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"PowerPointsM",,"PowerPoints",10,20,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"PowerPointsL",,"PowerPoints",20,40,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BlingS",,"Bling",25,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BlingM",,"Bling",50,6,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BlingL",,"Bling",100,12,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BlingXL",,"Bling",200,24,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BlingXXL",,"Bling",3000,1818,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsS",,"Starrdrop",1,264,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsM",,"Starrdrop",3,792,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsL",,"Starrdrop",5,1320,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StarrdropsXL",,"Starrdrop",10,2640,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCStarrdrop",,"HCStarrdrop",1,750,6,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"Icon",,"ProfilePic",1,64,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"Spray",,"Spray",1,61,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"Toy",,"Toy",1,400,999,0,0,0,0,0,0,0,0,0,10000,0,10000,10000,10000,10000
"Emote",,"Emote",1,64,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BrawlpassXPS",,"TokenDoubler",100,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BrawlpassXPM",,"TokenDoubler",250,13,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"BrawlpassXPL",,"TokenDoubler",500,25,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CreditsS",,"Credits",30,11,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CreditsM",,"Credits",75,27,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"CreditsL",,"Credits",150,55,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"LegendaryStarrdrop",,"LegendaryStarrdrop",1,3500,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skin_29","RARE","Skin",1,85,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Skin_79","SUPER_RARE","Skin",1,233,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Skin_149","EPIC","Skin",1,424,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Skin_199","MYTHIC","Skin",1,557,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Skin_299","LEGENDARY","Skin",1,837,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Skin_499","HYPERCHARGE","Skin",1,9950,999,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
"RareBrawler","RARE","Brawler",1,81,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"SuperRareBrawler","SUPER_RARE","Brawler",1,219,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"EpicBrawler","EPIC","Brawler",1,471,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MythicBrawler","MYTHIC","Brawler",1,829,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"LegendaryBrawler","LEGENDARY","Brawler",1,1382,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PresentDrop",,"PresentDrop",1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
