"Name","Character","Model","ModelCNOverride","GadgetModel","BigHeroIconOverrideSWF","BigHeroIconOverrideExportName","SmallHeroIconOverrideSWF","SmallHeroIconOverrideExportName","PortraitCameraFile","MirrorIntro","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","OverchargedSecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","DeployAnim","HappyAnim","HappyLoopAnim","RecruitRoadOverrideAnim","SadAnim","SadLoopAnim","LobbyAnim","LobbyLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","GachaOverrideAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","ShopGroupProfileAnim","BrawlPassPopupProfileAnim","IntroAnim","EnvAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","RecruitRoadOverrideFace","SadFace","SadLoopFace","LobbyFace","LobbyLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","IntroFace","LobbyEffect","LobbyLoopEffect","HeroScreenEffect","SignatureEffect","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","OverchargedMainAttackProjectile","UltiProjectile","OverchargedUltiProjectile","AlternativeSkillProjectile","UltiAlternativeSkillProjectile","MainAttackEffect","MainAttackEffect2","MainAttackEffect3","OverchargedMainAttackEffect","OverchargedMainAttackEffect2","OverchargedMainAttackEffect3","AlternatingMainAttackEffect","UltiAttackEffect","UltiAttackEffect2","UltiAttackEffect3","OverchargedUltiAttackEffect","OverchargedUltiAttackEffect2","OverchargedUltiAttackEffect3","ShieldEffect","UseBlueTextureInMenus","MainAttackUseEffect","OverchargedMainAttackUseEffect","UltiUseEffect","OverchargedUltiUseEffect","UltiEndEffect","MeleeHitEffect","OverchargedMeleeHitEffect","OverchargedUltiMeleeHitEffect","SpawnAreaEffect","SpawnEffect","SpawnShieldEffect","ReloadEffect","UltiLoopEffect","UltiLoopEffect2","OverchargedUltiLoopEffect","OverchargedUltiLoopEffect2","StarPower1Effect","OverchargedStarPower1Effect","StarPower2Effect","OverchargedStarPower2Effect","AreaEffect","AreaEffectStarPower","AreaEffectStarPowerOvercharged","AreaEffectStarPower2","AreaEffectStarPower2Overcharged","AreaEffectAttack","AreaEffectAttack2","AreaEffectUlti","AreaEffectUlti2","OverchargedAreaEffectUlti","OverchargedAreaEffectUlti2","ActivationSelfStatusEffectAttack","ActivationSelfStatusEffectUlti","StatusEffectSP1","StatusEffectSP2","PetrolEffect","SpawnedItem","SpawnedItem2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","AutoAttackProjectile","ProjectileForShockyStarPower","OverchargedProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","KillEffect","DeathEffect","MoveEffect","MoveEffect2","ChargeMoveEffect","UltiChargeMoveEffect","OverchargedChargeMoveEffect","OverchargedUltiChargeMoveEffect","StillEffect","StillEffect2","LoopingEffect","ChargedShotEffect","DisableHeadRotation","BuffEffect","AttackBuildUpEffect","SpecialMaterialSetup","FaceCoversWholeTexture","FaceScaledUpTexture","TransformWhenOvercharged","ShadowRealmEnterEffect","ShadowRealmExitEffect","ShadowRealmFrameEffect","CustomEffect1","CustomEffect2","OverchargedCustomEffect1","OverchargedCustomEffect2","CustomAnim1","CustomAnim1Face","CustomAnim2","CustomAnim2Face","CustomAnim3","CustomAnim3Face","CustomAnim4","CustomAnim4Face","HighlightAnimSequence","SortOrder","SpawnedItemClip","SpawnedItemLoopingEffect","SpawnedItemActiveEffect","SpawnedItemStartClip","SpawnedItemReadyEffect","CustomAreaEffect1","CustomAreaEffect2","SurpriseAnim","SurpriseAnimDelay","SurpriseAnimProbability"
"string","string","string","string","string","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string","string","string","string","string","string","string","string","string","string","string","string","boolean","string","string","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","string","string","int","boolean","boolean","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","string","string","string","string","string","int","int"
"BanditGirlDefault","ShotgunGirl","shelly_redux_geo.glb","","","","","","","shelly_base_cam.scw","","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellySecondary","ShellyRecoil","","ShellyRecoil","","ShellyReload","ShellyPushback","","ShellyWin","ShellyWinloop","","ShellyLose","ShellyLoseloop","ShellyWin","ShellyWinloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","","ShellyIdle","ShellyIdle","ShellyProfile","","","ShellyIntro","ShellyIdle","","","","","","ShellyFace","ShellyFace","ShellyHappy","ShellyFace","","ShellySad","ShellySadLoop","ShellyHappy","ShellyFace","ShellyFace","ShellyHappy","ShellyFace","ShellyHappy","ShellyStill","ShellyStill","","","","","","","","true","true","","","","","","","","","","","","","","","","","shelly_def_oc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunSlingerDefault","Gunslinger","colt_redux_geo.glb","","","","","","","colt_base_cam.scw","","GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","","GunslingerWin","GunslingerWinloop","","GunslingerLose","GunslingerLoseloop","GunslingerWin","GunslingerWinloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","","GunslingerIdle","GunslingerIdle","GunslingerProfile","","","GunslingerProfile","GunslingerIdle","","","","","","ColtFace","ColtFace","ColtHappy","ColtFace","","ColtSad","ColtSadLoop","ColtHappy","ColtFace","ColtFace","ColtHappy","ColtFace","ColtHappy","ColtStill","ColtStill","","","","","","","","","","","","","","","","","","","","","","","","","","colt_def_oc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunSlingerRockstar","Gunslinger","colt_rockstar_redux_geo.glb","","","","","","","colt_base_cam.scw","","GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","","GunslingerWin","GunslingerWinloop","","GunslingerLose","GunslingerLoseloop","GunslingerWin","GunslingerWinloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","","GunslingerIdle","GunslingerIdle","GunslingerProfile","","","GunslingerProfile","GunslingerIdle","","","","","","ColtFace","ColtFace","ColtHappy","ColtFace","","ColtSad","ColtSadLoop","ColtHappy","ColtFace","ColtFace","ColtHappy","ColtFace","ColtHappy","ColtStill","ColtStill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGuyDefault","BullDude","bull_redux_geo.glb","","","","","","","bull_base_cam.scw","","BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockSecondary","BullRockRecoil","","BullRockRecoil","","BullRockReload","BullRockPushback","","BullRockWin","BullRockWinloop","","BullRockLose","BullRockLoseloop","BullRockWin","BullRockWinloop","BullRockIdle","BullRockWin","BullRockWinloop","BullRockWin","","BullRockIdle","BullRockIdle","BullRockProfile","","","BullRockProfile","BullRockIdle","","","","","","BullStill","BullStill","BullWin","BullWinLoop","","BullLose","BullLoseLoop","BullWin","BullWinLoop","BullWinLoop","BullWin","BullWinLoop","BullWin","BullStill","BullStill","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","colt_def_oc_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlDefault","RocketGirl","brock_redux_base_geo.glb","","","","","","","brock_redux_portrait.glb","","BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockSecondary","BrockRecoil","","BrockRecoil2","","BrockIdle","BrockPushback","","BrockWin","BrockWinloop","","BrockLose","BrockLoseloop","BrockWin","BrockWinloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","","BrockIdle","BrockIdle","BrockProfile","","","BrockProfile","BrockIdle","","","","","","BrockStill","BrockStill","BrockWin","BrockWinLoop","","BrockLose","BrockLoseLoop","BrockWin","BrockWinLoop","BrockWinLoop","BrockWin","BrockWinLoop","BrockWin","BrockStill","BrockStill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10","","","","","","","","","",""
"RocketGirlBeach","RocketGirl","brock_beach_geo.scw","","","","","","","brock_redux_portrait.glb","","BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockSecondary","BrockRecoil","","BrockRecoil2","","BrockIdle","BrockPushback","","BrockWin","BrockWinloop","","BrockLose","BrockLoseloop","BrockWin","BrockWinloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","","BrockIdle","BrockIdle","BrockProfile","","","BrockProfile","BrockIdle","","","","","","BrockStill","BrockStill","BrockWin","BrockWinLoop","","BrockLose","BrockLoseLoop","BrockWin","BrockWinLoop","BrockWinLoop","BrockWin","BrockWinLoop","BrockWin","BrockStill","BrockStill","","","","","","","","","","Brock004Projectile","","Brock004UltiProjectile","","","","beach_brock_def_atk","","","","","","","beach_brock_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntGuyDefault","TntDude","dynamike_geo.scw","","","","","","","dynamike_base_cam.scw","","TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguySecondary","TntguyRecoil","","TntguyUlti","","TntguyReload","TntguyPushback","","TntguyWin","TntguyWinloop","","TntguyLose","TntguyLoseloop","TntguyWin","TntguyWinloop","TntguyIdle","TntguyWin","TntguyWinloop","TntguyWin","","TntguyIdle","TntguyIdle","TntguyProfile","","","TntguyProfile","TntguyIdle","","","","","","DynaStill","DynaStill","DynaWin","DynaWinLoop","","DynaLose","DynaLoseLoop","DynaWin","DynaWinLoop","DynaWinLoop","DynaWin","DynaWinLoop","DynaWin","DynaStill","DynaStill","","","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorDefault","Luchador","primo_geo.scw:torsoGeo+braceletGeo+legsGeo+beltGeo","","","","","","","primo_portrait.scw","","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil","","","LouchadorPushback","","LouchadorWin","LouchadorWinloop","","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorWinloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","","LouchadorIdle","LouchadorIdle","LouchadorProfile","","","LouchadorIntro","LouchadorIdle","","","","LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil","PrimoStill","PrimoStill","PrimoWin","PrimoWinLoop","","PrimoLose","PrimoLoseLoop","PrimoWin","PrimoWinLoop","PrimoWinLoop","PrimoWin","PrimoWinLoop","PrimoWin","PrimoStill","PrimoStill","","","","","","","","","","","","","","","","primo_def_atk","","","","","","","","","","","","","","","","","primo_def_ulti","","primo_def_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TurretDefault","MechanicTurret","jessie_turret_geo.glb","","","","","","","portrait_cam.scw","","JessieTurretIdle","JessieTurretIdle","JessieTurretAttack","JessieTurretAttack","JessieTurretAttack","JessieTurretAttack","","JessieTurretAttack","","JessieTurretIdle","JessieTurretIdle","","JessieTurretSpawn","JessieTurretIdle","","","JessieTurretIdle","JessieTurretSpawn","JessieTurretIdle","JessieTurretIdle","JessieTurretSpawn","JessieTurretIdle","","","JessieTurretIdle","JessieTurretIdle","JessieTurretIdle","","","JessieTurretIdle","Turret","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","Barley002Projectile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
