"Name","ParentStatusEffectForSkin","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","ChainStatusEffect","ChainStatusEffect2","PersistTransformation","BooleanAttributes","HapticsToSource","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TimerBar","TriggerEffect","EndEffect"
"string","string","int","int","boolean","Boolean","Boolean","Boolean","Boolean","int","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","boolean","boolean","string","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","string","string","string","string","boolean","string","boolean","boolean","int","int","int","string","string","string","string","string","string","string","boolean","string","string"
"WhirlwindTrailFire",,80,,,,,,,20,,,"TRUE",,,300,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"WhirlwindUltiTrailFire",,80,,,,,,,20,,,"TRUE",,,370,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"PetrolFire",,80,,,,,,,20,,,"TRUE",,,480,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"PetrolFireIce","PetrolFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,,,,,"poisoned_008","end",,,
"PetrolFireBubbles","PetrolFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,,,,,"poisoned_011","end",,,
"PetrolFireDark","PetrolFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,,,,,"amber_005_ulti_status","end",,,
"PetrolFireOvercharged",,80,,,,,,,20,,,"TRUE",,,500,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",150,150,150,,,,,,"poisoned_002","end",,,
"RollerFire",,80,,,,,,,20,,,"TRUE",,,200,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"RollerFireIce","RollerFire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,150,,,,,,"poisoned_008","end",,,
