"Name","Needle","Replacement","MatchType","Usage"
"string","string","string","string","string"
"price_2499_to_625_dot","/24.99/","/6.25/","Contains","price_divided_by_four"
"price_2499_to_625_comma","/24,99/","/6,25/","Contains","price_divided_by_four"
"price_2999_to_750_dot","/29.99/","/7.50/","Contains","price_divided_by_four"
"price_2999_to_750_comma","/29,99/","/7,50/","Contains","price_divided_by_four"
"price_4000_to_1000_comma","/4,000/","/1,000/","Contains","price_divided_by_four"
"price13990_to_3499_comma","/139,90/","/34,99/","Contains","price_divided_by_four"
"price39000_to_9750_comma","/39,000/","/9,750/","Contains","price_divided_by_four"
"price3499_to_875_dot","/34.99/","/8.75/","Contains","price_divided_by_four"
"price99999_to_24999_comma","/999,99/","/249,99/","Contains","price_divided_by_four"
"price62900_to_15725_dot","/629.00/","/157.25/","Contains","price_divided_by_four"
"price3899_to_9.75_dot","/38.99/","/9.75/","Contains","price_divided_by_four"
"price2500_to_625_dot","/25.00/","/6.25/","Contains","price_divided_by_four"
"price83000_to_20750_dot","/830.00/","/207.50/","Contains","price_divided_by_four"
"price14499_to_3625_comma","/144,99/","/36,25/","Contains","price_divided_by_four"
"price229000_to_57250_dot","/2290.00/","/572.50/","Contains","price_divided_by_four"
"price83900_to_20975_dot","/839.00/","/209.75/","Contains","price_divided_by_four"
"price39900000_to_99750_comma","/399.000/","/99.750/","Contains","price_divided_by_four"
