"Name","TID","Type","TypeCN","Disabled","ExistsApple","ExistsAndroid","ExistsCN","DisabledCN","ExistsAppleCN","ExistsAndroidCN","GeoSet","Diamonds","BonusPercentage","USD","Order","RMB","TencentID","IconExportName","FrameNumber","StarterPackNumber","XpLevelReq","ValueFactor","LabelTID","LabelValue","TagLabelTID","Bg","Decor","IsPromotion","Coins","RefundGemValue","PricingValueEqualGems","SCIDStore","PremiumPass","PremiumPlusPass","BundledTierCount","DiscountOf","BundledXP"
"String","String","int","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","int","int","int","int","string","string","int","int","int","int","String","int","String","int","int","boolean","int","int","int","boolean","boolean","boolean","int","String","int"
"com.supercell.laser.gempack0","TID_SHOP_GEM_PACK_1_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,100,30,,199,1,,,"shop_gem_0",0,,,,,,,,,,,30,,,,"FALSE",,,
"com.supercell.laser.gempack1","TID_SHOP_GEM_PACK_2_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,100,80,0,499,2,,,"shop_gem_1",1,,,,"TID_SHOP_LABEL_BREAKDOWN",5,,,,,,80,,,,"FALSE",,,
"com.supercell.laser.gempack2","TID_SHOP_GEM_PACK_3_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,100,170,5,999,3,,,"shop_gem_2",2,,,,"TID_SHOP_LABEL_BREAKDOWN",19,"TID_SHOP_LABEL_POPULAR",,,,,170,,,,"FALSE",,,
"com.supercell.laser.gempack3","TID_SHOP_GEM_PACK_4_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,100,360,15,1999,4,,,"shop_gem_3",3,,,,"TID_SHOP_LABEL_BREAKDOWN",59,,,,,,360,,,,"FALSE",,,
"com.supercell.laser.gempack4","TID_SHOP_GEM_PACK_5_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,100,950,20,4999,5,,,"shop_gem_4",4,,,,"TID_SHOP_LABEL_BREAKDOWN",196,,,,,,950,,,,"FALSE",,,
"com.supercell.laser.gempack5","TID_SHOP_GEM_PACK_6_TITLE",1,,,"TRUE","TRUE","FALSE","TRUE",,,100,2000,25,9999,6,,,"shop_gem_5",5,,,,"TID_SHOP_LABEL_BREAKDOWN",493,"TID_SHOP_LABEL_BEST_VALUE",,,,,2000,,,,"FALSE",,,
"com.supercell.laser.starterpack1","TID_STARTER_PACK_1",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,110,,299,0,,,,,1,5,4,,,,1,0,,600,181,,,,"FALSE",,,
"com.supercell.laser.starterpack2","TID_STARTER_PACK_2",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,190,,399,0,,,,,2,15,4,,,,1,0,,450,243,,,,"FALSE",,,
"com.supercell.laser.starterpack3","TID_STARTER_PACK_3",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,240,,499,0,,,,,3,25,4,,,,1,0,,700,322,,,,"FALSE",,,
"com.supercell.laser.starterpack4","TID_STARTER_PACK_4",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,320,,599,0,,,,,4,35,4,,,,1,0,,700,402,,,,"FALSE",,,
"com.supercell.laser.xmas2018pack","TID_IAP_XMAS2018_PACK",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,330,,499,9,,,,,,,4,,,,3,1,,,330,,,,"FALSE",,,
"com.supercell.laser.starterpackx","TID_STARTER_PACK_0",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,330,,499,0,,,,,0,0,4,,,,1,3,,,330,,,,"FALSE",,,
"com.supercell.laser.starterpack5","TID_STARTER_PACK_5",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,340,,699,0,,,,,5,50,4,,,,1,0,,900,446,,,,"FALSE",,,
"com.supercell.laser.starterpack6","TID_STARTER_PACK_6",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,420,,799,0,,,,,6,75,4,,,,1,0,,900,526,,,,"FALSE",,,
"com.supercell.laser.starterpack7","TID_STARTER_PACK_7",2,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,390,,899,0,,,,,7,100,4,,,,1,0,,2000,625,,,,"FALSE",,,
"com.supercell.laser.lny2019pack","TID_IAP_LNY2019_PACK",3,,"TRUE","FALSE","FALSE","FALSE","TRUE",,,,330,,999,9,,,,,,,3,,,,3,2,,1500,506,,,,"FALSE",,,
