"Name","TicketsInDancerBrawlerBox","TicketsInFuryBrawlerBox","TypeName","SpecificBrawler","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw"
"String","int","int","String","String","int","boolean","int","int","int","int","String","int","String","int","int","String","int","String","int","String","int","String","int"
"COINS S",300,300,"Coins",,,,,,30,70,,,,,,,,,,,,,
"COINS M",25,25,"Coins",,,,,,80,120,,,,,,,,,,,,,
"COINS L",4,4,"Coins",,,,,,130,350,,,,,,,,,,,,,
"COINS XL",,,"Coins",,,,,,400,650,,,,,,,,,,,,,
"COINS JACKPOT",1,1,"Coins",,,,,,1000,1000,,,,,,,,,,,,,
"POWER POINTS S",100,100,"PowerPoints",,,,,,10,26,,,,,,,,,,,,,
"POWER POINTS M",6,6,"PowerPoints",,,,,,30,70,,,,,,,,,,,,,
"POWER POINTS L",3,3,"PowerPoints",,,,,,80,120,,,,,,,,,,,,,
"POWER POINTS XL",,,"PowerPoints",,,,,,130,350,,,,,,,,,,,,,
"POWER POINTS JACKPOT",1,1,"PowerPoints",,,,,,1000,1000,,,,,,,,,,,,,
"CREDITS S",,,"Credits",,,,,,4,10,,,,,,,,,,,,,
"CREDITS M",100,100,"Credits",,,,,,10,26,,,,,,,,,,,,,
"CREDITS L",15,15,"Credits",,,,,,30,70,,,,,,,,,,,,,
"CREDITS XL",5,5,"Credits",,,,,,80,120,,,,,,,,,,,,,
"CREDITS JACKPOT",,,"Credits",,,,,,300,300,,,,,,,,,,,,,
"BLING S",41,60,"Bling",,,,,,30,70,,,,,,,,,,,,,
"BLING M",,,"Bling",,,,,,80,120,,,,,,,,,,,,,
"BLING L",,,"Bling",,,,,,130,350,,,,,,,,,,,,,
"BLING XL",,,"Bling",,,,,,400,650,,,,,,,,,,,,,
"BLING JACKPOT",1,1,"Bling",,,,,,1000,1000,,,,,,,,,,,,,
"XP DOUBLERS S",149,149,"TokenDoubler",,,,,,100,300,,,,,,,,,,,,,
"XP DOUBLERS L",,,"TokenDoubler",,,,,,500,1000,,,,,,,,,,,,,
"XP DOUBLERS JACKPOT",1,1,"TokenDoubler",,,,,,5000,5000,,,,,,,,,,,,,
"GEMS S",10,10,"Gems",,,,,,3,3,,,,,,,,,,,,,
"GEMS L",,,"Gems",,,,,,10,10,,,,,,,,,,,,,
"GEMS JACKPOT",1,1,"Gems",,,,,,100,100,,,,,,,,,,,,,
"Dancer Brawler",2,,"SpecificBrawler","Dancer",,,,,,,"Credits",1000,,,,,,,,,,,
"Dancer Skin 29",30,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"SkaterRapper",1,,,,,,
,,,,,,,,,,,,,,,,"Alternator29gem",1,,,,,,
,,,,,,,,,,,,,,,,"BeamerMC",1,,,,,,
,,,,,,,,,,,,,,,,"GhostSwag",1,,,,,,
"Dancer Skin 79",20,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"RocketGirlBoombox",1,,,,,,
,,,,,,,,,,,,,,,,"HammerDudeDJ",1,,,,,,
,,,,,,,,,,,,,,,,"DancerGraffitiSpecial",1,,,,,,
"Dancer Skin 149",10,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"DuplicatorCholaChroma",1,,,,,,
,,,,,,,,,,,,,,,,"MummyDj",1,,,,,,
"Dancer Skin 199",15,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"FishTankSurfer",1,,,,,,
,,,,,,,,,,,,,,,,"TrickshotBrawloween",1,,,,,,
,,,,,,,,,,,,,,,,"SplitterBrawloween",1,,,,,,
"Dancer Spray",80,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_hub1",1,,,,
,,,,,,,,,,,,,,,,,,"spray_badgem",1,,,,
,,,,,,,,,,,,,,,,,,"spray_poco_street",1,,,,
