"Name","Disabled","WinTrackType","DropType","IsDefaultTypePiggy","RewardContainer","UsePerPlayerRewards","ClaimableMidEvent","SkipSummaryAfterRewards","NextEventTID","ReskinAssetId","CustomIntroFlow","RequireCustomIntroFlowAsset","EventOverTID","SmashTID","LeaderboardTabTID","ContributedWinsTID","NotContributedWinsTID","TicketTooltipTID","EventNameTID","EventEndInboxTID","EventEndNoUnclaimedRewardsInboxTID","RewardsRootClipPath","RewardClipPrefix","ClaimedRewardsRootClipPath","ClaimedRewardClipPrefix","ClaimButtonClipPath","ComponentTypes","ComponentValues","NonInteractiveItemPaths","SoundPlayerClipPaths","RemoveAllExceptOneClipWithPrefix","MaxScaleWinPips","NewTicketsTID","WinsToNextDropTID","WinsToNextDropPopupTID","WinsToNextDropGradient","LevelCounterTID","LevelCounterOverrideTIDFormat"
"string","Boolean","int","String","Boolean","String","Boolean","Boolean","Boolean","String","String","String","boolean","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","String","String","String","String","String","String"
"DefaultClubPiggy",,0,,"TRUE","ClubPiggyBank",,,,"TID_CLUB_PIGGY_BANK_NEXT_EVENT_TIME",,,,"TID_CLUB_PIGGY_BANK_EVENT_ENDED_TITLE","TID_CLUB_PIGGY_BANK_EVENT_ENDED_SMASH_TITLE","TID_CLUB_INFO_TAB_PIGGY_BANK","TID_CLUB_PIGGY_CONTRIBUTED_WINS","TID_CLUB_PIGGY_BANK_NOT_CONTRIBUTED","TID_CLUB_PIGGY_BANK_HOMESCREEN_TICKET_TOOLTIP","TID_CLUB_PIGGY_BANK_EVENT_NAME","TID_NOTIFICATION_CLUB_PIGGY_EVENT_END","TID_NOTIFICATION_CLUB_PIGGY_EVENT_END",,,,,,"PROGRESS_VALIGN","TOP",,,,,"TID_CLUB_PIGGY_MORE_TICKETS","TID_CLUB_PIGGY_EVENT_WINS_TO_NEXT_DROP","TID_CLUB_PIGGY_EVENT_WINS_TO_NEXT_DROP_POPUP","ClubPiggyGold","TID_CLUB_PIGGY_LEVEL_COUNTER",
,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONTRIBUTIONS_VALIGN","BOTTOM",,,,,,,,,,
"XmasTree",,1,"PRESENT",,,,,,"TID_CLUB_XMAS_NEXT_EVENT_TIME","ClubPiggyXmasReskinSc","ClubPiggyXmasReskinInfo",,"TID_CLUB_XMAS_EVENT_ENDED_TITLE","TID_CLUB_XMAS_EVENT_ENDED_SMASH_TITLE","TID_CLUB_INFO_TAB_XMAS_TREE","TID_CLUB_XMAS_CONTRIBUTED_WINS","TID_CLUB_XMAS_NOT_CONTRIBUTED","TID_CLUB_XMAS_HOMESCREEN_TICKET_TOOLTIP","TID_CLUB_XMAS_EVENT_NAME","TID_NOTIFICATION_CLUB_XMAS_EVENT_END","TID_NOTIFICATION_CLUB_XMAS_EVENT_END","scene/tree","gift_",,,,,,,,"gary_",25,"TID_CLUB_PIGGY_XMAS_MORE_TICKETS","TID_CLUB_PIGGY_EVENT_XMAS_WINS_TO_NEXT_DROP","TID_CLUB_PIGGY_EVENT_XMAS_WINS_TO_NEXT_DROP_POPUP","ClubPiggyGold","TID_CLUB_XMAS_LEVEL_COUNTER","TID_CLUB_XMAS_LEVEL_COUNTER_<NUM>"
"Tuna",,2,"SUSHI",,,"TRUE","TRUE","TRUE","TID_CLUB_TUNA_NEXT_EVENT_TIME","ClubPiggyTunaSC","ClubPiggyTunaInfo",,"TID_CLUB_TUNA_EVENT_ENDED_TITLE","TID_CLUB_TUNA_EVENT_ENDED_SMASH_TITLE","TID_CLUB_INFO_TAB_TUNA","TID_CLUB_TUNA_CONTRIBUTED_WINS","TID_CLUB_TUNA_NOT_CONTRIBUTED","TID_CLUB_TUNA_HOMESCREEN_TICKET_TOOLTIP","TID_CLUB_TUNA_EVENT_NAME","TID_NOTIFICATION_CLUB_SUSHI_EVENT_END","TID_NOTIFICATION_CLUB_SUSHI_EVENT_END_NO_UNCLAIMED","scene/sushi","sushi_","scene/plates","plate_","scene/sushi/claim",,,"light_rays","mega_drop",,,"TID_CLUB_TUNA_MORE_TICKETS","TID_CLUB_PIGGY_SUSHI_PROGRESS_BAR","TID_CLUB_PIGGY_SUSHI_PROGRESS_BAR",,"TID_CLUB_TUNA_LEVEL_COUNTER",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"particles",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spotlight_loop",,,,,,,,,
"Subway",,3,"COLLAB_SCORE",,,"TRUE","TRUE","TRUE","TID_CLUB_COLLAB_TEASER_TIME","ClubPiggySubwaySC","ClubPiggySubwayInfo",,"TID_CLUB_COLLAB_EVENT_ENDED_TITLE","TID_CLUB_COLLAB_EVENT_ENDED_SMASH_TITLE","TID_CLUB_SUBWAY_EVENT_NAME","TID_CLUB_PIGGY_CONTRIBUTED_WINS","TID_CLUB_PIGGY_BANK_NOT_CONTRIBUTED","TID_CLUB_COLLAB_HOMESCREEN_TICKET_TOOLTIP","TID_CLUB_SUBWAY_EVENT_NAME","TID_NOTIFICATION_CLUB_COLLAB_REWARD","TID_NOTIFICATION_CLUB_COLLAB_EVENT_END","scene","sushi_","scene/plates","plate_","scene/claim",,,"light_rays","mega_drop",,,"TID_CLUB_COLLAB_MORE_TICKETS","TID_CLUB_COLLAB_PROGRESS_BAR","TID_CLUB_COLLAB_PROGRESS_BAR",,"TID_CLUB_COLLAB_LEVEL_COUNTER",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"particles",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spotlight_loop",,,,,,,,,
