"Name","TID","CollabId","EventPanelExportName","SpecialEventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsCanDropWithoutBrawler","SkinsInReward","TicketsInSkinDraw","TicketsInSkinAltDraw","SpecialSkinsInReward","TicketsInSpecialSkinDraw","SpraysInReward","TicketsInSprayDraw","TicketsInSprayAltDraw","ProfilePicsInReward","TicketsInProfilePicDraw","TicketsInProfilePicAltDraw","PinsInReward","TicketsInPinDraw","TicketsInPinAltDraw","ClubCollabSkin","HideSkinRewardsInClubTrack","Modifier","CollabMenuVFX","CollabVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID","ThemeAngelic","ThemeDemonic","HasCollabShop","HasShopKeeper","BrawlersForCollabShop","TicketsInBrawlersForCollabShopDraw","ShopStylesNames","CoversIds","Discounts","BundleTitleBasedOnDiscount","FrameLabelBasedOnDiscount","RemoveAllExceptOneClipWithPrefix","ChapterNewsInboxLinkIds"
"String","String","int","String","String","String","String","int","int","int","int","int","String","boolean","String","int","int","String","int","String","int","int","String","int","int","String","int","int","String","boolean","int","String","String","String","String","String","String","String","String","boolean","boolean","String","int","String","int","int","String","String","String","String"
"Gozilla","TID_COLLAB_1",1,"collab_event_panel_screen_hud_left",,,"collab_event_teaser",6,50,,49,1,"Godzilla",,"EnragerVigilante",13,0,,,"spray_godzilla_team",25,0,"player_icon_godzilla_event1",25,0,"emoji_godzilla_robot",33,0,"RopeDudeGodzilla",,36,"MutantionMenuEffect","MutantBrawler","sc3d/mutationrandom_anim.glb","TID_COLLAB_1_LEADERBOARD_TAB","TID_COLLAB_1_LEADERBOARD_TITLE","TID_COLLAB_1_LEADERBOARD_SCORE",,,,,,,,,,,,,
,,,,,,,,,,,,,,"SplitterPolice",13,0,,,"spray_godzilla_team_mecha",25,0,"player_icon_godzilla_event2",25,0,"emoji_godzilla_brawlball",33,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CocoonerRare",13,0,,,"spray_mutation_sign",25,0,"player_icon_mutation",25,0,"emoji_mutation_heart",34,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BaseballVigilante",13,0,,,"spray_godzilla_egg",25,0,"player_icon_mutated_logo",25,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"JetpackGirlTopgun",13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RopeDudeKaiju",13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"StickyBombVeteran",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"SpeedyTracksuit",7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ClusterBombMonster",7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BeeSniperMonster",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"DrillerMonster",4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Cactusmecha",4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlRanger_red",9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlRanger_blue",9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlRanger_yellow",9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlRanger_pink",9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlRanger_black",9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"PowerLevelerKnight_red",23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TntDudeMecha",8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RopeDudeGodzilla",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RopeDudeGodzillaRed",5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RopeDudeGodzillaBlack",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classic","TID_COLLAB_2",2,"collab_event_panel_1_screen_hud_left",,"collab_event_panel_2_screen_hud_left","collab_event_teaser",,,,,,,,"TrickshotDudeKing_remake",1,0,,,,,,"player_icon_classic_colt",1,0,"emoji_classic_icon",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TrickshotDudeKing_remakeBling",1,0,,,,,,"player_icon_classic_dynamike",1,0,"emoji_classic_counter",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TrickshotDudeKing_remakePurple",1,0,,,,,,"player_icon_classic_jessie",1,0,"emoji_classic_box_small",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BullGuyHair",1,0,,,,,,"player_icon_classic_max",1,0,"emoji_classic_box_mega",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BullDudeViking_remake_orange",1,0,,,,,,"player_icon_classic_penny",1,0,"emoji_classic_box_last",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"FrankCaveman",1,0,,,,,,"player_icon_classic_poco",1,0,"emoji_classic_box_big",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"FrankCavemanRed",1,0,,,,,,"player_icon_classic_primo",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BanditGirlStar_remake",1,0,,,,,,"player_icon_classic_shelly",1,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ShotgunGirlClassic_white",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TntDudeClassic_yellow",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"TrickshotDudeClassic_red",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlClassic_white",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"ShamanBearPanda",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"GunSlingerRockstar",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"BarkeepGold",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"RocketGirlBeach",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"LuchadorRudo",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CactusPink",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"CrowWhite",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"LuchadorRey",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"MechanicSummer",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"MechanicKnight",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"UndertakerGreaser",1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
