"Name","Id","Disabled","NameTID","DescriptionTID","BattleLoad","BotItemPickup","IsEnabledInFriendly","RecordsDisabled","DebugMenu","CustomValue1","CustomValue2","CustomValue3"
"string","int","boolean","string","string","int","string","boolean","boolean","boolean","int","int","int"
"None",0,,"TID_EVENT_MODIFIER_0","TID_EVENT_MODIFIER_DESC_0",,,,,,,,
"EnergyDrink",1,,"TID_EVENT_MODIFIER_1","TID_EVENT_MODIFIER_DESC_1",,"DamageAndSpeed","TRUE",,"TRUE",,,
"BigRobo",2,,"TID_EVENT_MODIFIER_2","TID_EVENT_MODIFIER_DESC_2",1,,,,"TRUE",,,
"Meteors",3,,"TID_EVENT_MODIFIER_3","TID_EVENT_MODIFIER_DESC_3",,,,,"TRUE",,,
"LifeLeech",4,,"TID_EVENT_MODIFIER_4","TID_EVENT_MODIFIER_DESC_4",,,,,"TRUE",,,
"HealingMushrooms",5,,"TID_EVENT_MODIFIER_5","TID_EVENT_MODIFIER_DESC_5",,,,,"TRUE",,,
"BossFightRockets",6,,"TID_EVENT_MODIFIER_6","TID_EVENT_MODIFIER_DESC_6",,,,,,,,
"GhostRespawn",7,"TRUE","TID_EVENT_MODIFIER_7","TID_EVENT_MODIFIER_DESC_7",,,,,,,,
"TakedownLasers",8,"TRUE","TID_EVENT_MODIFIER_8","TID_EVENT_MODIFIER_DESC_8",,,,,,,,
"TakedownChainLighting",9,,"TID_EVENT_MODIFIER_9","TID_EVENT_MODIFIER_DESC_9",,,,,"TRUE",,,
"TakedownRockets",10,,"TID_EVENT_MODIFIER_10","TID_EVENT_MODIFIER_DESC_10",,,,,"TRUE",,,
"Waves",11,,"TID_EVENT_MODIFIER_11","TID_EVENT_MODIFIER_DESC_11",,,"TRUE",,"TRUE",,,
"HauntedBall",12,,"TID_EVENT_MODIFIER_12","TID_EVENT_MODIFIER_DESC_12",1,,,,"TRUE",,,
"FastSuperCharge",13,,"TID_EVENT_MODIFIER_13","TID_EVENT_MODIFIER_DESC_13",,,"TRUE",,"TRUE",,,
"FastPlayers",14,,"TID_EVENT_MODIFIER_14","TID_EVENT_MODIFIER_DESC_14",,,"TRUE",,"TRUE",,,
"TrophiesForKills",15,,"TID_EVENT_MODIFIER_15","TID_EVENT_MODIFIER_DESC_15",,,,,,,,
"InvisibleBrawlers",16,,"TID_EVENT_MODIFIER_16","TID_EVENT_MODIFIER_DESC_16",,,,,"TRUE",,,
"BurningBall",17,,"TID_EVENT_MODIFIER_17","TID_EVENT_MODIFIER_DESC_17",,,,,"TRUE",,,
"EventCollectToken",18,,"TID_EVENT_MODIFIER_18","TID_EVENT_MODIFIER_DESC_18",1,"EventCollectToken",,,,,,
"Survival",19,,"TID_EVENT_MODIFIER_19","TID_EVENT_MODIFIER_DESC_19",,,,,"TRUE",,,
"SuperBushy",20,,"TID_EVENT_MODIFIER_20","TID_EVENT_MODIFIER_DESC_20",1,,,,"TRUE",,,
"UnlimitedPower",21,,"TID_EVENT_MODIFIER_21","TID_EVENT_MODIFIER_DESC_21",,"BattleRoyaleBuff","TRUE",,"TRUE",,,
"TimedDetonation",22,,"TID_EVENT_MODIFIER_22","TID_EVENT_MODIFIER_DESC_22",,,,,"TRUE",,,
"Classic",23,,"TID_EVENT_MODIFIER_23","TID_EVENT_MODIFIER_DESC_23",,,,,,,,
"ExtraBall",24,,"TID_EVENT_MODIFIER_24","TID_EVENT_MODIFIER_DESC_24",,,,,,,,
"IceAge",25,,"TID_EVENT_MODIFIER_25","TID_EVENT_MODIFIER_DESC_25",,,,,,,,
"SuddenDeath",26,,"TID_EVENT_MODIFIER_26","TID_EVENT_MODIFIER_DESC_26",,,"TRUE",,"TRUE",,,
"DevastationCloud",27,,"TID_EVENT_MODIFIER_27","TID_EVENT_MODIFIER_DESC_27",,,"TRUE",,"TRUE",,,
"HyperDrop",28,,"TID_EVENT_MODIFIER_28","TID_EVENT_MODIFIER_DESC_28",,,"TRUE",,"TRUE",,,
"CrownControlImmunity",29,,"TID_EVENT_MODIFIER_29","TID_EVENT_MODIFIER_DESC_29",,,,,"TRUE",,,
"SharpenedAmmo",30,,"TID_EVENT_MODIFIER_30","TID_EVENT_MODIFIER_DESC_30",,,,,"TRUE",,,
"Quickfire",31,,"TID_EVENT_MODIFIER_31","TID_EVENT_MODIFIER_DESC_31",1,,"TRUE",,"TRUE",,,
"BigFriend",32,,"TID_EVENT_MODIFIER_32","TID_EVENT_MODIFIER_DESC_32",,,,,,,,
"AlwaysOvercharged",33,,"TID_EVENT_MODIFIER_33","TID_EVENT_MODIFIER_DESC_33",,,,,"TRUE",,,
"SecondWind",34,,"TID_EVENT_MODIFIER_34","TID_EVENT_MODIFIER_DESC_34",1,,"TRUE",,"TRUE",,,
"Instagib",35,,"TID_EVENT_MODIFIER_35","TID_EVENT_MODIFIER_DESC_35",,,,,,,,
"Mutants",36,,"TID_EVENT_MODIFIER_36","TID_EVENT_MODIFIER_DESC_36",3,,,,,,,
"GottaGoFast",37,,"TID_EVENT_MODIFIER_37","TID_EVENT_MODIFIER_DESC_37",,,,,,,,
"HealingWinds",38,,"TID_EVENT_MODIFIER_38","TID_EVENT_MODIFIER_DESC_38",,,"TRUE",,"TRUE",,,
"Archetypes",39,,"TID_EVENT_MODIFIER_39","TID_EVENT_MODIFIER_DESC_39",3,,,,,,,
"Momentum",40,,"TID_EVENT_MODIFIER_40","TID_EVENT_MODIFIER_DESC_40",,,,,"TRUE",,,
"UnlimitedGadgets",41,"TRUE","TID_EVENT_MODIFIER_41","TID_EVENT_MODIFIER_DESC_41",,,,,,,,
"AvatarPassive",42,,"TID_EVENT_MODIFIER_42","TID_EVENT_MODIFIER_DESC_42",3,,,,,,,
"ArcadeScoring",43,,"TID_EVENT_MODIFIER_43","TID_EVENT_MODIFIER_DESC_43",,,,,,,,
"RandomGas",44,"TRUE","TID_EVENT_MODIFIER_44","TID_EVENT_MODIFIER_DESC_44",,,"TRUE",,,,,
"FriendlyFire",45,"TRUE","TID_EVENT_MODIFIER_45","TID_EVENT_MODIFIER_DESC_45",,,"TRUE","TRUE",,,,
"BonusSkills",46,,"TID_EVENT_MODIFIER_46","TID_EVENT_MODIFIER_DESC_46",,,,"TRUE",,,,
