"Name","Variation","Disabled","ShortName","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","BannerOverrideSWF","BannerOverrideExportName","SquareBannerOverrideSWF","SquareBannerOverrideExportName","MaxScore","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreOpponentText","ScoreTextEnd","ScoreOpponentTextEnd","ScoreVO","OpponentScoreVO","VictoryVO","DefeatVO","DoubleTakedownVO","TripleTakedownVO","QuadTakedownVO","TeamTakedownVO","FirstBloodVO","PointsLeftMediumVO","PointsLeftLowVO","FriendlyMenuOrder","IntroText","IntroDescText","IntroDescText2","OvertimeText","OvertimeVO","PlayerCountInfo","StartNotification","EndNotification","Color","BgColor","FallbackPlayerMapEnvironment","TeamEntryItemName","PanelTeamOnlineName","SpecificEmote1","SpecificEmote2","SpecificEmote3","ScorePanelIconFrame","HasModeSpecificQuest","MaxDamage","MaxHealing","CustomValue1","PlayerCollectBountyStars","PlayersCollectPowerCubes","MaxPowerCubesToDrop","PlayersCollectBolts","ItemClaimDelaySeconds","IsPlayedOnVeryLargeMap","SpectateAfterGameOver","SpectateAfterDeath","SpectateFriendAfterDeath","HasCornerScoreNumbers","HasCornerScoreForBothTeams","IsBattleRoyale","HasAntiTeamingFeatures","HasBoxesWithPowerCubes","HasOffScreenIndicator","HasOffScreenBossIndicator","IsCoop","HasDownwardsTickingClock","DisplayOneHealthbar","DisplayOneHealthbarForBothTeams","DisplayOneBlueHealthbar","DisplayHealthbarForBothTeams","HealthbarsAreInOneCorner","HealthBarsFillUp","HasTwoBases","IsSoloModeWithRespawns","IsSoloMode","GetHeroSelectionCount","HasTimerAndCanEndBeforeTimerRunsOut","ShouldSpawnCloseToTeammate","HasSpawnProtectionInTheStart","GiveMVPAtGameEnd","HasWinBasedExp","PanCameraToCenterWhenGameOver","RevealMapWhenGameOver","FlashHealthBar","IsGoalBasedMode","ShowTextOnScore","ModeHasCarryables","AllowAttackWhileCarrying","IsHorizontalMode","BattleTicks","HasOvertime","OvertimeHasGoldenGoal","RespawnSeconds","ModeHasSecondaryRespawnPoints","ModeGameObjectCount","RoundResetsWhenObjectiveIsMissing","DroppedItemOnDeath","BotGoalAreaEffect","BotItemPickup","BotItemPickup2","BotItemPickupRadius","HasTeamItems","PreventWallsOnBase","HasMultipleDifficulties","IsTypeOfBossFight","IsSpecialEvent","IsBlockedFromFriendlyRoom","AreTeamsDisabledIn","BossCharacterData","BossCharacterData2","BossCharacterData3","BossShareHP","NumberOfRounds","MoveDeathNotificationsDown","ModeCarryable","TeamSize","TeamCount","ModeHasFillingPoison","BattleLoad","BattleLoadCoop","HasTokensToHold","IsMatchmakingBasedOnAverageHeroScore","IsNotRewardingTrophies","IsAllowDuplicateHeroes","TrophyGainedMultiplierPercent","TrophyLostMultiplierPercent","BattleMusicOverride"
"string","int","Boolean","String","string","string","string","string","string","string","string","string","int","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","int","string","string","string","string","string","string","String","String","string","string","string","string","string","string","string","string","int","boolean","int","int","int","boolean","boolean","int","boolean","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","boolean","boolean","int","boolean","int","boolean","string","string","string","string","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","string","string","string","boolean","int","boolean","string","int","int","boolean","int","int","boolean","boolean","boolean","boolean","int","int","string"
"GemGrab",0,,"GemGrab","TID_GAME_MODE_0","chat_letsplay_gemgrab","event_gameroom_gemgrab","event_icon_gemgrab",,,,"event_gemgrab_banner_square",,,,,,,,,,,,,,,,,,,1,"TID_GAME_MODE_0","TID_COIN_RUSH_INTRO_TEXT","TID_GEMGRAB_DOUBLE_MINE_INTRO_TEXT","TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","CoinRushStart",,"0xffd852ff","0xff9A3DF3","MineEnvironment","event_teamentry_gemgrab","panel_team_online_gemgrab",,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,,,,,,,,210,,,5,,1,,"Point",,"Point",,,,,,,,,,,,,,1,,,3,2,,10,8,"TRUE",,,,,,
"Deleted1",1,"TRUE","Del1",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_OVERTIME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,3,2,,10,8,,,,,,,
"Heist",2,,"Heist","TID_GAME_MODE_2","chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,,,,,,,,,,,,,,,,,,,,3,"TID_GAME_MODE_2","TID_ATTACK_DEFEND_INTRO_TEXT_ATTACK","TID_ATTACK_DEFEND_INTRO_TEXT_DEFEND","TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","AttackDefendStart",,"0xffd852ff","0xffD65CD3","DefaultEnvironment","event_teamentry_heist","panel_team_online_heist",,,,,"true",,,,,,,,,,,,,,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE",,,1,"TRUE",,,"TRUE","TRUE",,"TRUE","TRUE",,,,,,,,,5,,2,,,,,,,,"TRUE",,,,,,,,,,1,,,3,2,,10,8,,,,,,,
"Bounty",3,,"Bounty","TID_GAME_MODE_3","chat_letsplay_wanted","event_gameroom_wanted","event_icon_wanted",,,,,20,,,,,,,,,,,,,,,,,,4,"TID_GAME_MODE_3","TID_BOUNTY_HUNTER_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_TEAM","BountyStart",,"0xff24d6ff","0xff00CFFF","DefaultEnvironment","event_teamentry_wanted","panel_team_online_wanted",,,,,,,,,"TRUE",,,,,,,,,"TRUE","TRUE",,,,,,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,,,,,,,,120,,,3,,1,,,,"Money",,,,,,,,,,,,,,1,,,3,2,,10,8,"TRUE",,,,,,
"Deleted2",4,"TRUE","Del 2",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_OVERTIME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,3,2,,10,8,,,,,,,
"BrawlBall",5,,"BrawlBall","TID_GAME_MODE_5","chat_letsplay_brawlball","event_gameroom_brawlball","event_icon_brawlball",,,,"event_brawlball_banner_square",2,"Brawlbawl_goal","Brawlbawl_other_goal","TID_GOAL","TID_GOAL","TID_GOAL_MATCH_OVER","TID_GOAL_MATCH_OVER","Announcer_goal_vo","Announcer_goal_vo","Deathmatch_Victory_VO","Deathmatch_Defeat_VO",,,,,,,,5,"TID_GAME_MODE_5","TID_LASER_BALL_INTRO_TEXT",,"TID_OVERTIME","Announcer_overtime_vo","TID_EVENT_POPUP_GMV_LABEL_TEAM","LaserBallStart",,"0xff9ab1fd","0xff8CA0E0","GrassfieldEnvironment","event_teamentry_brawlball","panel_team_online_brawlball",,,,1,,,,,,,,,,,,,,"TRUE","TRUE",,,,"TRUE",,,"TRUE",,,,,,,,,,1,"TRUE",,,"TRUE","TRUE",,"TRUE",,"TRUE","TRUE","TRUE","FALSE",,210,"TRUE","TRUE",7,"TRUE",1,"TRUE",,,,,,,,,,,,,,,,,1,,"LaserBall",3,2,,10,8,,,,,,,
"Showdown",6,,"Solo SD","TID_GAME_MODE_6","chat_letsplay_survival","event_gameroom_survival","event_icon_survival",,,"sc/events.sc","event_showdown_banner_square",,,,,,,,,,,,,,,,,,,2,"TID_GAME_MODE_6","TID_BATTLE_ROYALE_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE","BRStart",,"0xff91e136","0xff81D621","DefaultEnvironment","event_teamentry_survival","panel_team_online_survival",,,,,"true",,,,,"TRUE",5,,,"TRUE","TRUE","TRUE",,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,"TRUE",1,,,"TRUE",,,,,,,,,,,800,,,-1,,,,"BattleRoyaleBuff",,,,,,,,,,,"TRUE",,,,,1,,,1,10,"TRUE",16,10,,,,,,,
"BigGame",7,,"BigGame","TID_GAME_MODE_7","chat_letsplay_bossmode","event_gameroom_bossmode","event_icon_bossmode","sc/events.sc","event_boss_banner","sc/events.sc","event_boss_banner_square",,,,,,,,,,,,,,,,,,,10,"TID_GAME_MODE_7","TID_BOSS_INTRO_TEXT_ATTACK","TID_BOSS_INTRO_TEXT_DEFEND","TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT","BossStart",,"0xffff6847","0xffDC2423",,"event_teamentry_bossmode","panel_team_online_bossmode",,,,,,5000,3000,,,,,,,,,,,,,,,,"TRUE","TRUE",,"TRUE","TRUE",,,,,,,,,1,"TRUE",,,,,"TRUE","TRUE",,,,,,,120,,,5,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,1,,,3,2,,10,8,,,,,,,
"RoboRumble",8,,"RoboR","TID_GAME_MODE_8","chat_letsplay_coop","event_gameroom_coop","event_icon_coop","sc/ui.sc","event_coop_banner","sc/events.sc","event_coop_banner_square",,,,,,,,,,,,,,,,,,,11,"TID_GAME_MODE_8","TID_COOP_INTRO_TEXT",,"TID_OVERTIME",,"TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL","CoopStart",,"0xffff6847","0xffDC2423",,"event_teamentry_coop","panel_team_online_coop",,,,,,,,,,,,,,"TRUE",,"TRUE","TRUE",,,,,,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",,,,,,,1,"TRUE",,,,,,,"TRUE",,,,,,120,,,10,,,,,,,,,,"TRUE","TRUE",,"TRUE","TRUE",,,,,,1,,,3,1,,10,8,,,,,,,
