"Name","Disabled","TileSetPrefix","BannerSWF","BannerExportName","Island","Music","GroundModel","EnvironmentModel","MaskedEnvironmentModel","CampaignGroundModel","Wall1Model","Wall1Submesh","Wall1AngleStep","Wall2Model","Wall2Submesh","Wall2AngleStep","CrateModel","CrateSubmesh","CrateAngleStep","BarrelModel","BarrelSubmesh","BarrelAngleStep","ThemedModel","ThemedSubmesh","ThemedAngleStep","Grass","ClutterModel","ClutterSubmesh","ClutterAngleStep","ClutterModel_CN","ClutterSubmesh_CN","ClutterAngleStep_CN","FragileModel","FragileSubmesh","FragileAngleStep","FragileModel_CN","FragileSubmesh_CN","FragileAngleStep_CN","WaterTileModel","FenceModel","RopeFenceModel","PayloadTrackModel","IndestructibleFenceModel","IndestructibleModel","IndestructibleSubmesh","Damageable1Model","Damageable1Submesh","Damageable1AngleStep","Damageable2Model","Damageable2Submesh","Damageable2AngleStep","Damageable3Model","Damageable3Submesh","Damageable3AngleStep","Damageable4Model","Damageable4Submesh","Damageable4AngleStep","IndestructibleDeco1Model","IndestructibleDeco1Submesh","IndestructibleDeco1AngleStep","IndestructibleDeco2Model","IndestructibleDeco2Submesh","IndestructibleDeco2AngleStep","IndestructibleDeco3Model","IndestructibleDeco3Submesh","IndestructibleDeco3AngleStep","IndestructibleDeco4Model","IndestructibleDeco4Submesh","IndestructibleDeco4AngleStep","GroundFillerModel","LaserBallSkinOverride","MineGemSpawnModelOverride","LootBoxSkinOverride","SafeSkinOverride","SafeCharacterOverride","ShowdownBoostModelOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewSkyColorRed","MapPreviewSkyColorGreen","MapPreviewSkyColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides","MapWidth","MapHeight"
"string","boolean","string","string","string","boolean","string","string","string","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","string","string","string","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","int","string","string","string","string","string","string","string","int","int","int","int","int","int","string","string","string","string","string","string","int","int"
"Retropolis","true","retropolis_","sc/events.sc","event_retropolis_banner",,"Retropolis_battle","sc3d/bgr_retropolis_ground_geo.glb","sc3d/bgr_retropolis_geo.glb",,,"sc3d/retropolis_wall1_geo.glb","rock_retropolis_1",90,"sc3d/retropolis_wall2_geo.glb",,90,"sc3d/retropolis_crate_geo.glb","crate_1",,"sc3d/retropolis_barrel_geo.glb","barrel_2",1,"sc3d/retropolis_themed_geo.glb","potted_plant_1",1,"sc3d/retropolis_grass_geo.glb","sc3d/retropolis_clutter_geo.glb","plant_retropolis",1,,,,"sc3d/retropolis_fragile_geo.glb","traffic_cone",1,,,,"sc3d/retropolis_water_geo.glb","sc3d/retropolis_fence_geo.glb","sc3d/retropolis_rope_geo.glb",,"retropolis_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/retropolis_gem_spawn_geo.glb",,,,,90,66,111,69,136,255,"retropolis_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/retropolis_themed_geo.glb","potted_plant_1b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTown","true","town_","sc/events.sc","event_town_banner",,"BattleMusic","sc3d/bgr_old_town_ground.glb","sc3d/bgr_old_town.glb",,,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/default_crate.glb","crate_1",,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/oldtown_themed.glb","potted_plant_1",1,"sc3d/oldtown_grass.glb","sc3d/oldtown_clutter.glb","bone_single",1,"sc3d/oldtown_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/oldtown_fragile_cn.glb","traffic_cone",1,"sc3d/oldtown_water.glb","sc3d/oldtown_fence.glb","sc3d/oldtown_rope.glb",,"sc3d/oldtown_fence.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_gem_spawn.glb",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_themed.glb","potted_plant_1b",1,,"sc3d/oldtown_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_clutter.glb","bone_skull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTownLNY","true","town_","sc/events.sc","event_cny_banner",,"Cny_levels","sc3d/bgr_old_town_ground.glb","sc3d/bgr_old_town.glb",,,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/oldtown_wall1.glb","rock_town_1",90,"sc3d/default_crate.glb","crate_1",,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/oldtown_themed.glb","potted_plant_1",1,"sc3d/oldtown_grass.glb","sc3d/oldtown_clutter.glb","bone_single",1,"sc3d/oldtown_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/oldtown_fragile_cn.glb","traffic_cone",1,"sc3d/oldtown_water.glb","sc3d/oldtown_fence.glb","sc3d/oldtown_rope.glb",,"sc3d/oldtown_fence.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_gem_spawn.glb",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,"sc3d/bgr_old_town_decos_lny.glb",,,,,,,,,,,,,,,"sc3d/oldtown_themed.glb","potted_plant_1b",1,,"sc3d/oldtown_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_clutter.glb","bone_skull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OldTownTutorial",,"town_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_tutorial_ground_geo.glb","sc3d/bgr_tutorial_geo.glb",,,"sc3d/oldtown_wall1_geo.glb","rock_town_1",90,"sc3d/oldtown_wall1_geo.glb","rock_town_1",90,"sc3d/default_crate_geo.glb","crate_1",,"sc3d/default_barrel_geo.glb","barrel_1",1,"sc3d/oldtown_themed_geo.glb","potted_plant_1",1,"sc3d/oldtown_grass_geo.glb","sc3d/oldtown_clutter_geo.glb","bone_single",1,"sc3d/oldtown_clutter_cn_geo.glb",,1,"sc3d/default_fragile_geo.glb","bone_pile",1,"sc3d/oldtown_fragile_cn_geo.glb","traffic_cone",1,"sc3d/oldtown_water_geo.glb","sc3d/oldtown_fence_geo.glb","sc3d/oldtown_rope_geo.glb",,"sc3d/oldtown_fence_geo.glb","sc3d/default_indestructible_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_gem_spawn_geo.glb",,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",21,33
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_themed_geo.glb","potted_plant_1b",1,,"sc3d/oldtown_clutter_geo.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_clutter_geo.glb","bone_skull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
