"Name","Disabled","TID","LocationTheme","SupportingCampaignGround","BannerOverrideSWF","BannerOverrideExportName","GameModeVariation","Map","CommunityCredit","TrainingGroundsEnabled","RecommendedBrawler0","RecommendedBrawler1","RecommendedBrawler2","RecommendedBrawler3","RecommendedBrawler4","RecommendedBrawler5","RecommendedBrawler6","RecommendedBrawler7","RecommendedBrawler8","RecommendedBrawler9"
"string","boolean","string","string","boolean","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string"
"Wanted1","true","TID_WANTED_1","Default",,,,"Bounty","Wanted_1",,"true",,,,,,,,,,
"Wanted3","true","TID_WANTED_3","Default",,,,"Bounty","Wanted_3",,,,,,,,,,,,
"Wanted4","true","TID_WANTED_4","Default",,,,"Bounty","Gemgrab_3",,,,,,,,,,,,
"Wanted5","true","TID_WANTED_5","Default",,,,"Bounty","Gemgrab_2",,,,,,,,,,,,
"Wanted6","true","TID_WANTED_6","Default",,,,"Bounty","Wanted_6",,,,,,,,,,,,
"Wanted7",,"TID_WANTED_7","KatanaKingdom",,,,"Bounty","Wanted_7",,"true",,,,,,,,,,
"Wanted2","true","TID_WANTED_2","Default",,,,"Bounty","Wanted_2",,,,,,,,,,,,
"Gemgrab1",,"TID_GOLDRUSH_1","Mine",,,,"GemGrab","Gemgrab_1",,"true",,,,,,,,,,
"Gemgrab2",,"TID_GOLDRUSH_2","Hub",,,,"GemGrab","Gemgrab_2",,"true",,,,,,,,,,
"Gemgrab3",,"TID_WANTED_4","KatanaKingdom",,,,"GemGrab","Gemgrab_3",,,,,,,,,,,,
"Gemgrab4",,"TID_WANTED_3B","KatanaKingdom",,,,"GemGrab","Wanted_3",,"true",,,,,,,,,,
"Gemgrab5",,"TID_GOLDRUSH_5","Mine",,,,"GemGrab","Gemgrab_5",,"true",,,,,,,,,,
"Gemgrab6","true","TID_GOLDRUSH_6","Default",,,,"GemGrab","Gemgrab_4",,"true",,,,,,,,,,
"Survival1","true","TID_BATTLE_ROYALE_1","ArcadeShowdown",,,,"Showdown","Survival_1",,"true",,,,,,,,,,
"Survival2","true","TID_BATTLE_ROYALE_2","MortuaryShowdownHW",,,,"Showdown","Survival_2","OwenReds","true",,,,,,,,,,
"Survival3","true","TID_BATTLE_ROYALE_3","DefaultShowdown",,,,"Showdown","Survival_3",,,,,,,,,,,,
"Survival4","true","TID_BATTLE_ROYALE_4","ArcadeShowdown",,,,"Showdown","Survival_4",,"true",,,,,,,,,,
"Heist1","true","TID_BANKHEIST_1","Default",,,,"Heist","Bankheist_1",,,,,,,,,,,,
"Heist2",,"TID_BANKHEIST_2","KatanaKingdom",,,,"Heist","Bankheist_2",,"true",,,,,,,,,,
"Heist3",,"TID_BANKHEIST_3","KatanaKingdom",,,,"Heist","Bankheist_3",,"true",,,,,,,,,,
"Tutorial","true",,"OldTownTutorial",,,,"Tutorial","Tutorial",,"false",,,,,,,,,,
"BossFight1","true","TID_BOSS_4","Default",,,,"BigGame","BossFight_1",,"false",,,,,,,,,,
"Wanted8",,"TID_WANTED_8","Hub",,,,"Bounty","Wanted_8",,"true",,,,,,,,,,
"Heist4","true","TID_BANKHEIST_4","Default",,,,"Heist","Bankheist_4",,,,,,,,,,,,
"Ball1",,"TID_BALL_1","Grassfield",,,,"BrawlBall","Laserball_1",,"true",,,,,,,,,,
"Ball2",,"TID_BALL_2","Grassfield",,,,"BrawlBall","Laserball_2",,,,,,,,,,,,
"Ball3",,"TID_BALL_3","Grassfield",,,,"BrawlBall","Laserball_3",,"true",,,,,,,,,,
"Coop1","true","TID_COOP_1","Default",,,,"RoboRumble","Coop_1",,,,,,,,,,,,
"SurvivalTeam7","true","TID_BATTLE_ROYALE_7","DefaultShowdown",,,,"DuoShowdown","Survival_7",,"true",,,,,,,,,,
"Coop2","true","TID_COOP_2","Default",,,,"RoboRumble","Coop_2",,,,,,,,,,,,
"BossFight2","true","TID_BOSS_3","Default",,,,"BigGame","BossFight_2",,"false",,,,,,,,,,
"Gemgrab8","true","TID_GOLDRUSH_8","Default",,,,"GemGrab","Gemgrab_8",,,,,,,,,,,,
"Survival5","true","TID_BATTLE_ROYALE_5","ArcadeShowdown",,,,"Showdown","Survival_5","Mordeus","true",,,,,,,,,,
"Survival6","true","TID_BATTLE_ROYALE_6","DefaultShowdown",,,,"Showdown","Survival_6",,"true",,,,,,,,,,
"SurvivalTeam1","true","TID_BATTLE_ROYALE_1","ArcadeShowdown",,,,"DuoShowdown","Survival_1",,"true",,,,,,,,,,
"SurvivalTeam2","true","TID_BATTLE_ROYALE_2","DefaultShowdown",,,,"DuoShowdown","Survival_2","OwenReds","true",,,,,,,,,,
"SurvivalTeam3","true","TID_BATTLE_ROYALE_3","DefaultShowdown",,,,"DuoShowdown","Survival_3",,,,,,,,,,,,
"SurvivalTeam4","true","TID_BATTLE_ROYALE_4","ArcadeShowdown",,,,"DuoShowdown","Survival_4",,"true",,,,,,,,,,
"SurvivalTeam5","true","TID_BATTLE_ROYALE_5","ArcadeShowdown",,,,"DuoShowdown","Survival_5","Mordeus","true",,,,,,,,,,
