"Name","Disabled","Type","IntParam","GameplayGoal","TimesPerMatch","TicksCooldown","Tracker","TrackerIntParam","TrackerValue","RewardPoints","RewardType","Reward","FallbackCoins","TitleTID","DescriptionTID","TargetHero","TargetGameModes","PreviousTier","GameModeIcon","SortingOrder","Groupings","NoModifierOnly","IconAsset","IconScalePercent"
"string","boolean","string","int","int","int","int","string","int","int","int","string","string","int","string","string","string","string","string","string","int","string","boolean","string","int"
"ArcadeWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","Arcade",,,,1,,,,
"ArcadeWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"Arcade",,"ArcadeWins1",,,,,,
"ArcadeWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_8bit_facepalm",,"TID_ACH_WINS_3_TITLE",,"Arcade",,"ArcadeWins2",,,,,,
"ArcadeWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_8bit1",,"TID_ACH_WINS_4_TITLE",,"Arcade",,"ArcadeWins3",,,,,,
"ArcadeWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMastery8bit",,"TID_ACH_WINS_5_TITLE",,"Arcade",,"ArcadeWins4",,,,,,
"StalkerWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","Stalker",,,,2,,,,80
"StalkerWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"Stalker",,"StalkerWins1",,,,,,80
"StalkerWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_alli_facepalm",,"TID_ACH_WINS_3_TITLE",,"Stalker",,"StalkerWins2",,,,,,80
"StalkerWins4",,,,,,,"hero_wins",,200,250,"ICON","player_icon_alli1",,"TID_ACH_WINS_4_TITLE",,"Stalker",,"StalkerWins3",,,,,,80
"StalkerWins5",,,,,,,"hero_wins",,300,500,"TITLE","TitleMasteryAlli",,"TID_ACH_WINS_5_TITLE",,"Stalker",,"StalkerWins4",,,,,,80
"AlliTakedownBrawlersWithSuperShowdown",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE_SHOWDOWN","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","Showdown",,"Showdown",2,"AlliTakedownBrawlersWithSuperShowdown","TRUE",,80
"AlliTakedownBrawlersWithSuperDuoShowdown",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE_SHOWDOWN","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","DuoShowdown",,"DuoShowdown",2,"AlliTakedownBrawlersWithSuperShowdown","TRUE",,80
"AlliTakedownBrawlersWithSuperTrioShowdown",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE_SHOWDOWN","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","TrioShowdown",,"TrioShowdown",2,"AlliTakedownBrawlersWithSuperShowdown","TRUE",,80
"AlliTakedownBrawlersWithSuperKnockout",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","Knockout",,"Knockout",2,"AlliTakedownBrawlersWithSuper","TRUE",,80
"AlliTakedownBrawlersWithSuperGemGrab",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","GemGrab",,"GemGrab",2,"AlliTakedownBrawlersWithSuper","TRUE",,80
"AlliTakedownBrawlersWithSuperBounty",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","Bounty",,"Bounty",2,"AlliTakedownBrawlersWithSuper","TRUE",,80
"AlliTakedownBrawlersWithSuperHeist",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","Heist",,"Heist",2,"AlliTakedownBrawlersWithSuper","TRUE",,80
"AlliTakedownBrawlersWithSuperBrawlBall",,"AlliKillEnemiesSingleUlti",,3,1,100,"gameplay",,1,100,,,,"TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_TITLE","TID_ACH_ALLI_TAKEDOWN_BRAWLERS_WITH_SUPER_DESC","Stalker","BrawlBall",,"BrawlBall",2,"AlliTakedownBrawlersWithSuper","TRUE",,80
"FireDudeWins1",,,,,,,"hero_wins",,20,20,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_1_TITLE","TID_ACH_WINS_DESC","FireDude",,,,3,,,,
"FireDudeWins2",,,,,,,"hero_wins",,50,50,"RANDOM_STARR_DROP",1,,"TID_ACH_WINS_2_TITLE",,"FireDude",,"FireDudeWins1",,,,,,
"FireDudeWins3",,,,,,,"hero_wins",,100,100,"EMOTE","emoji_amber_facepalm",,"TID_ACH_WINS_3_TITLE",,"FireDude",,"FireDudeWins2",,,,,,
