"Name","TileCode","DynamicCode","BlocksMovement","BlocksProjectiles","IsDestructible","IsDestructibleNormalWeapon","IsDestructibleOvertime","IsBouncer","IsForest","Damage","Health","HealthStates","HealthChangeEffect","SpeedChange","RestoreAfterDynamicOverlap","RespawnSeconds","CollisionMargin","BaseExportName","BaseExplosionEffect","BaseHitEffect","BaseWindEffect","SortOffset","HasHitAnim","HasWindAnim","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Lifetime","CustomSCW","CustomMesh","CustomAngleStep","MapEditorVisible","MapEditorVisualMode","MapEditorConnected","SpawnEffect"
"string","string","int","boolean","boolean","boolean","boolean","boolean","boolean","boolean","int","int","int","string","int","boolean","int","int","string","string","string","string","int","boolean","boolean","int","int","int","int","int","int","string","string","int","boolean","int","boolean","string"
"Open",".",,,,,,,,,,,,,,,,,,,,,,,,100,60,-10,60,25,,,,,"true",1,,
"Wall1","M",,"true","true","true",,"true",,,,,,,,,,,"wall1","wall1_explo","wall1_hit",,,"true",,100,60,-10,60,25,,,,,"true",1,,
"Wall2","X",,"true","true","true",,"true",,,,,,,,,,,"wall2","wall2_explo","wall2_hit",,-1,"true",,100,60,-10,60,25,,,,,"true",1,,
"Crate","Y",,"true","true","true",,"true",,,,,,,,,,,"crate","crate_explo","crate_hit",,,"true",,100,60,-10,60,25,,,,,"true",1,,
"Barrel","C",,"true","true","true",,"true",,,,,,,,,,,"barrel","barrel_explo","barrel_hit",,,"true",,100,60,-10,60,25,,,,,"true",1,,
"DecoDestructible","D",,,,,"true","true",,,,,,,,,,,"clutter",,,,,"true",,100,60,-10,60,25,,,,,"true",1,,
"Indestructible","I",,"true","true",,,"true",,,,,,,,,,,"indestructible","indestructible_explo","indestructable_hit",,1,"true",,100,60,-10,60,25,,,,,,1,,
"Forest","F",,,,"true",,"true",,"true",,,,,,,,,"grass","grass_explo_yellow","grass_hit_yellow",,-1,"true","true",100,60,-10,60,25,,,,,"true",1,,
"RespawningForest","R",,,,"true",,"true",,"true",,,,,,,,,"grass","grass_explo","grass_hit",,-1,"true","true",100,60,-10,60,25,,,,,,1,,
"Water","W",,"true",,,,,,,,,,,,,,,"water_tile",,,,,,,100,60,-10,60,25,,,,,"true",4,"true",
"Themed","T",,"true","true","true",,"true",,,,,,,,,,,"themed","themed_explo","themed_hit",,-1,"true",,100,60,-10,60,25,,,,,"true",1,,
"InvisibleWater","V",,"true",,,,,,,,,,,,,,,,,,,,,,100,60,-10,60,25,,,,,,1,,
"Fragile","B",,"true","true","true","true","true",,,,,,,,,,,"fragile","fragile_explo",,,,"true",,100,60,-10,60,25,,,,,"true",1,,
"Fence","N",,"true","true","true",,"true",,,,,,,,,,,"fence_tile","fence_explo","fence_hit",,,,,100,60,-10,30,25,,,,,"true",1,"true",
"InvisibleIndestructible","J",,"true","true",,,,,,,,,,,,,,,,,,,,,100,60,-10,60,25,,,,,,1,,
"WallyWall","-",1,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_def_wall_explo","sprout_def_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall.scw","wally_wall",90,,1,,
"WallyFillerWall","-",2,"true","true","true",,"true",,,,,,,,,,,"custom","sprout_def_wall_explo","sprout_def_wall_hit",,,"true",,100,60,-10,60,25,200,"sc3d/wally_wall.scw","wally_wall_filler",90,,1,,
