"Name","Target","MetaType","ServerOnly","Type","Value","Projectile","AreaEffect","Character","Skill","StatusEffect","SecondProjectile","SecondAreaEffect"
"string","string","int","boolean","string","int","string","string","string","string","string","string","string"
"elPrimo1","Luchador",7,,"IncreaseMaxHp",10,,,,,,,
"elPrimo2","Luchador",7,,"OverrideChargeSpeed",2600,,,,,,,
"elPrimo3","Luchador",7,,"OverrideUltiCharge",150,,,,,,,
"Bea1","BeeSniper",7,,"TriggerProjectileOnHittingEnemy",500,"BeeSniperCirclingProjectile",,,,,,
"Lola1","Duplicator",7,,"OverrideMaxSpawns",2,,,,,,,
"Lola2","Duplicator",7,,"OverrideNumSpawns",2,,,,,,,
"Lola3","Duplicator",7,,"OverrideUltiCharge",115,,,,,,,
"Lola4","Duplicator",7,,"OverrideSpawnCharacterRandomDist",350,,,,,,,
"Angelo1","InsectMan",7,,"OverrideSpreadBasicAttack",80,,,,,,,
"Angelo2","InsectMan",7,,"OverrideNumBulletsInBasicAttack",3,,,,,,,
"Nita1","Shaman",7,,"OverrideMaxSpawns",2,,,,,,,
"Nita2","Shaman",7,,"OverrideNumSpawns",2,,,,,,,
"Nita3","Shaman",7,,"OverrideSpawnCharacterRandomDist",300,,,,,,,
"Penny1","ArtilleryDude",7,,"OverrideMaxSpawns",2,,,,,,,
"Penny2","ArtilleryDude",7,,"OverrideNumSpawns",2,,,,,,,
"Griff1","AssaultShotgun",7,,"OverrideSpreadUlti",300,,,,,,,
"Griff2","AssaultShotgun",7,,"OverrideNumBulletsInUlti",10,,,,,,,
"Max1","Speedy",7,,"OverrideBasicAttackRechargeTime",100,,,,,,,
"Tick1","ClusterBombDude",7,,"OverrideMaxSpawns",3,,,,,,,
"Tick2","ClusterBombDude",7,,"OverrideNumSpawns",3,,,,,,,
"Frank1","HammerDude",7,,"IncreaseMaxHp",10,,,,,,,
"Frank2","HammerDude",7,,"IncreaseSpeedPercent",20,,,,,,,
"Frank3","HammerDude",7,,"OverridePierceEnvironment",1,,,,,,,
"Spike1","Cactus",7,,"OverrideNumBulletsInBasicAttackBulletExplosion",8,,,,,,,
"Spike2","Cactus",7,,"OverrideBulletExplosionCurvature",180,,,,,,,
"Spike3","Cactus",7,,"OverrideBulletExplosionCurvatureAddedDistance",1000,,,,,,,
"Gale1","Blower",7,,"OverrideNumBulletsInUlti",12,,,,,,,
"Shelly1","ShotgunGirl",7,,"OverrideRapidFireAttackPatternUlti",19,,,,,,,
"Shelly2","ShotgunGirl",7,,"OverrideNumBulletsInUlti",30,,,,,,,
"Shelly3","ShotgunGirl",7,,"OverrideSpreadUlti",200,,,,,,,
"Crow1","Crow",7,,"OverridePiercesCharacters",1,,,,,,,
"Crow2","Crow",7,,"OverrideBasicAttackIsBoomerang",1,,,,,,,
"Bo1","BowDude",7,,"OverrideUltiCharge",125,,,,,,,
"Bo2","BowDude",7,,"OverrideNumMaxItems",99,,,,,,,
"Carl1","Whirlwind",7,,"OverrideSpeedProjectile",3500,,,,,,,
"Melodie1","AxeJuggler",7,,"OverrideBasicAttackSteerLifeTime",300,,,,,,,
"Melodie2","AxeJuggler",7,,"OverrideChainBulletsMaxProjectile",5,,,,,,,
"Poco1","DeadMariachi",7,,"TriggerAreaEffectWhenReceivingDmg",,,"PocoMutantRegenArea",,,,,
"Brock1","RocketGirl",7,,"OverrideSpawnAreaEffect2BasicAttack",,,"MorningstarUltiArea3SP",,,,,
"Brock2","RocketGirl",7,,"OverrideAreaEffect2DamagePercent",150,,,,,,,
"Meg1","MechaDude",7,,"OverrideBasicAttackCastingRange",32,,,,,,,
"Meg1_Transform","MechaDudeBig",7,,"OverrideBasicAttackCastingRange",32,,,,,,,
"Meg2_Transform","MechaDudeBig",7,,"OverrideSpreadBasicAttack",50,,,,,,,
"Colt1","Gunslinger",7,,"OverridePierceEnvironment",1,,,,,,,
"Colt2","Gunslinger",7,,"OverrideBasicAttackCastingRange",35,,,,,,,
"Sprout1","Wally",7,,"OverrideMaxDistanceAddBounces",4,,,,,,,
"Sprout2","Wally",7,,"OverrideDistanceAddFromBounce",1500,,,,,,,
"Sprout3","Wally",7,,"ChainProjectileTriggersSpawnAreaEffect",,,,,,,,
"Sprout4","Wally",7,,"ProjectileBounceTriggersSpawnAreaEffect",,,,,,,,
"Ruffs1","Ruffs",7,,"OverrideMaxDistanceAddBounces",6,,,,,,,
"Ruffs2","Ruffs",7,,"OverrideDistanceAddFromBounce",2300,,,,,,,
"Ruffs3","Ruffs",7,,"OverrideNumBulletsInBasicAttack",3,,,,,,,
"Gray1","DoorMan",7,,"SpawnAreaEffectWhenGoingThrowPortal",,,"GrayMutationArea",,,,,
"Gray2","DoorMan",7,,"OverrideUltiCharge",130,,,,,,,
"Squeak1","StickyBomb",7,,"OverrideUltiCharge",110,,,,,,,
"Mandy1","Beamer",7,,"OverrideNumBulletsInUlti",3,,,,,,,
"Mandy2","Beamer",7,,"OverrideSpreadUlti",200,,,,,,,
"Hank1","FishTank",7,,"TriggerAreaEffectWhenReceivingDmg",,,"FishTankUltiArea",,,,,
"Rosa1","Rosa",7,,"TriggerAreaEffectOnBasicAttack",,,"MutantBushGrowArea",,,,,
"Rosa2","Rosa",7,,"ApplyStatusEffectToEnemiesAllTime",,,,,,"MutantRosaForceShow",,
"Rico1","TrickshotDude",7,,"OverrideMaxDistanceAddBounces",5,,,,,,,
"Rico2","TrickshotDude",7,,"OverrideDistanceAddFromBounce",2000,,,,,,,
"Pam1","MinigunDude",7,,"OverrideSummonedCharacter",,,,"OverchargedHealingStation",,,,
"Eve1","Flea",7,,"SpawnCharacterOnHit",1,,,"FleaPet",,,,
"Belle1","ElectroSniper",7,,"OverrideChainTravelDistance",12,,,,,,,
"Belle2","ElectroSniper",7,,"OverrideNumsChainsForward",5,,,,,,,
"Belle3","ElectroSniper",7,,"OverrideChainProjectile",,"ElectroSniperMutantProjectile",,,,,,
"Belle4","ElectroSniper",7,,"OverrideChainProjectileTravelType",13,,,,,,,
"Ash1","Knight",7,,"OverrideMaxSpawns",20,,,,,,,
"Ash2","Knight",7,,"OverrideNumSpawns",2,,,,,,,
"ASh3","Knight",7,,"OverrideUltiCharge",150,,,,,,,
"Piper1","Sniper",7,,"OverrideMsBetweenBasicAttacks",200,,,,,,,
"Piper2","Sniper",7,,"OverrideActiveTimeBasicAttack",400,,,,,,,
"Janet1","JetpackGirl",7,,"OverrideMsBetweenAttackUlti",460,,,,,,,
"Janet2","JetpackGirl",7,,"OverrideUltiCharge",85,,,,,,,
"Buzz1","RopeDude",7,,"OverrideUltiCastingRange",60,,,,,,,
"Buzz2","RopeDude",7,,"IncreaseMaxHp",20,,,,,,,
"Buzz3","RopeDude",7,,"OverrideUltiCharge",120,,,,,,,
"Grom1","CrossBomber",7,,"OverrideUltiCharge",80,,,,,,,
"Grom2","CrossBomber",7,,"OverrideNumBulletsInUltiExplosionUlti",8,,,,,,,
"Bonnie1","CannonGirl",7,,"OverrideNumBulletsInBasicAttack",3,,,,,,,
"Bonnie2","CannonGirl",7,,"OverrideSpreadBasicAttack",150,,,,,,,
"Bonnie3","CannonGirlSmall",7,,"TriggerStunWithCharge",10,,,,,,,
"Carl2","Whirlwind",7,,"IncreaseSpeedWhileSkillActive",1000,,,,"WhirlwindUlti",,,
"Emz1","Mummy",7,,"OverridePushBack",50,,,,,,,
