"TID","NL"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Opdrachten voltooid: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Opdrachten gevorderd: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","UPDATEBERICHT"
"TID_TICKET_COMPENSATION_INFO","Hier heb je wat edelstenen in ruil voor je tickets! We hebben tickets verwijderd uit het spel, dus ze hebben geen nut meer."
"TID_TICKET_COMPENSATION_CLAIM","OPHALEN"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","RESTERENDE DOZEN OPENEN"
"TID_BRAWL_PASS_QUESTS_LABEL","OPDRACHTEN"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Behaal <TROPHIES> trofeeën om opdrachten te ontgrendelen!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Je kunt nu opdrachten ontgrendelen via het trofeeënpad!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Ga naar het trofeeënpad om opdrachten te ontgrendelen."
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","Ontgrendel opdrachten via het trofeeënpad!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Haal trofeeënpadbeloningen op om opdrachten te ontgrendelen!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","DREMPEL KOPEN"
"TID_QUESTS_TITLE","OPDRACHTEN"
"TID_QUEST_DESC_1","WIN <AMOUNT> GEVECHTEN"
"TID_QUEST_DESC_2","VERSLA <AMOUNT> VIJANDEN"
"TID_QUEST_DESC_3","RICHT <AMOUNT> SCHADE AAN"
"TID_QUEST_DESC_4","HERSTEL <AMOUNT> LEVENSPUNTEN"
"TID_QUEST_DESC_5","MAAK <NUM> KEER GEBRUIK VAN 'OPNIEUW SPELEN'"
"TID_QUEST_DESC_6","SPEEL <NUM> GEVECHTEN IN EEN TEAM"
"TID_QUEST_DESC_7_MODE_0","HOUD <LIMIT> OF MEER EDELSTENEN VAST VOOR <AMOUNT> SECONDEN"
"TID_QUEST_DESC_7_MODE_2","BRENG <AMOUNT> SCHADE TOE AAN KLUIZEN"
"TID_QUEST_DESC_7_MODE_3","VOLTOOI <AMOUNT> WEDSTRIJDEN MET <LIMIT> OF MEER STERREN"
"TID_QUEST_DESC_7_MODE_5","PASS DE BAL <AMOUNT> KEER"
"TID_QUEST_DESC_7_MODE_6","VERZAMEL <AMOUNT> KRACHTKUBUSSEN"
"TID_QUEST_DESC_7_MODE_9","VERZAMEL <AMOUNT> KRACHTKUBUSSEN TERWIJL BEIDE SPELERS ACTIEF ZIJN"
"TID_QUEST_DESC_7_MODE_17","VEROVER ZONES GEDURENDE <AMOUNT> SECONDEN"
"TID_QUEST_DESC_7_MODE_20","BLIJF ONVERSLAGEN GEDURENDE <AMOUNT> RONDES"
"TID_QUEST_DESC_7_MODE_34","VLUCHT MET <AMOUNT> TROFEEËN"
"TID_QUEST_DESC_10","SPEEL <NUM> GEVECHTEN MET EEN CLUBGENOOT"
"TID_QUEST_DESC_11","SPEEL <AMOUNT> GEVECHTEN"
"TID_QUEST_DESC_1_LEVELED","VOLTOOI EEN LEVEL"
"TID_QUEST_DESC_1_BIG_GAME","WIN <AMOUNT> GEVECHTEN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","WIN <AMOUNT> GEVECHT"
"TID_QUEST_HERO_CONDITION","\nMET <HERO>"
"TID_QUEST_HERO_CONDITION_2","\nMET <HERO_1> OF <HERO_2>"
"TID_QUEST_HERO_CONDITION_3","\nMET <HERO_1>, <HERO_2> OF <HERO_3>"
"TID_QUEST_MODE_CONDITION","\nIN <MODE>"
"TID_QUEST_MODE_CONDITION_2","\nIN <MODE_1> OF <MODE_2>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nMET EEN TEAMGENOOT"
"TID_QUEST_NEW","NIEUW"
"TID_QUEST_PREMIUM","EXCLUSIEF MET BRAWL PASS"
"TID_RANK_POPUP_QUESTS","OPDRACHTEN"
