"Name","FrameLabel","Skins","TID"
"String","String","String","String"
"LNYSeason","seasonal","BarkeepDrunken","TID_AVAILABILITY_LNY_SEASONAL"
,,"EnragerSnake",
,,"LuchadorTiger",
,,"AssaultShotgunArcade",
,,"FleaBiker",
,,"Leaperwukong",
,,"KickerDudeFuriousChroma",
,,"ArcadeVirusChroma",
,,"GunslingerRoyalAgent",
"StarrForce",,"BullDudeOx","TID_AVAILABILITY_STARRFORCE_SEASONAL"
,,"CactusLord",
,,"PercenterCrew",
,,"DoorManStarrForce",
,,"PainterStarrForce",
,,"ShamanStarrForce",
,,"FleaStarrForce",
"Pirates","seasonal","HookPirate","TID_AVAILABILITY_PIRATES_SEASONAL"
,,"WhirlwindPirate",
,,"GunslingerPirate",
,,"PocoPirate",
,,"WhirlwindDarkTide",
,,"ReviverPirate",
,,"BarkeepPirate",
,,"RuffsPirate",
"HalloweenSeasonal","seasonal","HookDudeSwamp","TID_AVAILABILITY_HALLOWEN_SEASONAL"
,,"StickyBombGhost",
,,"SpawnerDudeDracula",
,,"RosaRosaBrawloween",
,,"RollerHeadless",
,,"NinjaGhost",
,,"CrossBomberFranken",
,,"RocketGirlGhost",
,,"ShotgunGirlBrawloween",
,,"NinjaBrawloween",
,,"SoulCollectorZombie",
,,"MinigunDudeZombie",
,,"TntDudeZombie",
"XmasSeasonal","seasonal","ClusterBombDudeSnowman","TID_AVAILABILITY_XMAS_SEASONAL"
,,"HammerDudeXmas",
,,"DrillerGift",
,,"BowDudeSanta",
,,"CactusLog",
,,"AssaultShotgunSled",
,,"RollerChristmas",
,,"CannonGirlChristmas",
,,"JetpackGirlChristmas",
,,"ShamanChristmas",
,,"TntDudeChristmas",
"Godzilla","time_limited","ShamanGodzilla","TID_AVAILABILITY_GODZILLA_TIME_LIMITED"
,,"RopeDudeGodzilla",
,,"ClusterBombDudeGodzilla",
,,"RopeDudeGodzillaRed",
,,"RopeDudeGodzillaBlack",
"BabyShark","time_limited","LuchadorBabyShark","TID_AVAILABILITY_BABYSHARK_TIME_LIMITED"
"SpongeBob","time_limited","RopeDudeSB","TID_AVAILABILITY_SPONGEBOB_TIME_LIMITED"
,,"BarrelBotSB",
,,"MechanicSB",
,,"ClusterBombDudeSB",
,,"LuchadorSB",
,,"UndertakerSB",
"AngelsDemons","seasonal","EnragerAngel","TID_AVAILABILITY_ANGELSDEMONS_TIME_LIMITED"
,,"EnragerAngelChroma1",
,,"EnragerAngelChroma2",
,,"UndertakerDemon",
,,"UndertakerDemonChroma1",
,,"UndertakerDemonChroma2",
"ToyStory","time_limited","PowerLevelerBuzz","TID_AVAILABILITY_TOYSTORY_TIME_LIMITED"
,,"MechanicJessie",
,,"GunSlingerWoody",
,,"BaseballBopeep",
"Wasabi","seasonal","KnightJapan","TID_AVAILABILITY_WASABI_TIME_LIMITED_SHOP"
,,"InsectManJapan",
,,"WallyJapan",
,,"DoorManJapan",
,,"BlackHoleJapan",
"WasabiMilestones","seasonal","SamuraiJapan","TID_AVAILABILITY_WASABI_TIME_LIMITED_MILESTONES"
,,"SamuraiJapanOvercharge",
"Uno","time_limited","JesterUno","TID_AVAILABILITY_UNO_TIME_LIMITED"
"AngelsDemons2","seasonal","ShieldTankAngel","TID_AVAILABILITY_ANGELSDEMONSv2_TIME_LIMITED"
,,"ArcadeAngel",
,,"MechaDudeAngel",
,,"KickerDudeDemon",
,,"BullDudeDemon",
,,"SoulCollectorDemon",
"StreetWearTL","time_limited","PocoSurferOvercharge","TID_AVAILABILITY_STREETWEAR_TL"
,,"PocoSurferOverchargeChromaBlue",
,,"PocoSurferOverchargeChromaYellow",
"SubwayTL","time_limited","SkaterSurfer","TID_AVAILABILITY_SUBWAYSURFERS_TL_2027"
,,"JetpackGirlSurfer",
,,"SnakeOilSurfer",
"Halloween2025","seasonal","TrickshotBrawloween","TID_AVAILABILITY_HALLOWEN_SEASONAL"
,,"BeeSniperBrawloween",
,,"SplitterBrawloween",
,,"RuffsBrawloween",
,,"ClusterBombBrawloween",
,,"CrowBrawloweenWhite",
,,"CrowBrawloweenRed",
,,"CrowBrawloween",
"StrangerThings","time_limited","DragonRiderStrange","TID_AVAILABILITY_STRANGER_THINGS_TL_2027"
,,"SoulCollectorStrange",
,,"PainterStrange",
,,"BullGuyStrange",
,,"ShamanStrangeOvercharge",
,,"ShamanStrangeOverchargeChroma1",
,,"ShamanStrangeOverchargeChroma2",
,,"MorningstarStrange",
,,"MorningstarStrangeChromaPink",
,,"MorningstarStrangeChromaRed",
"MechaTL","time_limited","SniperMechaOvercharge","TID_AVAILABILITY_MECHA_TL"
,,"SniperMechaOverchargeRed",
,,"SniperMechaOverchargePink",
