"Name","Colors","Speed","Scale"
"String","String","int","int"
"FreeOffer","0xFF9FFF72",40,100
,"0xFF68E524",,
,"0xFF68E524",,
,"0xFF9FFF72",,
,"0xFFE0FFA0",,
"Golden","0xFFFFFABC",50,100
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"Purple","0xFFFABCFF",50,100
,"0xFFD12EFF",,
,"0xFF9928F2",,
,"0xFFD12EFF",,
"DoubleTokenGold","0xFFFFDAAC",50,70
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"DefaultName","0xFFFFFFFF",50,70
,"0xFFFFFFFF",,
"Name1","0xFF45ffb1",50,100
,"0xFF2eef60",,
,"0xFF00c74b",,
,"0xFF2eef60",,
"Name2","0xFFfff5d6",50,100
,"0xFFFFDBA7",,
,"0xFFffb777",,
,"0xFFFFDBA7",,
"Name3","0xFFffffce",50,100
,"0xFFfff76c",,
,"0xFFffe034",,
,"0xFFfff76c",,
"Name4","0xFFFDF542",50,100
,"0xFFfdd000",,
,"0xFFFF9005",,
,"0xFFfdd000",,
"Name5","0xFFffd49d",50,100
,"0xFFFFAA82",,
,"0xFFff7b4f",,
,"0xFFFFAA82",,
"Name6","0xFFffae1f",50,100
,"0xFFff7b06",,
,"0xFFff382e",,
,"0xFFff7b06",,
"Name7","0xFFff9368",50,100
,"0xFFFF6178",,
,"0xFFf51a73",,
,"0xFFFF6178",,
"Name8","0xFFffc92f",30,100
,"0xFFff9c4c",,
,"0xFFff6856",,
,"0xFFf931a3",,
,"0xFFe300b9",,
,"0xFFf931a3",,
,"0xFFff6856",,
,"0xFFff9c4c",,
"Name9","0xFF20fbff",50,100
,"0xFF00d0fa",,
,"0xFF359eff",,
,"0xFF00d0fa",,
"Name10","0xFFFF6DEA",50,100
,"0xFFFA00D6",,
,"0xFFCA00F4",,
,"0xFFFA00D6",,
"Name11","0xFFdffd67",50,100
,"0xFF7efc7d",,
,"0xFF13cf00",,
,"0xFF7efc7d",,
"ComingSoon","0xFFFFFABC",10,100
,"0xFFFFD12E",,
,"0xFFF8A535",,
,"0xFFFFD12E",,
"LeagueBonusDay","0xFFFFDAAC",50,70
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"PlayerTitleGold","0xFFFFDAAC",50,70
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"MaxLevelGold","0xFFFFFABC",50,100
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"ClubPiggyGold","0xFFFFFABC",50,100
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"Plus","0xFFF9E6FF",50,100
,"0XFFE2A3FF",,
,"0xFFFFFE98",,
,"0xFFC2F3F2",,
"Angels","0xFFFFC901",50,100
,"0xFFFFFCE3",,
,"0xFFFFC901",,
,"0xFFFFFCE3",,
"Demons","0xFFFC1D30",50,100
,"0xFFEFC609",,
"ArcadeWinBonus","0xFFFF3311",150,100
,"0xFF55FF00",,
,"0xFF0055FF",,
"WasabiHot","0xFF000000",150,100
,"0xFF267100",,
"WasabiExtraHot","0xFFFC1D30",150,100
,"0xFFEFC609",,
"WasabiCrazyHot","0xFFFC1D30",150,100
,"0xFFEFC609",,
"WasabiInferno","0xFFFF3311",150,100
,"0xFF55FF00",,
,"0xFF0055FF",,
"UltraLegendary","0xFF9dffd5",150,100
,"0xFFe1fb2a",,
,"0xFFff744d",,
,"0xFF740dd0",,
"KatanaWinBonus","0xFFffd49d",50,100
,"0xFFFFAA82",,
,"0xFFff7b4f",,
"SubwaySurfersRainbow","0xfffeff27",50,100
,"0Xffff76d5",,
,"0xff01ffff",,
"EarlyAccessGold","0xFFFFFABC",50,100
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"DailyWins","0xFFFFFABC",50,100
,"0xFFFFD12E",,
,"0xFFF29928",,
,"0xFFFFD12E",,
"MegaQuestReward","0xfffeff27",50,100
,"0Xffff76d5",,
,"0xff01ffff",,
