"Name","ParentAreaEffectForSkin","Disabled","FileName","OwnExportName","BlueExportName","RedExportName","NeutralExportName","Layer","ExportNameTop","ExportNameTopRed","ExportNameObject","Effect","LoopingEffect","ScaleLoopingEffect","HitEffect","AllowEffectInterrupt","PlaybackType","RotationType","Scale","TimeMs","MinTimeMs","Radius","Damage","DontOverrideDmg","DamageScaleType","CustomValue","CustomValue2","Type","StatusEffectSelf","StatusEffectAlly","StatusEffectEnemy","StatusEffectTickInterval","DelayFirstTick","IsPersonal","TargetEnemiesOnly","BulletExplosionBullet","BulletExplosionBulletDistance","BulletExplosionBulletOffset","BulletExplosionItem","ExpandOnDistance","BulletAngleOffset","BulletApplyAngle","DestroysEnvironment","DestroysDecorations","DestroysOnlyBushes","PushbackStrength","PushbackStrengthSelf","PushbackDeadzone","CanStopGrapple","StunTicks","SlowStrength","FreezeTicks","IgnoreFadeout","ShouldShowEvenIfOutsideScreen","SameAreaEffectCanNotDamageMs","RelatedImmunityAreas","DontShowToEnemy","RequireLineOfSight","ChainAreaEffect","ChainAreaEffect2","ChainAreaEffect3","OverchargedChainAreaEffect","OverchargedChainAreaEffect2","OverchargedChainAreaEffect3","SkinnedCustomValue","SpawnItem","SnapToTile","DamageScaleDistanceNear","DamageScaleDistanceFar","SourceType","OverHealTicks","StackOverHeal","MaxOverHeal","OverHealMultiplier","AffectOnlyHeroes","AffectProjectiles","IgnoreCharacters","InnerRadius","InnerRadiusDamagePercent","ExpireTypes","CurveBall","CurveBallAddDistance"
"string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","int","string","boolean","int","int","int","int","int","int","int","boolean","int","int","int","string","string","string","string","int","boolean","boolean","boolean","string","int","int","string","int","int","boolean","boolean","boolean","boolean","int","int","int","boolean","int","int","int","boolean","boolean","int","string","boolean","boolean","string","string","string","string","string","string","int","string","boolean","int","int","int","int","boolean","int","int","boolean","boolean","boolean","int","int","string","int","int"
"Brock_def_atk_area","","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_explosion_blue","","100","","","","","70","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_def_ulti_area","","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_ultiExp_blue","","100","","","","","100","700","","450","","","","","","Damage","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_def_Overcharged_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_oc_ultiExp_purple","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_002_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_002_explosion_blue","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_002_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_def_ultiExp_blue","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_004_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_004_explosion_blue","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_004_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_004_ultiExp_blue","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_007_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_007_explosion_blue","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_007_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_007_explosion_blue","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_008_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_008_atk_ground","","100","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock_008_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_008_ulti","","100","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
