"Name","WinTrackType","Level","State","ShownLevelInCounter","HideLevelCounterText"
"string","int","int","int","int","boolean"
"PiggyLevel_0_0",0,0,0,1,
"PiggyLevel_0_1",0,1,1,1,
"PiggyLevel_0_2",0,2,2,2,
"PiggyLevel_0_3",0,3,3,3,
"PiggyLevel_0_4",0,4,4,4,
"PiggyLevel_0_5",0,5,5,5,
"PiggyLevel_0_6",0,6,6,5,
"PiggyLevel_1_0",1,0,0,0,"TRUE"
"PiggyLevel_1_1",1,1,1,0,"TRUE"
"PiggyLevel_1_2",1,2,2,1,
"PiggyLevel_1_3",1,3,3,2,
"PiggyLevel_1_4",1,4,4,3,
"PiggyLevel_1_5",1,5,5,4,
"PiggyLevel_1_6",1,6,6,5,
"PiggyLevel_1_7",1,7,7,6,
"PiggyLevel_1_8",1,8,8,7,
"PiggyLevel_1_9",1,9,9,8,
"PiggyLevel_1_10",1,10,10,9,
"PiggyLevel_1_11",1,11,11,10,
"PiggyLevel_1_12",1,12,12,11,
"PiggyLevel_1_13",1,13,13,12,
"PiggyLevel_1_14",1,14,14,13,
"PiggyLevel_1_15",1,15,15,14,
"PiggyLevel_1_16",1,16,16,15,
"PiggyLevel_1_17",1,17,17,16,
"PiggyLevel_1_18",1,18,18,17,
"PiggyLevel_1_19",1,19,19,18,
"PiggyLevel_1_20",1,20,20,19,
"PiggyLevel_1_21",1,21,21,20,
"PiggyLevel_1_22",1,22,22,21,
"PiggyLevel_1_23",1,23,23,22,
"PiggyLevel_1_24",1,24,24,23,
"PiggyLevel_1_25",1,25,25,24,
"PiggyLevel_1_26",1,26,26,25,
"PiggyLevel_1_27",1,27,27,26,
"PiggyLevel_1_28",1,28,28,27,
"PiggyLevel_1_29",1,29,29,28,
"PiggyLevel_1_30",1,30,30,29,
"PiggyLevel_1_31",1,31,31,30,
"PiggyLevel_1_32",1,32,32,31,
"PiggyLevel_1_33",1,33,33,32,
"PiggyLevel_1_34",1,34,34,33,
"PiggyLevel_1_35",1,35,35,34,
"PiggyLevel_1_36",1,36,36,35,
"PiggyLevel_1_37",1,37,37,36,
"PiggyLevel_1_38",1,38,38,37,
"PiggyLevel_1_39",1,39,39,38,
"PiggyLevel_1_40",1,40,40,39,
"PiggyLevel_1_41",1,41,41,40,
"PiggyLevel_1_42",1,42,42,41,
"PiggyLevel_1_43",1,43,43,42,
"PiggyLevel_1_44",1,44,44,43,
"PiggyLevel_1_45",1,45,45,44,
"PiggyLevel_1_46",1,46,46,45,
"PiggyLevel_1_47",1,47,47,46,
"PiggyLevel_1_48",1,48,48,47,
"PiggyLevel_1_49",1,49,49,48,
"PiggyLevel_1_50",1,50,50,49,
"PiggyLevel_1_51",1,51,51,50,
"PiggyLevel_1_52",1,52,52,51,
"PiggyLevel_1_53",1,53,53,52,
"PiggyLevel_1_54",1,54,54,53,
"PiggyLevel_1_55",1,55,55,54,
"PiggyLevel_1_56",1,56,56,55,
"PiggyLevel_1_57",1,57,57,56,
"PiggyLevel_2_0",2,0,0,0,
"PiggyLevel_2_1",2,1,1,1,
"PiggyLevel_2_2",2,2,2,2,
