"Name","Collab","Contest","EventSlot","ExtendedSpecialEventHero","GameModeVariation","EventModifier","ClipOverrideSWF","ClipOverrideExportName","ModeOverrideSWF","ModeOverrideIconName","ModeOverrideRoomIconName","ModeOverrideRoomFrameLabel","BannerOverrideSWF","BannerOverrideExportName","ModeBigCoverSWF","ModeBigCoverExportName","HideDefaultTextsFromBanner","HideDefaultTimeFromBanner","HideGameModeGraphicsWhileTall","IdleFrameLabel"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string"
"DemonsScoreboardSiege","Demons","AngelsAndDemonsContest","Contest",,"Siege",,,,"sc/ui.sc","event_icon_petwars","event_gameroom_petwars_square",,,,,,"TRUE","TRUE","TRUE","collab"
"DemonsScoreboardTrioShowdown","Demons","AngelsAndDemonsContest","Contest",,"TrioShowdown",,,,"sc/ui.sc","event_icon_triosurvival","event_gameroom_triosurvival_square",,,,,,"TRUE","TRUE","TRUE","collab"
"DemonsScoreboardPossession","Demons","AngelsAndDemonsContest","Contest",,"KillConfirmed",,,,"sc/ui.sc","event_icon_killconfirm","event_gameroom_killconfirm_square",,,,,,"TRUE","TRUE","TRUE","collab"
"DemonsSiege",,,,,"Siege",,,,"sc/ui.sc","event_icon_petwars","event_gameroom_petwars_square",,,,,,"TRUE",,"TRUE",
"DemonsTrioShowdown",,,,,"TrioShowdown",,,,"sc/ui.sc","event_icon_triosurvival","event_gameroom_triosurvival_square",,,,,,"TRUE",,"TRUE",
"DemonsPossession",,,,,"KillConfirmed",,,,"sc/ui.sc","event_icon_killconfirm","event_gameroom_killconfirm_square",,,,,,"TRUE",,"TRUE",
"ToyStoryScoreboardAirHockey","Toys","ArcadePlanetContest","Contest",,"AirHockey",,,,,"event_icon_air_hockey","event_air_hockey_contest_banner",,,,,"event_air_hockey_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardGemGrab2v2","Toys","ArcadePlanetContest","Contest",,"GemGrab2v2",,,,,"event_icon_gemgrab_2v2","event_2v2_gemgrab_contest_banner",,,,,"event_2v2_gemgrab_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardPayloadSingle","Toys","ArcadePlanetContest","Contest",,"PayloadSingle",,,,,"event_icon_payload_single","event_payload_single_contest_banner",,,,,"event_payload_single_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardBrawlBall2v2","Toys","ArcadePlanetContest","Contest",,"BrawlBall2v2",,,,,"event_icon_brawlball_2v2","event_2v2_brawlball_contest_banner",,,,,"event_2v2_brawlball_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardKnockout2v2","Toys","ArcadePlanetContest","Contest",,"Knockout2v2",,,,,"event_icon_knockout_2v2","event_2v2_knockout_contest_banner",,,,,"event_2v2_knockout_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardKingOfHill2v2","Toys","ArcadePlanetContest","Contest",,"KingOfHill2v2",,,,,"event_icon_king_of_hill_2v2","event_2v2_king_of_hill_contest_banner",,,,,"event_2v2_king_of_hill_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardBasketBrawl2v2","Toys","ArcadePlanetContest","Contest",,"BasketBrawl2v2",,,,,"event_icon_basketbrawl_2v2","event_2v2_basketbrawl_contest_banner",,,,,"event_2v2_basketbrawl_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardPayloadSingle2v2","Toys","ArcadePlanetContest","Contest",,"PayloadSingle2v2",,,,,"event_icon_payload_single","event_2v2_payload_single_contest_banner",,,,,"event_2v2_payload_single_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryScoreboardAirHockey2v2","Toys","ArcadePlanetContest","Contest",,"AirHockey2v2",,,,,"event_icon_air_hockey","event_2v2_air_hockey_contest_banner",,,,,"event_2v2_air_hockey_contest_cover","TRUE","TRUE","TRUE","contest"
"ToyStoryAirHockey",,,,,"AirHockey",,,,,,,,,,,,"TRUE",,,
"ToyStoryGemGrab2v2",,,,,"GemGrab2v2",,,,,,,,,,,,"TRUE",,,
"ToyStoryPayloadSingle",,,,,"PayloadSingle",,,,,,,,,,,,"TRUE",,,
"ToyStoryBrawlBall2v2",,,,,"BrawlBall2v2",,,,,,,,,,,,"TRUE",,,
"ToyStoryKnockout2v2",,,,,"Knockout2v2",,,,,,,,,,,,"TRUE",,,
"ToyStoryKingOfHill2v2",,,,,"KingOfHill2v2",,,,,,,,,,,,"TRUE",,,
"ToyStoryBasketBrawl2v2",,,,,"BasketBrawl2v2",,,,,,,,,,,,"TRUE",,,
"ToyStoryPayloadSingle2v2",,,,,"PayloadSingle2v2",,,,,,,,,,,,"TRUE",,,
"ToyStoryAirHockey2v2",,,,,"AirHockey2v2",,,,,,,,,,,,"TRUE",,,
"WasabiContestSamuraiSmashOverrides",,"WasabiContest","Contest",,"SamuraiSmash",,,"event_samuraismash_contest_banner",,,"event_samuraismash_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiContestHeistOverrides",,"WasabiContest","Contest",,"Heist",,,"event_heist_contest_banner",,,"event_heist_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiContestSamuraiSmashOverrides5v5",,"WasabiContest","Contest",,"SamuraiSmash5v5",,,"event_samuraismash_contest_banner",,,"event_samuraismash_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiContestBrawlBallOverrides",,"WasabiContest","Contest",,"BrawlBall",,,"event_brawlball_contest_banner",,,"event_brawlball_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiContestGemGrabOverrides",,"WasabiContest","Contest",,"GemGrab",,,"event_gemgrab_contest_banner",,,"event_gemgrab_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiContestKnockoutOverrides",,"WasabiContest","Contest",,"Knockout",,,"event_knockout_contest_banner",,,"event_knockout_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiContestWipeoutOverrides",,"WasabiContest","Contest",,"Deathmatch",,,"event_wipeout_contest_banner",,,"event_wipeout_contest_banner",,,,,,"TRUE",,"TRUE",
"WasabiSamuraiSmashOverrides",,,,,"SamuraiSmash",,,,,,,,,,,,"TRUE",,"TRUE",
"WasabiMegaBossOverrides",,,,,"MegaBoss",,,,,,,,,,,,"TRUE",,"TRUE",
"WasabiWipeoutOverrides",,"WasabiContest",,,"Deathmatch",,,,,,,,,,,,"TRUE",,"TRUE",
"WasabiSamuraiSmash5v5Overrides",,,,,"SamuraiSmash5v5",,,,,,,,,,,,"TRUE",,"TRUE",
"KillConfirmOverrides",,"DemonicContest","Contest",,"KillConfirmed",,,"event_killconfirm_contest_banner",,,"event_killconfirm_contest_banner",,,,,,"TRUE",,,
"PetWarsOverrides",,"DemonicContest","Contest",,"Siege",,,"event_petwars_contest_banner",,,"event_petwars_contest_banner",,,,,,"TRUE",,,
