"Name","TID","BubbleOverrideTID","Disabled","MessageType","FileName","DefaultExportName","PopoverExportNameOverride","QuickEmojiType","SortPriority","AgeGated","AvailableInClub"
"string","string","string","Boolean","int","string","string","string","int","int","Boolean","Boolean"
"msg1","TID_QUICK_MESSAGE_CHOOSE_BRAWLER",,,1,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg2","TID_QUICK_MESSAGE_CHOOSE_MODE",,,2,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg3","TID_QUICK_MESSAGE_CHANGE_BRAWLERS",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg4","TID_QUICK_MESSAGE_GOOD_GAME",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg5","TID_QUICK_MESSAGE_PLAY_AGAIN",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,13,,
"msg6","TID_QUICK_MESSAGE_WELL_PLAYED",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,10,,
"msg7","TID_QUICK_MESSAGE_WOW",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg8","TID_QUICK_MESSAGE_OK",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg9","TID_QUICK_MESSAGE_GOTTA_GO",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,3,,
"msg10","TID_QUICK_MESSAGE_CHANGE_MODE",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg11","TID_QUICK_MESSAGE_BYE",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg12","TID_QUICK_MESSAGE_CLOSE_MATCH",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg13","TID_QUICK_MESSAGE_READY",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg14","TID_QUICK_MESSAGE_READY_GO",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,2,,
"msg15","TID_QUICK_MESSAGE_HI",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,1,,
"msg16","TID_QUICK_MESSAGE_NEED_BREAK",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg17","TID_QUICK_MESSAGE_NEED_TO_GO",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg18","TID_QUICK_MESSAGE_THANKS",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,12,,
"msg19","TID_QUICK_MESSAGE_SORRY",,,,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,5,,
"msg20","TID_QUICK_MESSAGE_OOPS",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg21","TID_QUICK_MESSAGE_SUGGEST_BRAWLER",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg22","TID_QUICK_MESSAGE_SUGGEST_STARPOWER",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
"msg23","TID_QUICK_MESSAGE_SUGGEST_MODE",,"TRUE",,"sc/ui.sc","button_chat_item","quick_chat_button_chat_item",,,,
