"Name","Type","Index","ProgressStart","Progress","League","Tier","Season","HeroPowerUnlock","PrimaryLvlUpRewardType","PrimaryLvlUpRewardCount","PrimaryLvlUpRewardExtraData","PrimaryLvlUpRewardData","SecondaryLvlUpRewardType","SecondaryLvlUpRewardCount","SecondaryLvlUpRewardExtraData","SecondaryLvlUpRewardData","DependsOnIndex","RankAssetFrame","RankNumberValue","RankFaceFrame","RankHexTextColor"
"string","int","int","int","int","int","int","int","int","int","int","int","string","int","int","int","string","int","int","int","int","string"
"goal_1_0",1,0,0,20,0,0,,,11,0,0,,-1,,,,-1,1,1,1,"0xFF9900"
"goal_1_1",1,1,20,20,0,0,,,11,0,0,,-1,,,,-1,1,2,1,"0xFF9900"
"goal_1_2",1,2,40,20,0,0,,,11,0,0,,-1,,,,-1,1,3,1,"0xFF9900"
"goal_1_3",1,3,60,20,0,0,,,11,0,0,,-1,,,,-1,1,4,1,"0xFF9900"
"goal_1_4",1,4,80,20,0,0,,,11,0,0,,-1,,,,-1,1,5,1,"0xFF9900"
"goal_1_5",1,5,100,20,0,0,,,11,0,0,,-1,,,,-1,1,6,1,"0xFF9900"
"goal_1_6",1,6,120,20,0,0,,,11,0,0,,-1,,,,-1,1,7,1,"0xFF9900"
"goal_1_7",1,7,140,20,0,0,,,11,0,0,,-1,,,,-1,1,8,1,"0xFF9900"
"goal_1_8",1,8,160,20,0,0,,,11,0,0,,-1,,,,-1,1,9,1,"0xFF9900"
"goal_1_9",1,9,180,20,0,0,,,11,0,0,,-1,,,,-1,1,10,1,"0xFF9900"
"goal_1_10",1,10,200,20,0,0,,,11,0,0,,-1,,,,-1,2,1,3,"0xC9C6F1"
"goal_1_11",1,11,220,20,0,0,,,11,0,0,,-1,,,,-1,2,2,3,"0xC9C6F1"
"goal_1_12",1,12,240,20,0,0,,,11,0,0,,-1,,,,-1,2,3,3,"0xC9C6F1"
"goal_1_13",1,13,260,20,0,0,,,11,0,0,,-1,,,,-1,2,4,3,"0xC9C6F1"
"goal_1_14",1,14,280,20,0,0,,,11,0,0,,-1,,,,-1,2,5,3,"0xC9C6F1"
"goal_1_15",1,15,300,20,0,0,,,11,0,0,,-1,,,,-1,2,6,3,"0xC9C6F1"
"goal_1_16",1,16,320,20,0,0,,,11,0,0,,-1,,,,-1,2,7,3,"0xC9C6F1"
"goal_1_17",1,17,340,20,0,0,,,11,0,0,,-1,,,,-1,2,8,3,"0xC9C6F1"
"goal_1_18",1,18,360,20,0,0,,,11,0,0,,-1,,,,-1,2,9,3,"0xC9C6F1"
"goal_1_19",1,19,380,20,0,0,,,11,0,0,,-1,,,,-1,2,10,3,"0xC9C6F1"
"goal_1_20",1,20,400,20,0,0,,,11,0,0,,-1,,,,-1,3,1,4,"0xFFEF49"
"goal_1_21",1,21,420,20,0,0,,,11,0,0,,-1,,,,-1,3,2,4,"0xFFEF49"
"goal_1_22",1,22,440,20,0,0,,,11,0,0,,-1,,,,-1,3,3,4,"0xFFEF49"
"goal_1_23",1,23,460,20,0,0,,,11,0,0,,-1,,,,-1,3,4,4,"0xFFEF49"
"goal_1_24",1,24,480,20,0,0,,,11,0,0,,-1,,,,-1,3,5,4,"0xFFEF49"
"goal_1_25",1,25,500,20,0,0,,,11,0,0,,-1,,,,-1,3,6,4,"0xFFEF49"
"goal_1_26",1,26,520,20,0,0,,,11,0,0,,-1,,,,-1,3,7,4,"0xFFEF49"
"goal_1_27",1,27,540,20,0,0,,,11,0,0,,-1,,,,-1,3,8,4,"0xFFEF49"
"goal_1_28",1,28,560,20,0,0,,,11,0,0,,-1,,,,-1,3,9,4,"0xFFEF49"
"goal_1_29",1,29,580,20,0,0,,,11,0,0,,-1,,,,-1,3,10,4,"0xFFEF49"
"goal_1_30",1,30,600,20,0,0,,,11,0,0,,-1,,,,-1,4,1,6,"0x33FFFF"
"goal_1_31",1,31,620,20,0,0,,,11,0,0,,-1,,,,-1,4,2,6,"0x33FFFF"
"goal_1_32",1,32,640,20,0,0,,,11,0,0,,-1,,,,-1,4,3,6,"0x33FFFF"
"goal_1_33",1,33,660,20,0,0,,,11,0,0,,-1,,,,-1,4,4,6,"0x33FFFF"
"goal_1_34",1,34,680,20,0,0,,,11,0,0,,-1,,,,-1,4,5,6,"0x33FFFF"
"goal_1_35",1,35,700,20,0,0,,,11,0,0,,-1,,,,-1,4,6,6,"0x33FFFF"
"goal_1_36",1,36,720,20,0,0,,,11,0,0,,-1,,,,-1,4,7,6,"0x33FFFF"
"goal_1_37",1,37,740,20,0,0,,,11,0,0,,-1,,,,-1,4,8,6,"0x33FFFF"
"goal_1_38",1,38,760,20,0,0,,,11,0,0,,-1,,,,-1,4,9,6,"0x33FFFF"
