"Name","ProgressionSkinBase","ScreenSWF","ScreenExportNamePrefix","ShowSkinDeliveryOnLevels"
"string","string","string","string","int"
"GunSlinger2025RankedProgrsesionSkinLevel","GunSlinger2025RankedProgrsesionSkinLevel1","sc/ui.sc","progression_skin_1_screen_",1
,,,,4
,,,,9
,,,,10
,,,,11
"SamuraiJapanProgressionDetails","SamuraiJapan",,,1
,,,,2
"TntGuyProgressionSkinLevel","TntGuyProgressionSkinLevel1","sc/ui.sc","progression_skin_2_screen_",1
,,,,4
,,,,9
,,,,10
,,,,11
"NinjaPropassProgressionSkinLevel","NinjaPropassProgressionSkinLevel1","sc/ui.sc","progression_skin_3_screen_",1
,,,,4
,,,,9
,,,,10
,,,,11
