"Name","TicketsInRareStar","TicketsInSuperRareStar","TicketsInEpicStar","TicketsInMythicStar","TicketsInLegendaryStar","TicketsInOverchargeStar","TicketsInRankedStar","TicketsInRareCollabDrop","TicketsInSuperRareCollabDrop","TicketsInEpicCollabDrop","TicketsInMythicCollabDrop","TicketsInLegendaryCollabDrop","TicketsInMegaBox","TicketsInAngelicStar","TicketsInDemonicStar","TicketsInSeasonBoxLevel1","TicketsInSeasonBoxLevel2","TicketsInSeasonBoxLevel3","TicketsInSeasonBoxLevel4","TicketsInSeasonBoxLevel5","TicketsInRarePresentDrop","TicketsInSuperRarePresentDrop","TicketsInEpicPresentDrop","TicketsInMythicPresentDrop","TicketsInLegendaryPresentDrop","TicketsInSplitterRare","TicketsInSplitterSuperRare","TicketsInSplitterEpic","TicketsInSplitterMythic","TicketsInGraffitiBox","TicketsInPumpkinBox","TicketsInDeadBox","TicketsInRareContainer","TicketsInSuperRareContainer","TicketsInEpicContainer","TicketsInMythicContainer","TicketsInLegendaryContainer","TicketsInOverchargeContainer","TicketsInMechBox","TypeName","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","int","boolean","int","int","int","int","String","int","String","int","int"
"Coins S",90,,,,,,,,,,,,340,,,,,,,,,,,,,60,80,100,120,300,,,1,,,,,,340,"Coins",,,,,50,50,,,,,1
"Coins M",,64,,,,,,,,,,,,250,250,,,,,,100,,,,,6,4,3,2,20,,,,1,,,,,,"Coins",,,,,100,100,,,,,1
"Coins L",,,20,,,,,,,,,,,30,30,,,,,,,50,,,,1,1,1,1,,,,,,1,,,,,"Coins",,,,,200,200,,,,,1
"Coins XL",,,,15,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,1,,,,"Coins",,,,,500,500,,,,,2
"Gadget",,,,25,,,,,,,,,5,7,7,,,,,,,,,25,,5,5,5,5,5,25,5,,,,,,,6,"Gadget",,,,,,,"Coins",500,,,2
"Star Power",,,,,25,,,,,,,,3,5,5,,,,,,,,,,25,,,1,1,3,10,3,,,,,,,3,"StarPower",,,,,,,"Coins",1000,,,2
"Gears SR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gear",2,,,,,,"Coins",500,,,
"Gears Mythic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gear",4,,,,,,"Coins",500,,,
"Power Points S",70,,,,,,,,,,,,200,,,,,,,,,,,,,60,80,100,120,200,,,,,,,1,,200,"PowerPoints",,,,,25,25,,,,,
"Power Points M",,50,,,,,,,,,,,,50,50,,,,,,50,,,,,6,4,3,2,20,,,,,,,,1,,"PowerPoints",,,,,50,50,,,,,1
"Power Points L",,,20,,,,,,,,,,,20,20,,,,,,,25,,,,1,1,1,1,10,,,,,,,,,,"PowerPoints",,,,,100,100,,,,,1
"Power Points XL",,,,30,,,,,,,,,,10,10,,,,,,,,,10,,,,,,2,,,,,,,,,,"PowerPoints",,,,,200,200,,,,,2
"Credits S",5,,,,,,,,,,,,150,,,,,,,,,,,,,15,15,15,15,100,150,,,,,,,,150,"Credits",,,,,10,10,,,,,
