"Name","TID","IconSWF","CollectEffect","IconExportName","Type","Rarity","PremiumCurrency","TextRed","TextGreen","TextBlue","Cap","AllowedToOverflowCapOnce"
"String","String","String","String","String","String","String","Boolean","int","int","int","int","Boolean"
"Diamonds","TID_DIAMONDS","sc/ui.sc",,"genicon_gem",,,"TRUE",,255,92,,
"Gold","TID_TOKENS","sc/ui.sc","Collect Gold","genicon_coin",,,,192,,192,,
"owcAny",,"sc/ui.sc",,"icon_owcAny",,,,,,,,
"owcRareOrBetter",,"sc/ui.sc",,"icon_owcRareOrBetter",,,,,,,,
"owcEpicOrBetter",,"sc/ui.sc",,"icon_owcEpicOrBetter",,,,,,,,
"Dust",,"sc/ui.sc",,"genicon_dust",,,,,,,,
"Upgradium",,"sc/ui.sc",,"genicon_upgradium",,,,,,,,
"Bolts",,"sc/ui.sc",,"genicon_upgradium",,,,,,,,
"HeroLvlUpMaterial","TID_HERO_LVL_UP_MATERIAL","sc/ui.sc",,"genicon_upgradium",,,,,,,,
"FirstWins","TID_FIRST_WINS","sc/ui.sc",,"genicon_upgradium",,,,,,,,
"LegendaryTrophies","TID_LEGENDARY_TROPHIES","sc/ui.sc",,"genicon_upgradium",,,,,,,,
"GearTokensDamage",,"sc/ui.sc",,,,,,,,,,
"GearScrap",,"sc/ui.sc",,,,,,,,,,
"ClubCoins","TID_CLUB_COINS","sc/ui.sc",,"genicon_upgradium",,,,,,,,
"GearTokensHeal",,"sc/ui.sc",,,,,,,,,,
"GearTokensResistance",,"sc/ui.sc",,,,,,,,,,
"GearTokensShield",,"sc/ui.sc",,,,,,,,,,
"GearTokensSpeed",,"sc/ui.sc",,,,,,,,,,
"SpraySlot","TID_REWARD_SPRAY_SLOT","sc/ui.sc",,"reward_icon_sprays",,,,,,,,
"RecruitTokens","TID_RECRUIT_TOKEN","sc/ui.sc",,"icon_resource_recruit_token",,,,,,,,
"ChromaticTokens","TID_CHROMATIC_TOKEN","sc/ui.sc",,"icon_resource_chromatic_coin",,,,,,,5000,"TRUE"
"Fame","TID_FAME","sc/ui.sc",,"icon_resource_fame",,,,,,,,
"PowerPoints","TID_RESOURCE_POWER_POINTS","sc/ui.sc",,"icon_resource_powerpoints",,,,,,,,
"Bling","TID_BLING","sc/ui.sc",,"icon_resource_cosmetic_coins",,,,,,,,
"CollabPoints","TID_COLLAB_POINTS","sc/ui.sc",,"icon_resource_currency_collab",,,,,,,,
"DailyStreak","TID_RESOURCE_DAILY_STREAK","sc/ui.sc",,"icon_resource_chromatic_coin",,,,,,,,
"CollabEventCurrency","TID_COLLAB_EVENT_CURRENCY","sc/ui.sc",,"icon_resource_currency_collab",,,,,,,,
