"Name","RogueliteCards"
"string","string"
"Shelly_roguelite_deck","R_PowerCubeOnStart_S"
,"R_Damage_Mini_S"
,"R_Damage_Mini_E"
,"R_Damage_Mini_L"
,"R_SuperRate_S"
,"R_SuperRate_E"
,"R_ChargeSuperOnStart_E"
,"R_AutoChargeUlti_L"
,"R_VisionInBush_S"
,"R_DamageReduction_S"
,"R_DamageReduction_E"
,"R_ConsShield_Mini_L"
,"R_MaxHp_Absolute_Mini_S"
,"R_MaxHp_Absolute_Mini_E"
,"R_HealOnMove_E"
,"R_MaxHp_Absolute_Mini_L"
,"R_MoveSpeed_Mini_E"
,"R_GadgetCooldown_S"
,"R_GadgetCooldown_E"
,"R_GadgetCooldown_L"
,"R_Reload_S"
,"R_Reload_E"
,"R_SpeedUpOnAtk_E"
,"R_AttackRange_Cone_Mini_L"
,"R_MoveSpeed_Mini_S"
"Colt_roguelite_deck","R_BulletSize_S"
,"R_ProjectileSpeed_S"
,"R_BulletSize_E"
,"R_BulletSize_L"
,"R_MoveSpeed_S"
,"R_MoveSpeed_E"
,"R_SpeedUpOnAtk_E"
,"R_MoveSpeed_L"
,"R_SuperRate_S"
,"R_SuperRate_E"
,"R_ChargeSuperOnStart_E"
,"R_SuperRate_L"
,"R_Reload_S"
,"R_AttackRange_E"
,"R_Reload_E"
,"R_DestroyEnvironment_L"
,"R_PowerCubeOnStart_S"
,"R_Damage_Mini_S"
,"R_Damage_Mini_E"
,"R_Colt_MoreBullet_L"
,"R_GadgetCooldown_S"
,"R_GadgetCooldown_E"
,"R_ProjectileSpeed_E"
,"R_AttackRange_Mini_L"
,"R_MaxHp_Absolute_S"
"Bull_roguelite_deck","R_Damage_Mini_S"
,"R_SpeedUpOnAtk_E"
,"R_Damage_Mini_E"
,"R_Damage_Mini_L"
,"R_MoveSpeed_Mini_E"
,"R_MaxHp_Absolute_Mini_Mini_S"
,"R_MaxHp_Absolute_Mini_Mini_E"
,"R_MaxHp_Absolute_Mini_Mini_L"
,"R_MoveSpeed_Mini_S"
,"R_DamageReduction_Mini_S"
,"R_DamageReduction_Mini_E"
,"R_ConsShield_Mini_L"
,"R_SuperRate_Mini_S"
,"R_SuperRate_Mini_E"
,"R_ChargeHCOnStart_E"
,"R_SuperRate_Mini_L"
,"R_VisionInBush_S"
,"R_MoveSpeedInBush_Mini_E"
,"R_GadgetCooldown_E"
,"R_DashSpeed_Mini_L"
,"R_ProjectileSpeed_S"
,"R_ProjectileSpeed_E"
,"R_AttackRange_Cone_E"
,"R_AttackRange_Cone_L"
,"R_GadgetCooldown_S"
"Spike_roguelite_deck","R_MoveSpeed_S"
,"R_GadgetCooldown_S"
,"R_GadgetCooldown_E"
,"R_GadgetCooldown_L"
,"R_Damage_S"
,"R_MaxHp_Absolute_Mini_E"
,"R_Damage_E"
,"R_Damage_L"
,"R_Reload_S"
,"R_Reload_E"
,"R_Spike_BulletMore_E"
,"R_Spike_BulletMore_L"
,"R_SuperRate_S"
,"R_SuperRate_E"
,"R_ChargeSuperOnStart_E"
,"R_AutoChargeUlti_L"
,"R_MoveSpeed_E"
,"R_Spike_Cactus_S"
,"R_Spike_Cactus_E"
,"R_Spike_Cactus_L"
,"R_RegenFaster_E"
,"R_HealBuff_Mini_S"
,"R_HealBuff_Mini_E"
,"R_HealBuff_Mini_L"
,"R_MaxHp_Absolute_Mini_S"
"Barley_roguelite_deck","R_AreaEffectSizeThrower_S"
,"R_AreaEffectSizeThrower_E"
,"R_FireBallAround_E"
,"R_AreaEffectSizeThrower_L"
,"R_MoveSpeed_S"
,"R_MoveSpeed_E"
,"R_SpeedUpOnAtk_E"
,"R_MoveSpeed_L"
,"R_SuperRate_S"
,"R_SuperRate_E"
,"R_ChargeSuperOnStart_E"
,"R_AutoChargeUlti_L"
,"R_GadgetCooldown_S"
,"R_GadgetCooldown_E"
,"R_SpeedUpOnGadget_S"
,"R_GadgetCooldown_L"
,"R_Reload_S"
,"R_Damage_S"
,"R_Damage_E"
,"R_Damage_L"
,"R_PoisonOnHit_S"
,"R_PoisonOnHit_E"
,"R_Reload_E"
,"R_Barley_Slow_L"
,"R_PowerCubeOnStart_S"
"Jessie_roguelite_deck","R_SuperRate_S"
,"R_SuperRate_E"
,"R_ChargeSuperOnStart_E"
,"R_AutoChargeUlti_L"
,"R_SpeedUpOnAtk_E"
,"R_GadgetCooldown_S"
,"R_GadgetCooldown_E"
,"R_GadgetCooldown_L"
,"R_PowerCubeOnStart_S"
,"R_Damage_S"
,"R_Damage_E"
,"R_ShootTwice_MainAtk_L"
,"R_Reload_S"
,"R_MaxHp_Absolute_S"
,"R_MaxHp_Absolute_E"
,"R_MaxHp_Absolute_L"
,"R_ChargeHCOnStart_E"
,"R_PetMaxHP_S"
,"R_PetMaxHP_E"
,"R_PetMaxHP_L"
,"R_MoveSpeed_S"
,"R_MoveSpeed_E"
,"R_AttackRange_E"
,"R_TriggerSuper_MoreTimes_Pet_L"
,"R_Reload_E"
"Nita_roguelite_deck","R_MoveSpeed_S"
,"R_MoveSpeed_E"
,"R_SpeedUpOnAtk_E"
,"R_MoveSpeed_L"
,"R_SuperRate_S"
,"R_SuperRate_E"
,"R_ChargeSuperOnStart_E"
,"R_AutoChargeUlti_L"
,"R_MaxHp_Absolute_Mini_S"
,"R_MaxHp_Absolute_Mini_E"
,"R_RegenFaster_E"
,"R_MaxHp_Absolute_Mini_L"
,"R_PetMoveSpeed_S"
,"R_PetMaxHP_S"
,"R_PetMaxHP_E"
,"R_TriggerSuper_MoreTimes_Pet_L"
,"R_Damage_S"
,"R_Damage_E"
,"R_AttackRange_E"
,"R_Damage_L"
,"R_LifeSteal_Pet_S"
,"R_HealBuff_Mini_S"
,"R_LifeSteal_Pet_E"
,"R_LifeSteal_Pet_L"
,"R_GadgetCooldown_S"
"Dynamike_roguelite_deck","R_Reload_S"
,"R_Damage_S"
,"R_Damage_E"
,"R_Damage_L"
