"Name","AlbumType","Skins","AcquireLocation","CompletionRewardSprays","CompletionRewardEmotes","Collabs","AvailabilityDesc","ExcludeFromCompletionCheck","ExcludeFromView","AnimStart","AnimNext"
"string","string","string","string","string","string","string","string","boolean","boolean","string","string"
"WasabiCollabSkinAlbum","Collab","SamuraiJapan","EventMenu","spray_feudaljapan_mask",,"Wasabi","TID_AVAILABILITY_WASABI_TIME_LIMITED_ALBUM",,,,
,,"WallyJapan","EventGacha",,,,,,,,
,,"DoorManJapan","EventGacha",,,,,,,,
,,"SniperJapan","BrawlPass",,,,,,,,
,,"BlackHoleJapan","EventGacha",,,,,,,,
,,"KnightJapan","EventGacha",,,,,,,,
,,"InsectManJapan","EventGacha",,,,,,,,
,,"SamuraiJapanOvercharge","EventMenu",,,,,"TRUE","TRUE",,
"GraveyardTrio","Trio","FrankDefault","HeroScreen",,,,,,,,
,,"UndertakerDefault","HeroScreen",,,,,,,,
,,"MummyDefault","HeroScreen",,,,,,,,
"AngelsCollabSkinAlbum","Collab","EnragerAngel","EventGacha","spray_angel_door",,,"TID_AVAILABILITY_ANGELSDEMONSv2_TIME_LIMITED_ALBUM",,,,
,,"SpeedyAngel","EventGacha",,,,,,,,
,,"ShieldTankAngel","EventMenu",,,,,,,,
,,"MechaDudeAngel","EventGacha",,,,,,,,
,,"HookDudeAngel","EventGacha",,,,,,,,
,,"ArcadeAngel","EventGacha",,,,,,,,
,,"AmbusherAngel","EventGacha",,,,,,,,
"DemonsCollabSkinAlbum","Collab","UndertakerDemon","EventGacha","spray_demon_door",,,"TID_AVAILABILITY_ANGELSDEMONSv2_TIME_LIMITED_ALBUM",,,,
,,"PuppeteerDemon","EventGacha",,,,,,,,
,,"BullDudeDemon","EventGacha",,,,,,,,
,,"SilencerDemon","EventGacha",,,,,,,,
,,"SoulCollectorDemon","EventGacha",,,,,,,,
,,"MummyDemon","EventGacha",,,,,,,,
,,"KickerDudeDemon","EventMenu",,,,,,,,
"SubwayCollabSkinAlbum","Collab","MummySurfer","BrawlPass","spray_graffiti_5",,"Surfers","TID_AVAILABILITY_SUBWAY_TIME_LIMITED_ALBUM",,,,
,,"FishTankSurfer","EventGacha",,,,,,,,
,,"SkaterSurfer","EventMenu",,,,,,,,
,,"JetpackGirlSurfer","EventGacha",,,,,,,,
,,"SnakeOilSurfer","EventGacha",,,,,,,,
,,"NinjaGraffitiSpecial","ClubChallenge",,,,,,,,
,,"RollerGraffitiSpecial","EventGacha",,,,,,,,
,,"StalkerGraffitiSpecial","EventGacha",,,,,,,,
,,"DancerGraffitiSpecial","EventGacha",,,,,"TRUE","TRUE",,
,,"PocoSurferOvercharge","EventGacha",,,,,,,,
"Brawloween2025CollabSkinAlbum","Collab","CrowBrawloween","BrawlPass","spray_brawloween_candy",,"Brawloween2025","TID_AVAILABILITY_BRAWLOWEEN2025_TIME_LIMITED_ALBUM",,,,
,,"TrickshotBrawloween","EventGacha",,,,,,,,
,,"BeeSniperBrawloween","EventGacha",,,,,,,,
,,"SplitterBrawloween","EventGacha",,,,,,,,
,,"RuffsBrawloween","EventGacha",,,,,,,,
,,"ClusterBombBrawloween","EventGacha",,,,,,,,
,,"SamuraiJapanOverchargeChroma1","EventGacha",,,,,,,,
"StrangerCollabSkinAlbum","Collab","MorningstarStrange","BrawlPass","spray_st_brawl",,"Stranger","TID_AVAILABILITY_STRANGER_TIME_LIMITED_ALBUM",,,,
,,"DragonRiderStrange","EventGacha",,,,,,,,
,,"SoulCollectorStrange","EventGacha",,,,,,,,
,,"PainterStrange","EventGacha",,,,,,,,
,,"BullGuyStrange","EventGacha",,,,,,,,
,,"ShamanStrangeOvercharge","EventMenu",,,,,,,,
