"Name","Index","TrophyCount","RewardType","RewardCount","RewardExtraData","RewardData","FallbackRewardType","FallbackRewardCount","FallbackRewardExtraData","FallbackRewardData"
"string","int","int","string","int","int","string","string","int","int","string"
"TM_0",0,0,,,,,,,,
"TM_1",1,1,"PowerPoints",200,,,,,,
"TM_2",2,10,"Coins",200,,,,,,
"TM_3",3,15,"Hero",,,"Shaman","Credits",160,,
"TM_4",4,20,"EventSlot",,1,,,,,
"TM_5",5,30,"PowerPoints",50,,,,,,
"TM_6",6,40,"DailyQuestsFeature",,,,,,,
"TM_7",7,50,"PowerPoints",100,,,,,,
"TM_8",8,60,"Coins",200,,,,,,
"TM_9",9,65,"PowerPoints",50,,,,,,
"TM_10",10,75,"Coins",100,,,,,,
"TM_11",11,80,"RandomStarrDrop",1,,,,,,
"TM_12",12,85,"Coins",1000,,,,,,
"TM_13",13,90,"PowerPoints",100,,,,,,
"TM_14",14,100,"EventSlot",,3,,,,,
"TM_15",15,105,"Coins",200,,,,,,
"TM_16",16,115,"PowerPoints",100,,,,,,
"TM_17",17,120,"RandomStarrDrop",1,,,,,,
"TM_18",18,125,"Coins",200,,,,,,
"TM_19",19,135,"PowerPoints",50,,,,,,
"TM_20",20,140,"ChooseSuperRare",,,,"Credits",430,,
"TM_21",21,145,"PowerPoints",200,,,,,,
"TM_22",22,155,"Coins",200,,,,,,
"TM_23",23,160,"PowerPoints",100,,,,,,
"TM_24",24,165,"Coins",100,,,,,,
"TM_25",25,175,"PowerPoints",50,,,,,,
"TM_26",26,180,"Coins",200,,,,,,
"TM_27",27,185,"Coins",100,,,,,,
"TM_28",28,190,"PowerPoints",200,,,,,,
"TM_29",29,200,"EventSlot",,4,,,,,
"TM_30",30,210,"Hero",,,"Luchador","Credits",160,,
"TM_31",31,215,"PowerPoints",100,,,,,,
"TM_32",32,220,"Coins",100,,,,,,
"TM_33",33,230,"PowerPoints",50,,,,,,
"TM_34",34,240,"Coins",200,,,,,,
"TM_35",35,250,"QuestsFeature",,,,,,,
"TM_36",36,260,"PowerPoints",100,,,,,,
"TM_37",37,270,"Coins",1000,,,,,,
"TM_38",38,285,"PowerPoints",50,,,,,,
"TM_39",39,300,"EventSlot",,7,,,,,
"TM_40",40,310,"ChooseSuperRare",,,,"Credits",430,,
