"Name","ScFileName","ExportName","Width","RewardsParentInstanceNamePath","IconExportPath","World","MilestoneInstanceNamePrefix","MilestoneNameStartNum","LayerInstanceNames","LayerSpeedPercentOverrides","LayerOriginPercentagesOfScreenWidth","ComponentNames","ComponentTypes","ComponentStringValues","ComponentIntValues"
"string","String","String","int","String","String","String","String","int","String","int","int","String","String","String","int"
"W1_p1","sc/trophy_world_1.sc","trophy_world_1_part1",4840,"reward_layer",,"World1","part_",0,,,,"part_0","CLIP_STRETCH","icon_trophyworld_townsquare",
"W1_p2","sc/trophy_world_1.sc","trophy_world_1_part2",4855,"reward_layer",,"World1","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_townsquare",
"W1_p3","sc/trophy_world_1.sc","trophy_world_1_part3",4750,"reward_layer",,"World1","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_townsquare",
"W2_p1","sc/trophy_world_2.sc","trophy_world_2_part1",4700,"reward_layer",,"World2","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_retropolis",
"W2_p2","sc/trophy_world_2.sc","trophy_world_2_part2",4800,"reward_layer",,"World2","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_retropolis",
"W2_p3","sc/trophy_world_2.sc","trophy_world_2_part3",4850,"reward_layer",,"World2","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_retropolis",
"W3_p1","sc/trophy_world_3.sc","trophy_world_3_part1",3750,"reward_layer",,"World3","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_frontierworld",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W3_p2","sc/trophy_world_3.sc","trophy_world_3_part2",3900,"reward_layer",,"World3","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_frontierworld",
"W3_p3","sc/trophy_world_3.sc","trophy_world_3_part3",4750,"reward_layer",,"World3","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_frontierworld",
"W4_p1","sc/trophy_world_4.sc","trophy_world_4_part1",3850,"reward_layer",,"World4","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_hauntedhaven",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W4_p2","sc/trophy_world_4.sc","trophy_world_4_part2",4000,"reward_layer",,"World4","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_hauntedhaven",
"W4_p3","sc/trophy_world_4.sc","trophy_world_4_part3",5000,"reward_layer",,"World4","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_hauntedhaven",
"W5_p1","sc/trophy_world_future.sc","trophy_world_5_part1",3700,"reward_layer",,"World5","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_adventureland",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W5_p2","sc/trophy_world_future.sc","trophy_world_5_part2",3700,"reward_layer",,"World5","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_adventureland",
"W5_p3","sc/trophy_world_future.sc","trophy_world_5_part3",4700,"reward_layer",,"World5","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_adventureland",
"W6_p1","sc/trophy_world_future.sc","trophy_world_6_part1",3700,"reward_layer",,"World6","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_mysticmountain",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W6_p2","sc/trophy_world_future.sc","trophy_world_6_part2",3700,"reward_layer",,"World6","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_mysticmountain",
"W6_p3","sc/trophy_world_future.sc","trophy_world_6_part3",4700,"reward_layer",,"World6","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_mysticmountain",
"W7_p1","sc/trophy_world_future.sc","trophy_world_7_part1",3700,"reward_layer",,"World7","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_brawliwood",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W7_p2","sc/trophy_world_future.sc","trophy_world_7_part2",3700,"reward_layer",,"World7","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_brawliwood",
"W7_p3","sc/trophy_world_future.sc","trophy_world_7_part3",4700,"reward_layer",,"World7","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_brawliwood",
"W8_p1","sc/trophy_world_future.sc","trophy_world_8_part1",3700,"reward_layer",,"World8","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_fairytalecastle",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W8_p2","sc/trophy_world_future.sc","trophy_world_8_part2",3700,"reward_layer",,"World8","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_fairytalecastle",
"W8_p3","sc/trophy_world_future.sc","trophy_world_8_part3",4700,"reward_layer",,"World8","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_fairytalecastle",
"W9_p1","sc/trophy_world_future.sc","trophy_world_9_part1",3700,"reward_layer",,"World9","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_tomorroworld",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W9_p2","sc/trophy_world_future.sc","trophy_world_9_part2",3700,"reward_layer",,"World9","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_tomorroworld",
"W9_p3","sc/trophy_world_future.sc","trophy_world_9_part3",4700,"reward_layer",,"World9","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_tomorroworld",
"W10_p1","sc/trophy_world_future.sc","trophy_world_10_part1",3700,"reward_layer",,"World10","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_waterland",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W10_p2","sc/trophy_world_future.sc","trophy_world_10_part2",3700,"reward_layer",,"World10","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_waterland",
"W10_p3","sc/trophy_world_future.sc","trophy_world_10_part3",4700,"reward_layer",,"World10","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_waterland",
"W11_p1","sc/trophy_world_future.sc","trophy_world_11_part1",3700,"reward_layer",,"World11","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_chronotrap",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W11_p2","sc/trophy_world_future.sc","trophy_world_11_part2",3700,"reward_layer",,"World11","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_chronotrap",
"W11_p3","sc/trophy_world_future.sc","trophy_world_11_part3",4700,"reward_layer",,"World11","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_chronotrap",
"W12_p1","sc/trophy_world_future.sc","trophy_world_12_part1",3700,"reward_layer",,"World12","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_tunestown",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W12_p2","sc/trophy_world_future.sc","trophy_world_12_part2",3700,"reward_layer",,"World12","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_tunestown",
"W12_p3","sc/trophy_world_future.sc","trophy_world_12_part3",4700,"reward_layer",,"World12","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_tunestown",
"W13_p1","sc/trophy_world_future.sc","trophy_world_13_part1",3700,"reward_layer",,"World13","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","sc/trophy_world_common.sc#icon_trophyworld_creepsville",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W13_p2","sc/trophy_world_future.sc","trophy_world_13_part2",3700,"reward_layer",,"World13","part_",1,,,,"part_0","CLIP_STRETCH","sc/trophy_world_common.sc#icon_trophyworld_creepsville",
"W13_p3","sc/trophy_world_future.sc","trophy_world_13_part3",4700,"reward_layer",,"World13","part_",1,,,,"part_0","CLIP_STRETCH","sc/trophy_world_common.sc#icon_trophyworld_creepsville",
"W14_p1","sc/trophy_world_future.sc","trophy_world_14_part1",3700,"reward_layer",,"World14","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_toyland",
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W14_p2","sc/trophy_world_future.sc","trophy_world_14_part2",3700,"reward_layer",,"World14","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_toyland",
"W14_p3","sc/trophy_world_future.sc","trophy_world_14_part3",4700,"reward_layer",,"World14","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_toyland",
"W15_p1","sc/trophy_world_future.sc","trophy_world_15_part1",3700,"reward_layer",,"World15","part_",1,"parallax_clouds_1",105,50,"part_0","CLIP_STRETCH","icon_trophyworld_madevilmanor",40
,,,,,,,,,"parallax_clouds_2",110,50,,,,
"W15_p2","sc/trophy_world_future.sc","trophy_world_15_part2",3700,"reward_layer",,"World15","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_madevilmanor",
"W15_p3","sc/trophy_world_future.sc","trophy_world_15_part3",4700,"reward_layer",,"World15","part_",1,,,,"part_0","CLIP_STRETCH","icon_trophyworld_madevilmanor",
