"TID","MS"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Misi selesai: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Kemajuan Misi: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","PEMBERITAHUAN KEMAS KINI"
"TID_TICKET_COMPENSATION_INFO","Ini dia permata untuk Tiket anda! Kami telah mengeluarkan Tiket dari permainan, jadi ia tidak lagi berguna."
"TID_TICKET_COMPENSATION_CLAIM","TUNTUT!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","BUKA BAKI KOTAK"
"TID_BRAWL_PASS_QUESTS_LABEL","MISI"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Capai <TROPHIES> trofi untuk buka misi!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Misi kini boleh dibuka dari Jalan Trofi!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Pergi ke Jalan Trofi untuk membuka misi"
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","Ambil misi dari Jalan Trofi!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Ambil ganjaran Jalan Trofi untuk buka misi!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","BELI PERINGKAT"
"TID_QUESTS_TITLE","MISI"
"TID_QUEST_DESC_1","MENANG <AMOUNT> PERTEMPURAN"
"TID_QUEST_DESC_2","KALAHKAN <AMOUNT> MUSUH"
"TID_QUEST_DESC_3","LAKUKAN <AMOUNT> KEROSAKAN"
"TID_QUEST_DESC_4","SEMBUHKAN <AMOUNT> NILAI NYAWA"
"TID_QUEST_DESC_5","GUNA \qMAIN LAGI\q <NUM> KALI"
"TID_QUEST_DESC_6","MAIN <NUM> PERLAWANAN DALAM PASUKAN"
"TID_QUEST_DESC_7_MODE_0","BAWA <LIMIT> ATAU LEBIH PERMATA SELAMA <AMOUNT> SAAT"
"TID_QUEST_DESC_7_MODE_2","LAKUKAN <AMOUNT> KEROSAKAN KE ATAS PETI KESELAMATAN"
"TID_QUEST_DESC_7_MODE_3","SELESAIKAN <AMOUNT> PERLAWANAN DENGAN <LIMIT> ATAU LEBIH BINTANG"
"TID_QUEST_DESC_7_MODE_5","HANTAR BOLA <AMOUNT> KALI"
"TID_QUEST_DESC_7_MODE_6","KUMPUL <AMOUNT> KIUB KUASA"
"TID_QUEST_DESC_7_MODE_9","KUMPUL <AMOUNT> KIUB KUASA SEMASA KEDUA-DUA PEMAIN AKTIF"
"TID_QUEST_DESC_7_MODE_17","TAWAN ZON SELAMA <AMOUNT> SAAT"
"TID_QUEST_DESC_7_MODE_20","KEKAL TANPA KALAH UNTUK <AMOUNT> PUSINGAN"
"TID_QUEST_DESC_7_MODE_34","LARI DENGAN <AMOUNT> TROFI"
"TID_QUEST_DESC_10","MAIN <NUM> PERLAWANAN BERSAMA RAKAN KELAB"
"TID_QUEST_DESC_11","MAIN <AMOUNT> PERTEMPURAN"
"TID_QUEST_DESC_1_LEVELED","SELESAIKAN TAHAP"
"TID_QUEST_DESC_1_BIG_GAME","MENANG <AMOUNT> PERTEMPURAN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","MENANG <AMOUNT> PERTEMPURAN"
"TID_QUEST_HERO_CONDITION","\nDENGAN <HERO>"
"TID_QUEST_HERO_CONDITION_2","\nDENGAN <HERO_1> ATAU <HERO_2>"
"TID_QUEST_HERO_CONDITION_3","\nDENGAN <HERO_1>, <HERO_2> ATAU <HERO_3>"
"TID_QUEST_MODE_CONDITION","\nDALAM <MODE>"
"TID_QUEST_MODE_CONDITION_2","\nDALAM <MODE_1> ATAU <MODE_2>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nBERSAMA RAKAN SEPASUKAN"
"TID_QUEST_NEW","BAHARU"
"TID_QUEST_PREMIUM","EKSKLUSIF UNTUK BRAWL PASS"
"TID_MEGA_QUEST_INFO_COMPLETE_PREVIOUS","Selesaikan Misi Mega terdahulu"
"TID_MEGA_QUEST_INFO_EXPIRES_IN","Tamat dalam <TIME>"
"TID_MEGA_QUEST_INFO_UNLOCKS_IN","Dibuka: <TIME>"
"TID_MEGA_QUEST_INFO_UNLOCKS_SOON","Akan dibuka!"
"TID_MEGA_QUEST_INFO_CURRENT","Misi Mega semasa"
"TID_MEGA_QUEST_INFO_COMPLETED","Misi Mega diselesaikan"
"TID_RANK_POPUP_QUESTS","MISI"
"TID_RANK_POPUP_CLUB_FEATURE","KELAB"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","MUSIM <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","KEMBALI KE MUSIM SEMASA"
"TID_BRAWL_PASS_PREVIOUS_SEASON","MUSIM SEBELUMNYA"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","KETIK SINI UNTUK TUNTUT GANJARAN!"
"TID_BRAWL_PASS_UNLOCK_INFO","GANJARAN PREMIUM DIKUNCI!"
"TID_BRAWL_PASS_UNLOCK_LABEL","BUKA"
"TID_BRAWLPASS_PURCHASE_ERROR_3","Musim Brawl Pass ini sudah dibeli."
"TID_BRAWLPASS_PURCHASE_ERROR_4","Maaf, Brawl Pass ini sudah tiada!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","Tidak boleh beli Pakej BRAWL PASS, anda telah dapat semua ganjaran!"
"TID_BRAWLPASS_PURCHASE_ERROR_6","Pembelian Brawl Pass dalam proses"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","MAJU PERINGKAT?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Beli <NUM> XP Brawl Pass dan mara ke peringkat ganjaran seterusnya?"
"TID_PURCHASE_BRAWL_PASS_TITLE","DAPATKAN BRAWL PASS!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","PAKEJ PAS BRAWL"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Buka ganjaran Brawl Pass dan misi tambahan"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> PERINGKAT"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","Tidak boleh membeli musim Brawl Pass yang lalu."
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","Musim Brawl Pass semasa tidak ditemui, sila cuba sebentar lagi."
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","Musim Brawl Pass semasa sudah dibuka."
"TID_TAKEDOWNS_LABEL","PENYINGKIRAN"
"TID_DEFEAT_LABEL","KALAH"
"TID_UNDERDOG","BUKAN PILIHAN"
"TID_ACCESSORY","ALAT"
"TID_BATTLE_END_COIN_SHOWER","ACARA HUJAN SYILING"
"TID_BATTLE_END_CC_SHOWER","ACARA HUJAN KROMA"
"TID_LFG_POPUP_TITLE_MEMBER","MENCARI AHLI"
"TID_LFG_POPUP_TITLE_TEAM","MENCARI PASUKAN"
"TID_LFG_POPUP_INFO_MEMBER","Cari pemain untuk membentuk pasukan"
"TID_LFG_POPUP_INFO_TEAM","Cari pemain untuk sertai pasukan semasa anda"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Kriteria acara (ketik untuk tukar)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Saya nak main (ketik untuk tukar)"
"TID_LFG_POPUP_START_SEARCH","CARI!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","Mod permainan ini tidak menyokong pemain tambahan"
"TID_LFG_NOT_AVAILABLE_FOR_MODE","Tidak tersedia untuk mod permainan semasa"
"TID_LOOKING_FOR_A_TEAM","SEDANG MENCARI PASUKAN"
"TID_LOOKING_FOR_A_MEMBER","SEDANG MENCARI AHLI"
"TID_CC_TEASER_TITLE","Akan Datang!"
"TID_CC_TEASER_INFO","Bersedia untuk Cabaran Kejuaraan <WIN> kemenangan!\n\nMain bersama rakan atau guna ciri \qMencari Pasukan\q untuk meningkatkan peluang menang anda.\n\nCabaran hanya berlangsung selama <DURATION> jam, jadi fikir baik-baik!"
"TID_CC_POPUP_TITLE","CABARAN KEJUARAAN"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","Setiap kemenangan memberikan ganjaran hebat! Menang <WINS> kali untuk memenangi Cabaran tapi anda akan disingkirkan selepas <LOSSES> kekalahan!"
"TID_CC_POPUP_1_DESC","Setiap kemenangan memberikan ganjaran hebat! Menang <WINS> kali untuk memenangi pertandingan tapi anda akan disingkirkan selepas <LOSSES> kekalahan!"
"TID_CC_POPUP_WINS","<WINS>/<MAX> KEMENANGAN"
"TID_CC_POPUP_WINS_FOR_EVENT","PERINGKAT <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","SUKU AKHIR"
"TID_POPUP_WINS_FOR_EVENT_PSG_2","SEPARUH AKHIR"
"TID_POPUP_WINS_FOR_EVENT_PSG_3","PUSINGAN AKHIR"
"TID_CC_POPUP_QUALIFY_INFO","Memenangi cabaran untuk melayakkan diri ke peringkat Kejuaraan Brawl Stars seterusnya!"
"TID_CC_POPUP_QUALIFY_INFO_PSG","Menang cabaran untuk memenangi kulit Shelly PSG!"
"TID_CC_POPUP_QUALIFY_INFO_COMPLETED","Cabaran selesai!"
"TID_CC_POPUP_CHALLENGE_OVER","CABARAN TAMAT"
